character_slug,move_id,punishable_threshold,is_safe_on_block,is_plus_on_hit,is_plus_on_block,meaty_hit_adv_max,meaty_block_adv_max,startup_bucket,simple_punish_adv,derivation_notes
aki,aki_001_5_lp,1,True,True,False,5,0,5_to_7,1,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_002_5_lk,3,True,True,False,5,-1,4f_or_faster,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_003_5_mp,3,True,True,False,7,1,5_to_7,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_004_5_mk,2,True,True,False,8,0,8_to_10,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_005_5_hp,4,True,True,False,3,-2,11_plus,4,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_006_5_hk,3,True,True,False,7,0,8_to_10,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_007_2_lp,1,True,True,False,5,0,4f_or_faster,1,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_008_2_lk,2,True,True,False,5,0,5_to_7,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_009_2_mp,3,True,True,False,3,-1,5_to_7,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_010_2_mk,0,True,True,True,7,3,5_to_7,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_011_2_hp,8,False,,False,,-6,8_to_10,8,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_012_2_hk,3,True,False,False,5,2,8_to_10,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_013_j_lp,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_014_j_lk,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_015_j_mp,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_016_j_mk,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_017_j_hp,,,,,,,11_plus,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_018_j_hk,,,,,,,8_to_10,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_019_3_mp,3,True,True,False,5,-1,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_020_6_hp,4,True,True,False,5,-2,11_plus,4,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_022_2_hp,,,,,,,8_to_10,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_023_lp_lp,3,True,True,False,2,-2,8_to_10,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_024_hp_hp,15,False,,False,,-13,11_plus,15,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_025_2_1_4_lp,10,False,False,False,,,11_plus,10,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_026_6_p,16,False,False,False,-3,-15,11_plus,16,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_027_2_1_4_p_p,0,True,,True,,,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_028_6_p,13,False,,False,,-9,11_plus,13,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_029_specials_029,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_030_specials_030,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_031_2_1_4_mp,,,,,,,11_plus,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_033_2_3_6_lp,8,False,True,False,3,-6,11_plus,8,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_034_2_3_6_mp,12,False,,False,,-4,11_plus,12,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_035_2_3_6_hp,20,False,,False,,-15,11_plus,20,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_036_2_3_6_p_p,14,False,True,False,8,-10,11_plus,14,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_041_2_3_6_lk,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_042_2_3_6_mk,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_045_2_p_p,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_046_p,25,False,,False,,-11,11_plus,25,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_048_lplk,,,,,,,11_plus,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_049_2_3_6_2_3_6_k,46,False,,False,,-44,8_to_10,46,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_050_2_1_4_2_1_4_p,19,False,,False,,,5_to_7,19,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_051_2_3_6_2_3_6_p,36,False,,False,,-34,8_to_10,36,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_052_2_3_6_2_3_6_p,36,False,,False,,-34,8_to_10,36,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_053_5_6_lplk,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_054_4_lplk,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_055_6_6,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_056_4_4,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
aki,aki_057_hphk,3,True,,False,,-2,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
