character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
aki,aki_001_5_lp,立ち弱P （蛇突）,5LP,normals,5,5-6,7,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
aki,aki_002_5_lk,立ち弱K （蛇咬脚）,5LK,normals,4,4-6,12,,3,-3,C,300,始動補正20%,250,-500,-2000,300,上,
aki,aki_003_5_mp,立ち中P （蛇咬手）,5MP,normals,6,6-10,14,,3,-3,C,600,,1500,-3000,-4000,500,上,ガード、空振り時硬直2F増加
aki,aki_004_5_mk,立ち中K （蛇蝎蹴）,5MK,normals,8,8-10,15,,6,-2,,700,,2000,-4000,-6000,700,上,空振り時硬直2F増加
aki,aki_005_5_hp,立ち強P （蛇突牙）,5HP,normals,12,12-14,21,,1,-4,,800,,3000,-5000,-8000,1000,上,
aki,aki_006_5_hk,立ち強K （蛇旋脚）,5HK,normals,9,9-12,19,,4,-3,C,800,,2000,-5000,-8000,1000,上,強制立ち効果 | パニッシュカウンター時+12F
aki,aki_007_2_lp,しゃがみ弱P （潜蛇突）,2LP,normals,4,4-5,9,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
aki,aki_008_2_lk,しゃがみ弱K （蹴突蛇）,2LK,normals,5,5-7,8,,3,-2,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
aki,aki_009_2_mp,しゃがみ中P （蛇伸突）,2MP,normals,7,7-9,18,,1,-3,C,600,,1500,-3000,-4000,500,上,
aki,aki_010_2_mk,しゃがみ中K （蛇落蹴）,2MK,normals,7,7-9,16,,5,1,SA,600,始動補正20%,1000,-2000,-4000,600,下,
aki,aki_011_2_hp,しゃがみ強P （修蛇）,2HP,normals,10,10-12,28,,D,-8,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
aki,aki_012_2_hk,しゃがみ強K （蛇尾脚）,2HK,normals,10,10-15,20,,0,-3,SA,900,,3000,-6000,-10000,1000,上,パニッシュカウンター時吹き飛びダウン
aki,aki_013_j_lp,ジャンプ弱P （空蛇突）,j.LP,normals,5,5-13,着地後3,,,,,300,,500,-1500,-2000,300,中,
aki,aki_014_j_lk,ジャンプ弱K （空蛇蹴）,j.LK,normals,5,5-10,着地後3,,,,,300,,500,-1500,-2000,300,中,めくり性能
aki,aki_015_j_mp,ジャンプ中P （回旋蛇）,j.MP,normals,7,7-10,着地後3,,,,,700,,1000,-3000,-4000,500,中,空中ヒット時吹き飛びダウン
aki,aki_016_j_mk,ジャンプ中K （蛇天蹴）,j.MK,normals,7,7-12,着地後3,,,,,600,,1000,-2500,-4000,500,中,
aki,aki_017_j_hp,ジャンプ強P （騰空双蛇突）,j.HP,normals,11,11-16,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中カウンター/パニッシュカウンター時叩きつけダウン
aki,aki_018_j_hk,ジャンプ強K （騰空双蹴蛇）,j.HK,normals,8,8-15,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
