dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161520Z-7fbd27f7,20260412T161520Z-7fbd27f7:特殊技:023:囚牛,,official_active_ambiguous,"{""active"":""14-24 14-16, 22-24"",""block_adv"":""2"",""input"":""6HK"",""move_group"":""command_normals"",""move_name"":""囚牛"",""recovery"":""16"",""startup"":""14""}",aki_021_6_hk,aki,囚牛,6HK,command_normals,,,,,,,
official_raw,official,20260412T161520Z-7fbd27f7,20260412T161520Z-7fbd27f7:必殺技:035:紫泡撒,,official_active_ambiguous,"{""active"":""13-38 13-15, 30-38"",""block_adv"":""-4"",""input"":""214HP"",""move_group"":""specials"",""move_name"":""紫泡撒"",""recovery"":""13"",""startup"":""13""}",aki_032_2_1_4_hp,aki,紫泡撒,214HP,specials,,,,,,,
official_raw,official,20260412T161520Z-7fbd27f7,20260412T161520Z-7fbd27f7:必殺技:040:弱_凶襲突,,official_active_ambiguous,"{""active"":""24-45 24-25, 31-32, 37-38, 44-45"",""block_adv"":""-3"",""input"":""214LK"",""move_group"":""specials"",""move_name"":""弱 凶襲突"",""recovery"":""着地後18"",""startup"":""24""}",aki_037_2_1_4_lk,aki,弱 凶襲突,214LK,specials,,,,,,,
official_raw,official,20260412T161520Z-7fbd27f7,20260412T161520Z-7fbd27f7:必殺技:041:中_凶襲突,,official_active_ambiguous,"{""active"":""28-49 28-29, 35-36, 41-42, 48-49"",""block_adv"":""-3"",""input"":""214MK"",""move_group"":""specials"",""move_name"":""中 凶襲突"",""recovery"":""着地後18"",""startup"":""28""}",aki_038_2_1_4_mk,aki,中 凶襲突,214MK,specials,,,,,,,
official_raw,official,20260412T161520Z-7fbd27f7,20260412T161520Z-7fbd27f7:必殺技:042:強_凶襲突,,official_active_ambiguous,"{""active"":""33-54 33-34, 40-41, 46-47, 53-54"",""block_adv"":""-3"",""input"":""214HK"",""move_group"":""specials"",""move_name"":""強 凶襲突"",""recovery"":""着地後18"",""startup"":""33""}",aki_039_2_1_4_hk,aki,強 凶襲突,214HK,specials,,,,,,,
official_raw,official,20260412T161520Z-7fbd27f7,20260412T161520Z-7fbd27f7:必殺技:043:od_凶襲突,,official_active_ambiguous,"{""active"":""28-49 28-30, 35-36, 41-42, 48-49"",""block_adv"":""2"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""OD 凶襲突"",""recovery"":""着地後18"",""startup"":""28""}",aki_040_2_1_4_k_k,aki,OD 凶襲突,214KK,specials,,,,,,,
official_raw,official,20260412T161520Z-7fbd27f7,20260412T161520Z-7fbd27f7:必殺技:046:強_蛇軽功,,official_total_parse_failed,"{""input"":""236HK"",""move_group"":""specials"",""move_name"":""強 蛇軽功"",""recovery"":""全体 ※43""}",aki_043_2_3_6_hk,aki,強 蛇軽功,236HK,specials,,,,,,,
official_raw,official,20260412T161520Z-7fbd27f7,20260412T161520Z-7fbd27f7:必殺技:047:od_蛇軽功,,official_total_parse_failed,"{""input"":""236KK"",""move_group"":""specials"",""move_name"":""OD 蛇軽功"",""recovery"":""全体 ※42""}",aki_044_2_3_6_k_k,aki,OD 蛇軽功,236KK,specials,,,,,,,
official_raw,official,20260412T161520Z-7fbd27f7,20260412T161520Z-7fbd27f7:必殺技:050:蛇連咬,,official_active_ambiguous,"{""active"":""11-25 11-13, 23-25"",""block_adv"":""-3"",""input"":""K"",""move_group"":""specials"",""move_name"":""蛇連咬"",""recovery"":""20"",""startup"":""11""}",aki_047_k,aki,蛇連咬,K,specials,,,,,,,
official_raw,official,20260412T161520Z-7fbd27f7,20260412T161520Z-7fbd27f7:共通システム:066:ドライブパリィ,,official_active_ambiguous,"{""active"":""[※2] 1-12"",""input"":""MPMK"",""move_group"":""system"",""move_name"":""ドライブパリィ"",""recovery"":""33"",""startup"":""1""}",aki_060_mpmk,aki,ドライブパリィ,MPMK,system,,,,,,,
