character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
aki,aki_001_5_lp,Standing Light Punch,5LP,normals,"12 Sp, 14 TC",13,8,9,+8,-7,+3,-2,+8,+3,-,-,-,1,1,0,-,0.90,150 (75),"Sinister Slide cancel: +1/-4; short range and not chainable, primarily used for the 5LP~LP Target Combo"
aki,aki_002_5_lk,Standing Light Kick,5LK,normals,13 (DR: 14),18,12,9,+7,-13,+5,-1,+7,+1,-,-,-,1,1,0,-,1.04,150 (75),Sinister Slide cancel: +6/0; DR cancel is delayed until after 1st recovery frame
aki,aki_003_5_mp,Standing Medium Punch,5MP,normals,16,22,18,12,+7,-17,+11,+7,+7,+1,-,-,-,1,1,0,-,1.269,250 (125),2 extra recovery frames on whiff/block; Sinister Slide cancel: +9/+5; moves A.K.I. forward; useful combo tool after 5MK or in counter-hit routes but does not combo into 236PP; high active frame count makes it useful as a meaty (up to +7/+1); special/DR cancel is delayed until after 2nd active frame
aki,aki_004_5_mk,Standing Medium Kick,5MK,normals,-,24,16,11,+10,-16,-,-,+10,+2,-,-,-,1,1,0,-,1.48,350 (175),2 extra recovery frames on whiff; useful poke and combo starter
aki,aki_005_5_hp,Standing Heavy Punch,5HP,normals,20,25,20,13,+5,-22,-,-,+5,0,-,-,-,1,1,0,-,1.782,500 (250),"Very good poke that can avoid some low attacks; hitconfirmable into 5HP~HP Target Combo, which is especially strong vs. poisoned opponents"
aki,aki_006_5_hk,Standing Heavy Kick,5HK,normals,18,27,20,13,+12 Stagger,-21,+16,+9,+8,+1,-,-,-,1,1,0,-,1.376,500 (250),"Forces stand on hit; active frames 3-4 whiff on crouching opponents unless they extend a vertical hurtbox; important combo and juggle tool (combos into 2PP~K naturally, and 2PP~P on Punish Counter); staggers opponent on grounded Punish Counter and launches into a high limited juggle state on airborne Punish Counter; good anti-air on frames 10-12 but cannot hit cross-up; head hurtbox is anti-air invuln 5-12f; kicking leg and upper body hurtbox is anti-air invuln on frame 10-12; extends a hurtbox 1f before active that is vulnerable to projectiles; Sinister Slide cancel: +15/+8; DR cancel is delayed until after 2nd active frame"
aki,aki_007_2_lp,Crouching Light Punch,2LP,normals,12,15,10,9,+8,-9,+5,0,+8,+3,-,-,-,1,1,0,-,0.96,150 (75),Chains into 2LP/2LK (true blockstring into 2LP); Sinister Slide cancel: +3/-2; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)
aki,aki_008_2_lk,Crouching Light Kick,2LK,normals,-,14,9,9,+7,-9,-,-,+7,+2,-,-,-,1,1,0,-,1.19,150 (75),"Chains into 2LP/2LK; highest range light normal, can be used in 4-hit blockstrings and to stuff grounded approaches"
aki,aki_009_2_mp,Crouching Medium Punch,2MP,normals,15,22,18,11,+5,-19,+12,+8,+5,+1,-,-,-,1,1,0,-,1.375,250 (125),Sinister Slide cancel: +10/+6; combo/buffer tool with good range; topmost hurtbox on frames 1-20 is vulnerable only to aerial strikes (preventing its use as an anti-air)
aki,aki_010_2_mk,Crouching Medium Kick,2MK,normals,14 SA,24,20,10,+9,-17,-,-,+9,+5,-,-,-,1,1,0,-,1.34,300 (150),"Solid low poke that can be buffered into Super or linked into light normals; good option out of Drive Rush, granting block advantage and a link into 5HK or 5MK"
