dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T212323Z-09d0c791,20260412T212323Z-09d0c791:t021:a.k.i._6hk,a.k.i._6hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""6HK"",""move_group"":""command_normals"",""move_name"":""Qiu Niu"",""notes_sc"":""8f extra recovery on whiff; Low Crush 11-26f (not airborne); 1st hit puts airborne opponents into limited juggle state (2nd hit causes air reset); excellent pressure tool, especially using Drive Rush forward momentum; Counter-hit/Punish Counter bonus advantage carries through both hits"",""punish_adv"":""+8"",""raw_source_token"":""a.k.i._6hk""}",aki_021_6_hk,aki,Qiu Niu,6HK,command_normals,21,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212323Z-09d0c791,20260412T212323Z-09d0c791:t040:a.k.i._214hp,a.k.i._214hp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214HP"",""move_group"":""specials"",""move_name"":""Toxic Wreath"",""notes_sc"":""Strike hitbox (no projectile durability); poisons opponent on hit; puts opponent into limited juggle state; extended arm is projectile invincible 13-21f; useful combo and juggle tool; relatively safe blockstring ender, but can whiff in cancels outside close range; can get significantly better frame advantage on a late meaty connect (up to +4 on block); leaves a 2f blockstring gap when canceled from 5LK, or a 4f gap (trade combo) when canceled from 2LP; 6f hitconfirm window into SA3 refers to 2nd hit only"",""punish_adv"":""KD +40"",""raw_source_token"":""a.k.i._214hp""}",aki_032_2_1_4_hp,aki,Toxic Wreath,214HP,specials,40,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212323Z-09d0c791,20260412T212323Z-09d0c791:t045:a.k.i._214lk,a.k.i._214lk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214LK"",""move_group"":""specials"",""move_name"":""Cruel Fate"",""notes_sc"":""Shortest trajectory; cannot hit cross-up; Counter-hit/Punish Counter bonus advantage applies to all hits; landing recovery has a crouch-sized hurtbox despite being in a standing state; first 2 hits will whiff on crouching opponents (less damage, chip, Drive Dmg)"",""punish_adv"":""+5 (KD +38~45)"",""raw_source_token"":""a.k.i._214lk""}",aki_037_2_1_4_lk,aki,Cruel Fate,214LK,specials,45,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212323Z-09d0c791,20260412T212323Z-09d0c791:t046:a.k.i._214mk,a.k.i._214mk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214MK"",""move_group"":""specials"",""move_name"":""Cruel Fate"",""notes_sc"":""Medium trajectory; cannot hit cross-up; Counter-hit/Punish Counter bonus advantage applies to all hits; landing recovery has a crouch-sized hurtbox despite being in a standing state; first 2 hits will whiff on crouching opponents (less damage, chip, Drive Dmg)"",""punish_adv"":""+7 (KD +38~45)"",""raw_source_token"":""a.k.i._214mk""}",aki_038_2_1_4_mk,aki,Cruel Fate,214MK,specials,46,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212323Z-09d0c791,20260412T212323Z-09d0c791:t047:a.k.i._214hk,a.k.i._214hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214HK"",""move_group"":""specials"",""move_name"":""Cruel Fate"",""notes_sc"":""Farthest trajectory; cannot hit cross-up; Counter-hit/Punish Counter bonus advantage applies to all hits; landing recovery has a crouch-sized hurtbox despite being in a standing state; first 2 hits will whiff on crouching opponents (less damage, chip, Drive Dmg); can link naturally into 2LP for a follow-up combo; pushback on block keeps A.K.I. out of throw range but also weakens her Burnout pressure"",""punish_adv"":""+8 (KD +41~50)"",""raw_source_token"":""a.k.i._214hk""}",aki_039_2_1_4_hk,aki,Cruel Fate,214HK,specials,47,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212323Z-09d0c791,20260412T212323Z-09d0c791:t048:a.k.i._214kk,a.k.i._214kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""Cruel Fate"",""notes_sc"":""Hold left/right to steer trajectory; cannot hit cross-up; Counter-hit/Punish Counter bonus advantage applies to all hits on non-cinematic version; landing recovery has a crouch-sized hurtbox despite being in a standing state; goes into grab animation on a grounded hit for full damage and follow-up oki, but 3rd/4th hits can get a non-cinematic hit late in the active frames (400~640 damage); poisons opponent on hit (cinematic or non-cinematic); puts airborne opponents into a limited juggle OTG state (KD +51~58); Super cancel works only on non-cinematic version; SA2 cancel will not combo unless LP version lands as a counter-hit or Punish Counter"",""punish_adv"":""HKD +42 (+6~7)"",""raw_source_token"":""a.k.i._214kk""}",aki_040_2_1_4_k_k,aki,Cruel Fate,214KK,specials,48,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212323Z-09d0c791,20260412T212323Z-09d0c791:t051:a.k.i._236hk,a.k.i._236hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""Snake Step"",""notes_sc"":""Can switch sides with opponent (cross-up version usually has a fixed 23f recovery after passing through; total time depends on distance from opponent); at a very specific spacing, A.K.I. can cross-up with 43f move duration (extremely ambiguous left/right mixup); counter-hit state for entire move duration; projectile invincibility lasts longer on cross-up version; semi-low profile 11-17f (crouch height); crouching state 17f until end of recovery; low profile 18f until end of recovery; collision box disappears 20-31f to allow cross-up; Distance: 3.18 (3.84 cross-up)"",""punish_adv"":""-"",""raw_source_token"":""a.k.i._236hk""}",aki_043_2_3_6_hk,aki,Snake Step,236HK,specials,51,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212323Z-09d0c791,20260412T212323Z-09d0c791:t052:a.k.i._236kk,a.k.i._236kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""Snake Step"",""notes_sc"":""Entire animation is vulnerable to Punish Counter Throws; crouching state 17f until end of recovery; Same-side version: 42f total animation, 8 recovery frames at the end that are vulnerable to strikes; Cross-up version: the entire animation is strike/projectile invincible; total duration of cross-up version depends on distance from opponent (23f fixed recovery time after passing through); collision box disappears 7-33f to allow cross-up; Distance: 4.06 (3.52 cross-up)"",""punish_adv"":""-"",""raw_source_token"":""a.k.i._236kk""}",aki_044_2_3_6_k_k,aki,Snake Step,236KK,specials,52,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212323Z-09d0c791,20260412T212323Z-09d0c791:t056:a.k.i._2pp_k,a.k.i._2pp_k,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""2PP~K"",""move_group"":""specials"",""move_name"":""Heel Strike"",""notes_sc"":""During Sinister Slide; 3f extra recovery on whiff; low profile 1-15f, semi-low profile 16-27f, crouch-sized hurtbox 28-35f; Counter-hit/Punish Counter bonus advantage carries through both hits; good combo tool that is also safe on block; both hits put airborne opponent into limited juggle state; 15f hitconfirm window into SA3 refers to 2nd hit only"",""punish_adv"":""+8"",""raw_source_token"":""a.k.i._2pp_k""}",aki_047_k,aki,Heel Strike,2PP~K,specials,56,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212323Z-09d0c791,20260412T212323Z-09d0c791:t036:a.k.i._214lp_6p_burst,a.k.i._214lp_6p_burst,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214LP~6P"",""move_group"":""nightshade_chaser"",""move_name"":""Nightshade Chaser (Burst)"",""notes_sc"":""Poisons opponent on hit; striking the bubble projectile before it makes contact with the opponent causes it to burst, dealing more damage; the burst itself is a large stationary 1-hit projectile hitbox with 6 active frames"",""punish_adv"":""KD +42"",""raw_source_token"":""a.k.i._214lp_6p_burst""}",,aki,Nightshade Chaser (Burst),214LP~6P,nightshade_chaser,36,D,False,not_required,aki_026_6_p | aki_028_6_p,,
