character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
alex,alex_001_5_lp,立ち弱P（クイックジャブ）,5LP,normals,4,4-5,9,,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
alex,alex_002_5_lk,立ち弱K（ローキック）,5LK,normals,6,6-7,13,,1,-5,C,300,始動補正20%,250,-500,-2000,300,上,
alex,alex_003_5_mp,立ち中P（ボディーブロー）,5MP,normals,7,7-10,17,,3,0,C,600,,1500,-3000,-4000,500,上,
alex,alex_004_5_mk,立ち中K（ミドルキック）,5MK,normals,9,9-11,19,,3,-4,,700,,2000,-4000,-6000,700,上,
alex,alex_005_5_hp,立ち強P（フェイスクラッシャー）,5HP,normals,12,12-16,19,,4,-3,SA,900,始動補正10%,2000,-5000,-8000,1000,上,16F以上ホールドすると性能変化
alex,alex_006_5_hp,立ち強P（フェイスクラッシャー）（ホールド）,5HP,normals,23,23-25,22,,5,2,C※,1000,始動補正20%,3000,-8000,-12000,1000,上,※ブレイカー・スタンスに派生可能 | パニッシュカウンター時+13F
alex,alex_007_5_hk,立ち強K（ロングキック）,5HK,normals,16,16-18,23,,1,-4,,900,始動補正15%,3000,-5000,-8000,1000,上,パニッシュカウンター時に膝崩れダウンに+23F | 16F以上ホールドすると性能変化
alex,alex_008_5_hk,立ち強K（ロングキック）（ホールド）,5HK,normals,25,25-27,20,,D,2,※,1000,始動補正15%,3000,-8000,-12000,1100,上,※ブレイカー・スタンスに派生可能 | パニッシュカウンター時吹き飛び時間延長
alex,alex_009_2_lp,しゃがみ弱P（ロークロー）,2LP,normals,5,5-7,8,,5,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
alex,alex_010_2_lk,しゃがみ弱K（グランドロー）,2LK,normals,5,5-7,11,,2,-2,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
alex,alex_011_2_mp,しゃがみ中P（地獄突き）,2MP,normals,8,8-9,20,,1,-2,C,600,,1500,-3000,-4000,500,上,
