dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T214332Z-f7ab00c5,20260412T214332Z-f7ab00c5:t027:alex_2pp,alex_2pp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""2PP"",""move_group"":""prowler_stance"",""move_name"":""Prowler Stance"",""notes_sc"":""Cannot block while in stance (counter-hit state for entire duration); Alex is in a crouching state on frame 5 onward (stand-sized hurtbox until frame 8); crouch-sized hurtbox on frames 9-15; Low Profile on frame 16~ (but does not duck under standard projectiles); can transition into one of several different follow-ups on frame 18 onward (frame 17 for Stance Exit); can be canceled with any up input (2PP~8); Alex remains in stance until canceled or hit; Alex switches facing direction when opponent switches sides"",""punish_adv"":""-"",""raw_source_token"":""alex_2pp""}",,alex,Prowler Stance,2PP,prowler_stance,27,E,False,not_required,,alex_p_p_followup,alex_021_2_p_p
supercombo_enrichment,supercombo,20260412T214332Z-f7ab00c5,20260412T214332Z-f7ab00c5:t031:alex_2pp_6p,alex_2pp_6p,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""2PP~6P"",""move_group"":""slashing_elbow"",""move_name"":""Slashing Elbow"",""notes_sc"":""Button strength determines distance and startup (LP shortest/fastest, HP longest/slowest); exits Stance after use; high active frame count allows it to be spaced or used with meaty timing for better advantage; Counter-hit/Punish Counter puts opponent into a limited juggle state; puts airborne opponents into a limited juggle state; head and arm hurtbox are anti-air invuln on frames 8-15 (LP) / 11-18 (MP) / 14-21 (HP); maintains Low Profile on startup until 5f before active; maintains crouch state until the end of active frames (standing-sized hurtboxes after the Low Profile frames end); expands significantly on the 3rd active frame making it easier to space for advantage on block; causes a screen shake effect when blocked with frame advantage (3rd/4th active frames)"",""punish_adv"":""KD +56"",""raw_source_token"":""alex_2pp_6p""}",,alex,Slashing Elbow,2PP~6P,slashing_elbow,31,E,False,not_required,,alex_mp_followup,alex_037_6_mp
supercombo_enrichment,supercombo,20260412T214332Z-f7ab00c5,20260412T214332Z-f7ab00c5:t028:alex_2pp_8,alex_2pp_8,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""2PP~8"",""move_group"":""prowler_stance"",""move_name"":""Exit Prowler Stance"",""notes_sc"":""Can start exiting stance 1 frame earlier than other follow-ups; fastest total stance + exit time is 42f; Low Profile and crouch state on frames 1-9 of exit animation; Alex remains in a counter-hit state for entire exit duration; holding up direction will buffer the Stance Exit at the earliest possible timing"",""punish_adv"":""-"",""raw_source_token"":""alex_2pp_8""}",,alex,Exit Prowler Stance,2PP~8,prowler_stance,28,E,False,not_required,,alex_p_p_followup,alex_021_2_p_p
supercombo_enrichment,supercombo,20260412T214332Z-f7ab00c5,20260412T214332Z-f7ab00c5:t034:alex_2pp_hp,alex_2pp_hp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""2PP~HP"",""move_group"":""heavy_lariat"",""move_name"":""Heavy Lariat"",""notes_sc"":""Can be held to gain damage, 2f extra blockstun, and armor properties; puts airborne opponents into a limited juggle state; Counter-hit (+8) / Punish Counter (+10) puts grounded opponents into a Backturned state that can link to 4MK or MP/OD Power Drop (can whiff at long range); shorter range vs. crouching opponents; great pressure tool for depleting the opponent's Drive gauge; can be canceled into from Palm Jab (up to 3 jabs vs. standing or 2 jabs vs. crouching); uncharged version comes out if button is held up to 12 frames; can be spaced out to hit on later active frames for better advantage (up to +8/+5); holding the button 1-5f results in 12f startup; holding the button 6-12f increases the total startup incrementally (up to a maximum startup of 20f); maintains Low Profile on frames 1-6 and crouch state on frames 1-14 (standing-sized hurtbox on frames 11-14)"",""punish_adv"":""+10 (Backturn)"",""raw_source_token"":""alex_2pp_hp""}",,alex,Heavy Lariat,2PP~HP,heavy_lariat,34,E,False,not_required,,alex_029_hp_followup,alex_029_hp
supercombo_enrichment,supercombo,20260412T214332Z-f7ab00c5,20260412T214332Z-f7ab00c5:t040:alex_2pp_lplk,alex_2pp_lplk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""2PP~LPLK"",""move_group"":""hyper_takedown"",""move_name"":""Hyper Takedown (Death Valley Bomb)"",""notes_sc"":""Acts like a normal throw with extra range (can be teched); turns into Death Valley Bomb on Punish Counter (different animation with separate KD advantage and higher damage/meter properties); leads to good oki anywhere on screen; immediately loses low profile state and exits stance upon activation but retains crouching state on frames 1-7 with standing-sized hurtboxes; cannot be canceled into from Palm Jab (only in throw range after 1 jab on hit or block)"",""punish_adv"":""HKD +21"",""raw_source_token"":""alex_2pp_lplk""}",,alex,Hyper Takedown (Death Valley Bomb),2PP~LPLK,hyper_takedown,40,E,False,not_required,,alex_035_lplk_followup,alex_035_lplk
supercombo_enrichment,supercombo,20260412T214332Z-f7ab00c5,20260412T214332Z-f7ab00c5:t022:alex_4mk,alex_4mk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""4MK"",""move_group"":""normals"",""move_name"":""Oblique Stomp"",""notes_sc"":""Transitions into Collapsing Driver for a cinematic knockdown on backturned opponents; good punish starter into 2MP; strong pressure tool with a 5LP frame trap that links to 5MP on Counter-hit, or with DR~4MK into itself"",""punish_adv"":""+9"",""raw_source_token"":""alex_4mk""}",,alex,Oblique Stomp,4MK,normals,22,E,False,not_required,,alex_mk_followup,alex_038_4_mk
supercombo_enrichment,supercombo,20260412T214332Z-f7ab00c5,20260412T214332Z-f7ab00c5:t023:alex_4mk_backturn,alex_4mk_backturn,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""4MK"",""move_group"":""normals"",""move_name"":""(Backturn) Collapsing Driver"",""notes_sc"":""Performs a cinematic knockdown on backturned opponents; can be canceled into after 236HP on hit; counts as 2 separate moves for damage scaling; can whiff after max range 236HP on crouching opponents; deals less damage than Power Drop but maintains same side and gives better HKD oki"",""punish_adv"":""HKD +33"",""raw_source_token"":""alex_4mk_backturn""}",,alex,(Backturn) Collapsing Driver,4MK,normals,23,E,False,not_required,,alex_mk_followup,alex_038_4_mk
supercombo_enrichment,supercombo,20260412T214332Z-f7ab00c5,20260412T214332Z-f7ab00c5:t075:alex_4pppkkk,alex_4pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""4PPPKKK"",""move_group"":""taunts"",""move_name"":""Back Taunt"",""notes_sc"":""\""Let's do this!\"""",""punish_adv"":""-"",""raw_source_token"":""alex_4pppkkk""}",,alex,Back Taunt,4PPPKKK,taunts,75,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T214332Z-f7ab00c5,20260412T214332Z-f7ab00c5:t076:alex_4pppkkk_owb,alex_4pppkkk_owb,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""4PPPKKK"",""move_group"":""taunts"",""move_name"":""Back Taunt (Omega Wing Buster)"",""notes_sc"":""\""Aaalex. Aaaalex! AAAALEX!!! AAHHHH!!\"""",""punish_adv"":""-"",""raw_source_token"":""alex_4pppkkk_owb""}",,alex,Back Taunt (Omega Wing Buster),4PPPKKK,taunts,76,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T214332Z-f7ab00c5,20260412T214332Z-f7ab00c5:t025:alex_5mp_hp,alex_5mp_hp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""5MP~HP"",""move_group"":""target_combos"",""move_name"":""Palm Strikes"",""notes_sc"":""() refers to scaled damage starting from 5MP (full sequence on hit does the same damage as just a counter-hit on the HP itself); easily hitconfirmable but fairly low risk and DI-safe between hits; cancelable into Prowler Stance on hit only for oki; 1f blockstring gap between hits (up to 3f if delayed, can throw off Perfect Parry timing); can be useful to stay close in Burnout (no blockstring gap but becomes +1 on block with some pushback); on block, leaves Alex in throw range if done from point blank; Prowler Stance cancel: KD +24 oH"",""punish_adv"":""KD +21"",""raw_source_token"":""alex_5mp_hp""}",,alex,Palm Strikes,5MP~HP,target_combos,25,E,False,not_required,,alex_029_hp_followup,alex_029_hp
