character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
blanka,blanka_001_5_lp,立ち弱P （ベアアタック）,5LP,normals,5,5-7,10,,3,-3,C,300,始動補正20%,250,-500,-2000,300,上,
blanka,blanka_002_5_lk,立ち弱K （ビーストキック）,5LK,normals,4,4-7,7,,5,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
blanka,blanka_003_5_mp,立ち中P （ビーストチョップ）,5MP,normals,10,10-12,15,,3,-4,SA,700,,2000,-4000,-6000,500,上,
blanka,blanka_004_5_mk,立ち中K （ブラッディーテイル）,5MK,normals,8,8-10,17,,5,-2,C,600,,2000,-3000,-6000,700,上,※空振り時硬直3F増加
blanka,blanka_005_5_hp,立ち強P （ジャングルアーチ）,5HP,normals,10,10-16,22,,3,-3,C,800,,2000,-5000,-8000,1000,上,強制立ち効果
blanka,blanka_006_5_hk,立ち強K （ワイルドダンス）,5HK,normals,7,7-15,18,,6,-4,,800,,3000,-4000,-10000,1000,上,空中カウンター、空中パニッシュカウンター時吹き飛びダウン | 強制立ち効果
blanka,blanka_007_2_lp,しゃがみ弱P （キャットクロー）,2LP,normals,6,6-8,8,,5,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
blanka,blanka_008_2_lk,しゃがみ弱K （ジャングルトラップ）,2LK,normals,5,5-6,10,,3,-3,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
blanka,blanka_009_2_mp,しゃがみ中P （ベアクロー）,2MP,normals,9,9-13,16,,-1,-5,C,600,,1500,-3000,-4000,500,上,
blanka,blanka_010_2_mk,しゃがみ中K （ビーストステップ）,2MK,normals,8,8-10,※16,,5,-5,C,500,始動補正20%,1000,-2000,-4000,600,下,※ガード、空振り時硬直2F増加
blanka,blanka_011_2_hp,しゃがみ強P （スネークアッパー）,2HP,normals,15,15-19,20,,0,-5,,900,,4000,-6000,-10000,1000,上,カウンター/パニッシュカウンター時吹き飛びダウン | 強制立ち効果
blanka,blanka_012_2_hk,しゃがみ強K （ビーストテイル）,2HK,normals,11,11-14,23,,D,-12,,900,,2000,-5000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
blanka,blanka_013_j_lp,ジャンプ弱P （パンサークロー）,j.LP,normals,4,4-8,着地後3,,,,,300,,500,-1500,-2000,300,中,
blanka,blanka_014_j_lk,ジャンプ弱K （フライングヴァイパー）,j.LK,normals,5,5-10,着地後3,,,,,300,,500,-1500,-2000,300,中,
blanka,blanka_015_j_mp,ジャンプ中P （フィストドロップ）,j.MP,normals,7,7-13,着地後3,,,,C,700,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン
blanka,blanka_016_j_mk,ジャンプ中K （ワイルドヒール）,j.MK,normals,7,7-12,着地後3,,,,,500,,1000,-2500,-4000,500,中,めくり性能
blanka,blanka_017_j_hp,ジャンプ強P （サバイバルクロー）,j.HP,normals,9,9,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中ヒット時叩き付けダウン
blanka,blanka_018_j_hk,ジャンプ強K （サバイバルキック）,j.HK,normals,11,11-16,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
blanka,blanka_019_j_hp,垂直ジャンプ強P （サバイバルクロー (垂直)）,j.HP,normals,7,7-9,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中ヒット時吹き飛びダウン
blanka,blanka_020_6_mp,ロッククラッシュ,6MP,command_normals,20,20-22,20,,3,-3,,600,,1500,-2500,-5000,500,※ 中 上,※初段が空振り時のみ2段目が中段判定
blanka,blanka_022_4_mk,ワイルドエッジ,4MK,command_normals,9,9-14,12,,8,2,C,600,,1500,-3000,-4000,500,上,
blanka,blanka_023_6_hp,ワイルドネイル,6HP,command_normals,18,18-21,31,,D,-15,※,1100,始動補正20%,3000,-6000,-10000,1000,上,※33-34F フィアーダウンへ派生可 | パニッシュカウンターで以下の性能変化 | ・地上ヒット時膝崩れ | ・空中ヒット時床バウンド
blanka,blanka_024_3_hp,アマゾンリバーラン,3HP,command_normals,14,14-23,22,,D,-18,,1000,,2000,-4000,-7000,1000,下,パニッシュカウンター時ハードノックダウン
blanka,blanka_025_2_p_p,フィアーダウン,2PP,command_normals,,,全体 98,98,,,,0,,0,0,0,0,,動作中に下方向入力を続けた場合伏せ部分の動作を48F延長可 | 伏せ動作中に上方向入力で動作を中断可 | 18F-111F(最延長時) 専用技及びサプライズフォワード、サプライズバックへ派生可
blanka,blanka_026_p,ワイルドリフト,P,command_normals,8,8-14,31,,D,-21,,600,,1000,-3000,-4000,500,上,
blanka,blanka_027_j_k,レイドジャンプ,j.K,command_normals,,,43+着地後12,,,,,0,,0,0,0,0,,9-43F 空中判定 | 15-43F 空中での通常技及び必殺技へ派生可
blanka,blanka_028_6_k_k,サプライズフォワード,6KK,command_normals,,,全体 27,27,,,,0,,0,0,0,0,,必殺技キャンセル可能な通常技及び特殊技からキャンセル可能
blanka,blanka_029_4_k_k,サプライズバック,4KK,command_normals,,,全体 32,32,,,,0,,0,0,0,0,,11-21F 空中判定 | 必殺技キャンセル可能な通常技及び特殊技からキャンセル可能
blanka,blanka_034_6_lp,弱 ローリングアタック,6LP,specials,10,10-20,11,,D,-23,SA3,1000,,2000,-7500,-5000,1000,上,10-23F 空中判定
blanka,blanka_035_6_lp,【ライトニングビースト】 弱 ローリングアタック,6LP,specials,10,10-20,11,,D,-21,SA3,1100,始動補正10% | 即時補正10%,2000,-4000,-5000,0,上,10-23F 空中判定 | SA2タイマー100消費 | ヒット、ガード時ローリングキャノンへ派生可
blanka,blanka_036_6_mp,中 ローリングアタック,6MP,specials,12,12-30,11,,D,-23,SA3,1200,,2000,-7500,-5000,1000,上,12-32F 空中判定 | パニッシュカウンター時吹き飛び時間延長 | 持続の11F目までSA3でキャンセル可
blanka,blanka_037_6_mp,【ライトニングビースト】 中 ローリングアタック,6MP,specials,12,12-30,11,,D,-21,SA3,1300,始動補正10% | 即時補正10%,2000,-4000,-5000,0,上,12-32F 空中判定 | SA2タイマー100消費 | パニッシュカウンター時吹き飛び時間延長 | ヒット、ガード時ローリングキャノンへ派生可
