dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161514Z-b66cc4c2,20260412T161514Z-b66cc4c2:特殊技:023:ダブルニーボンバー,,official_active_ambiguous,"{""active"":""9-20 9-11, 19-20"",""block_adv"":""-2"",""input"":""6MK"",""move_group"":""command_normals"",""move_name"":""ダブルニーボンバー"",""recovery"":""18"",""startup"":""9""}",blanka_021_6_mk,blanka,ダブルニーボンバー,6MK,command_normals,,,,,,,
official_raw,official,20260412T161514Z-b66cc4c2,20260412T161514Z-b66cc4c2:必殺技:033:エレクトリックサンダー,,official_active_ambiguous,"{""active"":""10-21 10-11,15-16,20-21"",""block_adv"":""-3"",""input"":""214P"",""move_group"":""specials"",""move_name"":""エレクトリックサンダー"",""recovery"":""17"",""startup"":""10""}",blanka_030_2_1_4_p,blanka,エレクトリックサンダー,214P,specials,,,,,,,
official_raw,official,20260412T161514Z-b66cc4c2,20260412T161514Z-b66cc4c2:必殺技:034:ライトニングビースト_エレクトリックサンダー,,official_active_ambiguous,"{""active"":""10-21 10-11,15-16,20-21"",""block_adv"":""-3"",""input"":""214P"",""move_group"":""specials"",""move_name"":""【ライトニングビースト】 エレクトリックサンダー"",""recovery"":""17"",""startup"":""10""}",blanka_031_2_1_4_p,blanka,【ライトニングビースト】 エレクトリックサンダー,214P,specials,,,,,,,
official_raw,official,20260412T161514Z-b66cc4c2,20260412T161514Z-b66cc4c2:必殺技:035:od_エレクトリックサンダー,,official_active_ambiguous,"{""active"":""10-21 10-11,15-16,20-21"",""block_adv"":""4"",""input"":""214PP"",""move_group"":""specials"",""move_name"":""OD エレクトリックサンダー"",""recovery"":""17"",""startup"":""10""}",blanka_032_2_1_4_p_p,blanka,OD エレクトリックサンダー,214PP,specials,,,,,,,
official_raw,official,20260412T161514Z-b66cc4c2,20260412T161514Z-b66cc4c2:必殺技:036:ライトニングビースト_od_エレクトリックサンダー,,official_active_ambiguous,"{""active"":""10-21 10-11,15-16,20-21"",""block_adv"":""4"",""input"":""214PP"",""move_group"":""specials"",""move_name"":""【ライトニングビースト】OD エレクトリックサンダー"",""recovery"":""17"",""startup"":""10""}",blanka_033_2_1_4_p_p,blanka,【ライトニングビースト】OD エレクトリックサンダー,214PP,specials,,,,,,,
official_raw,official,20260412T161514Z-b66cc4c2,20260412T161514Z-b66cc4c2:必殺技:051:od_バーチカルローリング,,official_active_ambiguous,"{""active"":""7-22 7-14,17-22"",""block_adv"":""-40"",""input"":""8KK"",""move_group"":""specials"",""move_name"":""OD バーチカルローリング"",""recovery"":""31+着地後17"",""startup"":""7""}",blanka_048_8_k_k,blanka,OD バーチカルローリング,8KK,specials,,,,,,,
official_raw,official,20260412T161514Z-b66cc4c2,20260412T161514Z-b66cc4c2:必殺技:052:ライトニングビースト_od_バーチカルローリング,,official_active_ambiguous,"{""active"":""7-22 7-14,17-22"",""block_adv"":""-40"",""input"":""8KK"",""move_group"":""specials"",""move_name"":""【ライトニングビースト】 OD バーチカルローリング"",""recovery"":""31+着地後17"",""startup"":""7""}",blanka_049_8_k_k,blanka,【ライトニングビースト】 OD バーチカルローリング,8KK,specials,,,,,,,
official_raw,official,20260412T161514Z-b66cc4c2,20260412T161514Z-b66cc4c2:必殺技:053:弱_バックステップローリング,,official_active_ambiguous,"{""active"":""41-着地まで"",""block_adv"":""3"",""input"":""63214LK"",""move_group"":""specials"",""move_name"":""弱 バックステップローリング"",""recovery"":""着地後5"",""startup"":""41""}",blanka_050_6_3_2_1_4_lk,blanka,弱 バックステップローリング,63214LK,specials,,,,,,,
official_raw,official,20260412T161514Z-b66cc4c2,20260412T161514Z-b66cc4c2:必殺技:054:ライトニングビースト_弱_バックステップローリング,,official_active_ambiguous,"{""active"":""41-着地まで"",""block_adv"":""3"",""input"":""63214LK"",""move_group"":""specials"",""move_name"":""【ライトニングビースト】 弱 バックステップローリング"",""recovery"":""着地後5"",""startup"":""41""}",blanka_051_6_3_2_1_4_lk,blanka,【ライトニングビースト】 弱 バックステップローリング,63214LK,specials,,,,,,,
official_raw,official,20260412T161514Z-b66cc4c2,20260412T161514Z-b66cc4c2:必殺技:055:中_バックステップローリング,,official_active_ambiguous,"{""active"":""41-着地まで"",""block_adv"":""2"",""input"":""63214MK"",""move_group"":""specials"",""move_name"":""中 バックステップローリング"",""recovery"":""着地後5"",""startup"":""41""}",blanka_052_6_3_2_1_4_mk,blanka,中 バックステップローリング,63214MK,specials,,,,,,,
