dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T210120Z-b88e35d1,20260412T210120Z-b88e35d1:t021:blanka_6mk,blanka_6mk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""6MK"",""move_group"":""command_normals"",""move_name"":""Double Knee Bombs"",""notes_sc"":""Low Crush 9-23f (not airborne); forward moving attack that can easily confirm into a combo on hit; Forces stand (ensuring that Vertical Roll can be comboed into); Counter-hit/Punish Counter bonus advantage carries through both hits; cannot hit behind Blanka; 1st hit puts airborne opponents into limited juggle state, allowing both hits to connect safely"",""punish_adv"":""+10"",""raw_source_token"":""blanka_6mk""}",blanka_021_6_mk,blanka,Double Knee Bombs,6MK,command_normals,21,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210120Z-b88e35d1,20260412T210120Z-b88e35d1:t039:blanka_214p,blanka_214p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214P"",""move_group"":""electric_thunder"",""move_name"":""Electric Thunder"",""notes_sc"":""Strike hitbox; 2f extra recovery on whiff; can hold button to extend active frame duration on whiff only (later hits have shorter range); activates Blanka-chan doll with electricity (meterless 1-hit version); [] refers to SA2 install version with slightly more damage"",""punish_adv"":""KD +39"",""raw_source_token"":""blanka_214p""}",,blanka,Electric Thunder,214P,electric_thunder,39,D,False,not_required,blanka_030_2_1_4_p | blanka_031_2_1_4_p,,
supercombo_enrichment,supercombo,20260412T210120Z-b88e35d1,20260412T210120Z-b88e35d1:t040:blanka_214pp,blanka_214pp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214PP"",""move_group"":""electric_thunder"",""move_name"":""Electric Thunder"",""notes_sc"":""Strike hitbox with forward movement during startup; 2f extra recovery on whiff; on block, connects only once for good frame advantage (recovers slightly out of throw range); on hit, transitions to a follow-up attack that puts opponent into limited juggle state (also extends hitconfirm window); can hold button to extend active frame duration on whiff only (later hits have shorter range); activates Blanka-chan doll with electricity (3-hit OD version); [] refers to SA2 install version with slightly more damage; SA2 cancel: KD +54(+60)/+9"",""punish_adv"":""KD +40"",""raw_source_token"":""blanka_214pp""}",,blanka,Electric Thunder,214PP,electric_thunder,40,D,False,not_required,blanka_032_2_1_4_p_p | blanka_033_2_1_4_p_p,,
supercombo_enrichment,supercombo,20260412T210120Z-b88e35d1,20260412T210120Z-b88e35d1:t074:blanka_22p_214p,blanka_22p_214p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""22P~214P"",""move_group"":""blanka_chan_bomb"",""move_name"":""Blanka-chan Bomb (Charge)"",""notes_sc"":""Activated by meterless electricity source (214P or SA2 meterless ball special); puts opponent into free juggle state or maintains existing juggle state; doll disappears if Blanka is hit at any time after electricity activation; startup refers to time in between electricity activation and attack hitbox appearing"",""punish_adv"":""KD"",""raw_source_token"":""blanka_22p_214p""}",,blanka,Blanka-chan Bomb (Charge),22P~214P,blanka_chan_bomb,74,D,False,not_required,blanka_030_2_1_4_p | blanka_031_2_1_4_p,,
supercombo_enrichment,supercombo,20260412T210120Z-b88e35d1,20260412T210120Z-b88e35d1:t075:blanka_22p_214pp,blanka_22p_214pp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""22P~214PP"",""move_group"":""blanka_chan_bomb"",""move_name"":""Blanka-chan Bomb (OD Charge)"",""notes_sc"":""Activated by OD electricity source (214PP or SA2 install OD ball special); puts opponent into free juggle state or maintains existing juggle state; bounces 3 times before running toward opponent; bounces away on block (can connect twice at some spacings); doll can change directions if opponent switches sides before the final bounce ends; doll disappears if Blanka is hit at any time after electricity activation; startup refers to time in between electricity activation and attack hitbox appearing; allows a combo after Forward Throw with specific timing (follow-up juggle will be scaled to 50% when accounting for all damage scaling)"",""punish_adv"":""KD"",""raw_source_token"":""blanka_22p_214pp""}",,blanka,Blanka-chan Bomb (OD Charge),22P~214PP,blanka_chan_bomb,75,D,False,not_required,blanka_032_2_1_4_p_p | blanka_033_2_1_4_p_p,,
supercombo_enrichment,supercombo,20260412T210120Z-b88e35d1,20260412T210120Z-b88e35d1:t076:blanka_22p_236236p,blanka_22p_236236p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""22P~236236P"",""move_group"":""blanka_chan_bomb"",""move_name"":""Blanka-chan Bomb (SA1 Charge)"",""notes_sc"":""Activated by SA1 electricity; puts opponent into free juggle state or maintains existing juggle state; shoots straight forward and connects 5 times; doll disappears if Blanka is hit at any time after electricity activation; startup refers to time in between electricity activation and attack hitbox appearing"",""punish_adv"":""KD"",""raw_source_token"":""blanka_22p_236236p""}",,blanka,Blanka-chan Bomb (SA1 Charge),22P~236236P,blanka_chan_bomb,76,D,False,not_required,blanka_074_2_3_6_2_3_6_p | blanka_075_2_3_6_2_3_6_p,,
supercombo_enrichment,supercombo,20260412T210120Z-b88e35d1,20260412T210120Z-b88e35d1:t057:blanka_28hk,blanka_28hk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""[2]8HK"",""move_group"":""vertical_rolling_attack"",""move_name"":""Vertical Rolling Attack"",""notes_sc"":""Trajectory: straight vertical; 40f charge time (charge lasts 12f after releasing down direction); cannot hit cross-up"",""punish_adv"":""KD +42"",""raw_source_token"":""blanka_28hk""}",,blanka,Vertical Rolling Attack,[2]8HK,vertical_rolling_attack,57,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T210120Z-b88e35d1,20260412T210120Z-b88e35d1:t058:blanka_28hk_sa2,blanka_28hk_sa2,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""[2]8HK"",""move_group"":""vertical_rolling_attack"",""move_name"":""Vertical Rolling Attack (SA2)"",""notes_sc"":""SA2 install version (drains 100f/6.7% from install timer); trajectory: straight vertical; 40f charge time (charge lasts 12f after releasing down direction); no charge required if canceled into; cannot hit cross-up; activates Blanka-chan doll with electricity (meterless 1-hit version); if opponent crouch blocks, cannot create a true blockstring into Rolling Cannon; difficult to land a grounded punish on block due to only 1f landing recovery (juggle punishes are more consistent); safer on block and bounces farther away then regular version"",""punish_adv"":""KD +42"",""raw_source_token"":""blanka_28hk_sa2""}",,blanka,Vertical Rolling Attack (SA2),[2]8HK,vertical_rolling_attack,58,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T210120Z-b88e35d1,20260412T210120Z-b88e35d1:t059:blanka_28kk,blanka_28kk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""[2]8KK"",""move_group"":""vertical_rolling_attack"",""move_name"":""Vertical Rolling Attack"",""notes_sc"":""Trajectory: up and slightly forward (less horizontal distance than MK version); 40f charge time (charge lasts 12f after releasing down direction); cannot hit cross-up"",""punish_adv"":""KD +28"",""raw_source_token"":""blanka_28kk""}",,blanka,Vertical Rolling Attack,[2]8KK,vertical_rolling_attack,59,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T210120Z-b88e35d1,20260412T210120Z-b88e35d1:t060:blanka_28kk_sa2,blanka_28kk_sa2,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""[2]8KK"",""move_group"":""vertical_rolling_attack"",""move_name"":""Vertical Rolling Attack (SA2)"",""notes_sc"":""SA2 install version (drains 100f/6.7% from install timer); trajectory: up and slightly forward (less horizontal distance than MK version); 40f charge time (charge lasts 12f after releasing down direction); no charge required if canceled into; cannot hit cross-up; activates Blanka-chan doll with electricity (3-hit OD version); can only cancel into Rolling Cannon on hit (no way to make it safe on block)"",""punish_adv"":""KD +27"",""raw_source_token"":""blanka_28kk_sa2""}",,blanka,Vertical Rolling Attack (SA2),[2]8KK,vertical_rolling_attack,60,G,False,not_required,,,
