character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
cammy,cammy_001_5_lp,立ち弱P（フーリガンジャブ）,5LP,normals,4,4-6,7,,5,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
cammy,cammy_002_5_lk,立ち弱K（フーリガンローキック）,5LK,normals,5,5-7,10,,2,-3,C,300,始動補正20%,250,-500,-2000,300,上,
cammy,cammy_003_5_mp,立ち中P（フーリガンストレート）,5MP,normals,6,6-9,13,,6,-1,,600,,1500,-3000,-4000,500,上,
cammy,cammy_004_5_mk,立ち中K（トゥースマッシュ）,5MK,normals,8,8-10,18,,3,-4,,700,,2000,-4000,-6000,700,上,
cammy,cammy_005_5_hp,立ち強P（スイングナックル）,5HP,normals,8,8-10,20,,2,-3,C,800,,2000,-4000,-8000,1000,上,
cammy,cammy_006_5_hk,立ち強K（スティールスライサー）,5HK,normals,11,11-13,21,,2,-3,,900,,3000,-6000,-10000,1200,上,パニッシュカウンター時吹き飛びダウン | 空振り時のみ硬直が2F増加
cammy,cammy_007_2_lp,しゃがみ弱P（ラピッドショット）,2LP,normals,4,4-5,8,,5,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
cammy,cammy_008_2_lk,しゃがみ弱K（スタンレイピア）,2LK,normals,5,5-7,7,,3,-2,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
cammy,cammy_009_2_mp,しゃがみ中P（ライトグレネード）,2MP,normals,7,7-9,14,,5,-2,C,600,,1500,-3000,-4000,500,上,空振り時硬直3F増加
cammy,cammy_010_2_mk,しゃがみ中K（トゥーバズソー）,2MK,normals,8,8-10,18,,1,-5,C,500,始動補正20%,1000,-2000,-4000,500,下,
cammy,cammy_011_2_hp,しゃがみ強P（トーピードーシェル）,2HP,normals,10,10-13,15,,7,1,,700,,2500,-5000,-8000,1000,上,強制立ち効果
cammy,cammy_012_2_hk,しゃがみ強K（グランドスイープ）,2HK,normals,9,9-11,24,,D,-10,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン | 空中ヒット時吹き飛びダウン
