dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161519Z-8289f3ca,20260412T161519Z-8289f3ca:特殊技:025:スイングコンビネーション,,official_active_ambiguous,"{""active"":""13-31 13-15, 29-31"",""block_adv"":""-12"",""input"":""HP>HK"",""move_group"":""command_normals"",""move_name"":""スイングコンビネーション"",""recovery"":""29"",""startup"":""13""}",cammy_023_hp_hk,cammy,スイングコンビネーション,HP>HK,command_normals,,,,,,,
official_raw,official,20260412T161519Z-8289f3ca,20260412T161519Z-8289f3ca:必殺技:029:強_スパイラルアロー,,official_active_ambiguous,"{""active"":""15-30 15-17, 19-30"",""block_adv"":""-12"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""強 スパイラルアロー"",""recovery"":""21"",""startup"":""15""}",cammy_026_2_3_6_hk,cammy,強 スパイラルアロー,236HK,specials,,,,,,,
official_raw,official,20260412T161519Z-8289f3ca,20260412T161519Z-8289f3ca:必殺技:030:強_スパイラルアロー_ホールド,,official_active_ambiguous,"{""active"":""27-42 27-29, 31-33, 34-36, 37-39, 40-42"",""block_adv"":""-14"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""強 スパイラルアロー（ホールド）"",""recovery"":""20"",""startup"":""27""}",cammy_027_2_3_6_hk,cammy,強 スパイラルアロー（ホールド）,236HK,specials,,,,,,,
official_raw,official,20260412T161519Z-8289f3ca,20260412T161519Z-8289f3ca:必殺技:031:od_スパイラルアロー,,official_active_ambiguous,"{""active"":""13-28 13-15, 17-19, 20-22, 23-25, 26-28"",""block_adv"":""-14"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""OD スパイラルアロー"",""recovery"":""20"",""startup"":""13""}",cammy_028_2_3_6_k_k,cammy,OD スパイラルアロー,236KK,specials,,,,,,,
official_raw,official,20260412T161519Z-8289f3ca,20260412T161519Z-8289f3ca:必殺技:047:レイザーエッジスライサー_ホールド,,official_active_ambiguous,"{""active"":""10-33 10-18,29-33"",""block_adv"":""2"",""move_group"":""specials"",""move_name"":""レイザーエッジスライサー（ホールド）"",""recovery"":""17"",""startup"":""10""}",cammy_044_specials_044,cammy,レイザーエッジスライサー（ホールド）,,specials,,,,,,,
official_raw,official,20260412T161519Z-8289f3ca,20260412T161519Z-8289f3ca:必殺技:048:od_レイザーエッジスライサー,,official_active_ambiguous,"{""active"":""10-33 10-18,29-33"",""block_adv"":""2"",""move_group"":""specials"",""move_name"":""OD レイザーエッジスライサー"",""recovery"":""17"",""startup"":""10""}",cammy_045_specials_045,cammy,OD レイザーエッジスライサー,,specials,,,,,,,
official_raw,official,20260412T161519Z-8289f3ca,20260412T161519Z-8289f3ca:必殺技:053:リバースエッジ_ホールド,,official_active_ambiguous,"{""active"":""18-39 18-21, 36-39"",""block_adv"":""-2"",""input"":""2K"",""move_group"":""specials"",""move_name"":""リバースエッジ（ホールド）"",""recovery"":""着地後13"",""startup"":""18""}",cammy_050_2_k,cammy,リバースエッジ（ホールド）,2K,specials,,,,,,,
official_raw,official,20260412T161519Z-8289f3ca,20260412T161519Z-8289f3ca:必殺技:054:od_リバースエッジ,,official_active_ambiguous,"{""active"":""18-39 18-21, 36-39"",""block_adv"":""-2"",""input"":""2K"",""move_group"":""specials"",""move_name"":""OD リバースエッジ"",""recovery"":""着地後13"",""startup"":""18""}",cammy_051_2_k,cammy,OD リバースエッジ,2K,specials,,,,,,,
official_raw,official,20260412T161519Z-8289f3ca,20260412T161519Z-8289f3ca:スーパーアーツ:064:sa2_エアキラービースピン,,official_active_ambiguous,"{""active"":""13-着地まで"",""block_adv"":""-23"",""input"":""214214P"",""move_group"":""super_arts"",""move_name"":""SA2 エアキラービースピン"",""recovery"":""37"",""startup"":""13""}",cammy_060_2_1_4_2_1_4_p,cammy,SA2 エアキラービースピン,214214P,super_arts,,,,,,,
official_raw,official,20260412T161519Z-8289f3ca,20260412T161519Z-8289f3ca:共通システム:077:ドライブパリィ,,official_active_ambiguous,"{""active"":""[※2] 1-12"",""input"":""MPMK"",""move_group"":""system"",""move_name"":""ドライブパリィ"",""recovery"":""33"",""startup"":""1""}",cammy_071_mpmk,cammy,ドライブパリィ,MPMK,system,,,,,,,
