dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T211715Z-583424e1,20260412T211715Z-583424e1:t035:cammy_236hk,cammy_236hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""Spiral Arrow"",""notes_sc"":""Only 1st hit is super cancelable (very low damage route); holding HK results in a powered up version"",""punish_adv"":""KD +29(+48)"",""raw_source_token"":""cammy_236hk""}",cammy_026_2_3_6_hk,cammy,Spiral Arrow,236HK,specials,35,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T211715Z-583424e1,20260412T211715Z-583424e1:t036:cammy_236hk_hold,cammy_236hk_hold,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236[HK]"",""move_group"":""specials"",""move_name"":""Spiral Arrow"",""notes_sc"":""Switches sides on hit; puts opponent into limited juggle state; super cancel comes out on 4th hit; holding HK for 9-15f gives regular 236HK with slower startup; holding 16-17f results in a full charge 2f faster than normal (allows it to combo from CH 5HP or PC 2MP)"",""punish_adv"":""KD +47 Launch"",""raw_source_token"":""cammy_236hk_hold""}",cammy_027_2_3_6_hk,cammy,Spiral Arrow,236[HK],specials,36,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T211715Z-583424e1,20260412T211715Z-583424e1:t037:cammy_236kk,cammy_236kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""Spiral Arrow"",""notes_sc"":""Switches sides on hit; puts opponent into limited juggle state"",""punish_adv"":""KD +47 Launch"",""raw_source_token"":""cammy_236kk""}",cammy_028_2_3_6_k_k,cammy,Spiral Arrow,236KK,specials,37,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T211715Z-583424e1,20260412T211715Z-583424e1:t059:cammy_236hp_hold_2k,cammy_236hp_hold_2k,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236[HP]~2K"",""move_group"":""specials"",""move_name"":""Reverse Edge"",""notes_sc"":""2 hits; causes OTG bounce vs. airborne opponents that can juggle into 623MK/HK/KK or SA1/SA3 Super (low height juggle connect will not allow time for follow-up); does not autocorrect toward opponent after crossing over; crouching state during landing recovery; can be up to 2f faster if HP is held for only 18f"",""punish_adv"":""+12"",""raw_source_token"":""cammy_236hp_hold_2k""}",cammy_050_2_k,cammy,Reverse Edge,236[HP]~2K,specials,59,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T211715Z-583424e1,20260412T211715Z-583424e1:t050:cammy_236hp_hold,cammy_236hp_hold,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""236[HP]"",""move_group"":""hooligan_combination"",""move_name"":""Hooligan Combination"",""notes_sc"":""Startup refers to earliest/latest follow-up input timings; holding HP for 18-19f results in a full charge up to 2f faster than normal; can cross over crouching opponents; follow-ups gain properties of OD versions (except for SA2 cancelability)"",""punish_adv"":""-"",""raw_source_token"":""cammy_236hp_hold""}",,cammy,Hooligan Combination,236[HP],hooligan_combination,50,E,False,not_required,,cammy_3_6_hp_followup,cammy_041_2_3_6_hp
supercombo_enrichment,supercombo,20260412T211715Z-583424e1,20260412T211715Z-583424e1:t053:cammy_236hp_hold_no_input,cammy_236hp_hold_no_input,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""236[HP]~NO"",""move_group"":""razor_s_edge_slicer"",""move_name"":""Input Razor's Edge Slicer"",""notes_sc"":""Puts opponent into limited juggle state on hit; low profile 70-98f; can be up to 2f faster if HP is held for only 18f; crouching state during recovery"",""punish_adv"":""KD +48"",""raw_source_token"":""cammy_236hp_hold_no_input""}",,cammy,Input Razor's Edge Slicer,236[HP]~NO,razor_s_edge_slicer,53,E,False,not_required,,cammy_3_6_hp_followup,cammy_041_2_3_6_hp
supercombo_enrichment,supercombo,20260412T211715Z-583424e1,20260412T211715Z-583424e1:t049:cammy_236p,cammy_236p,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""236P"",""move_group"":""hooligan_combination"",""move_name"":""Hooligan Combination"",""notes_sc"":""Startup refers to earliest/latest follow-up input timings; trajectory depends on button strength (LP short/high, MP middle, HP far/low); LP and MP versions can cross over close standing opponents; HP version can cross over close crouching opponents"",""punish_adv"":""-"",""raw_source_token"":""cammy_236p""}",,cammy,Hooligan Combination,236P,hooligan_combination,49,E,False,not_required,,cammy_3_6_p_followup,cammy_040_2_3_6_p
supercombo_enrichment,supercombo,20260412T211715Z-583424e1,20260412T211715Z-583424e1:t058:cammy_236p_2k,cammy_236p_2k,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""236P~2K"",""move_group"":""reverse_edge"",""move_name"":""Reverse Edge"",""notes_sc"":""236P trajectory affects frame advantage (lower height is better); up to 3f more recovery before landing (depends on activation height); does not autocorrect toward opponent after crossing over; crouching state during landing recovery"",""punish_adv"":""+9(+13)"",""raw_source_token"":""cammy_236p_2k""}",,cammy,Reverse Edge,236P~2K,reverse_edge,58,E,False,not_required,,cammy_k_followup,cammy_049_2_k
supercombo_enrichment,supercombo,20260412T211715Z-583424e1,20260412T211715Z-583424e1:t052:cammy_236p_no_input,cammy_236p_no_input,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""236P~NO"",""move_group"":""razor_s_edge_slicer"",""move_name"":""Input Razor's Edge Slicer"",""notes_sc"":""Puts opponent into limited juggle state on hit; low profile 50-63f; crouching state during recovery"",""punish_adv"":""KD +48"",""raw_source_token"":""cammy_236p_no_input""}",,cammy,Input Razor's Edge Slicer,236P~NO,razor_s_edge_slicer,52,E,False,not_required,,cammy_3_6_p_followup,cammy_040_2_3_6_p
supercombo_enrichment,supercombo,20260412T211715Z-583424e1,20260412T211715Z-583424e1:t064:cammy_236p_p,cammy_236p_p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236P~P"",""move_group"":""silent_step"",""move_name"":""Silent Step"",""notes_sc"":""Stops forward trajectory; recovery before landing depends on activation height; Cammy is in crouching state during recovery; useful for baiting reversals in setups where throw/overhead/divekick could hit meaty"",""punish_adv"":""-"",""raw_source_token"":""cammy_236p_p""}",,cammy,Silent Step,236P~P,silent_step,64,D,False,not_required,cammy_055_p | cammy_057_p,,
