character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
chunli,chunli_001_5_lp,立ち弱P（手突）,5LP,normals,4,4-6,7,,5,-3,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
chunli,chunli_002_5_lk,立ち弱K（斧刃脚）,5LK,normals,5,5-7,10,,2,-2,C,300,始動補正20%,250,-500,-2000,300,上,
chunli,chunli_003_5_mp,立ち中P（頸穿刀）,5MP,normals,5,5-8,10,,6,1,C,600,,1500,-3000,-4000,600,上,
chunli,chunli_004_5_mk,立ち中K（外擺脚）,5MK,normals,7,7-10,16,,4,-2,C,500,,1500,-3000,-4000,700,上,
chunli,chunli_005_5_hp,立ち強P（顎狙突拳）,5HP,normals,13,13-15,20,,2,-3,※,800,,4000,-6000,-8000,800,上,ヒット・ガード時、行雲流水でキャンセル可能
chunli,chunli_006_5_hk,立ち強K（前周脚）,5HK,normals,14,14-16,18,,4,0,※,900,始動補正20%,3000,-6000,-10000,1000,上,ヒット・ガード時、行雲流水でキャンセル可能 | 空中ヒット時吹き飛びダウン
chunli,chunli_007_2_lp,しゃがみ弱P（尖打）,2LP,normals,4,4-6,7,,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
chunli,chunli_008_2_lk,しゃがみ弱K（前掃腿）,2LK,normals,4,4-5,10,,0,-2,C,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
chunli,chunli_009_2_mp,しゃがみ中P（丹頂拳）,2MP,normals,6,6-9,13,,4,-2,C,600,,1500,-3000,-4000,600,上,空振り時硬直1F増加
chunli,chunli_010_2_mk,しゃがみ中K（後掃旋腿）,2MK,normals,7,7-9,19,,-2,-6,C,500,始動補正20%,1000,-2000,-4000,500,下,
chunli,chunli_012_2_hk,しゃがみ強K（元伝暗殺蹴）,2HK,normals,9,9-14,19,,D,-9,※,900,,3000,-4000,-10000,1000,下,※ヒット・ガード時、行雲流水でキャンセル可能 | パニッシュカウンター時ダウン時間増加、ハードノックダウン | 空中ヒット時吹き飛びダウン
chunli,chunli_013_j_lp,ジャンプ弱P（鶴嘴拳）,j.LP,normals,4,4-13,着地後3,,,,,300,,500,-1500,-2000,300,中,
