character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
cviper,cviper_001_5_lp,立ち弱P（スナップナックル）,5LP,normals,4,4-6,8,,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応 | ハイジャンプキャンセル可能
cviper,cviper_002_5_lk,立ち弱K（ヒールキック）,5LK,normals,5,5-7,11,,3,-2,C,300,始動補正20%,250,-500,-2000,300,上,ハイジャンプキャンセル可能
cviper,cviper_003_5_mp,立ち中P（ハンマーフック）,5MP,normals,8,8-11,12,,6,1,C,600,,1500,-3000,-4000,500,上,ハイジャンプキャンセル可能
cviper,cviper_004_5_mk,立ち中K（フロントキック）,5MK,normals,8,8-10,18,,4,-3,,700,,2000,-4000,-6000,700,上,空振り時硬直2F増加 | ハイジャンプキャンセル可能
cviper,cviper_005_5_hp,立ち強P（トマホークチョップ）,5HP,normals,12,12-14,21,,3,-2,,900,,3000,-6000,-10000,1000,上,ハイジャンプキャンセル可能
cviper,cviper_006_5_hk,立ち強K（ヴァイパーブレード）,5HK,normals,10,10-13,20,,4,-3,,900,,3000,-6000,-10000,1000,上,空中ヒット時床バウンド | パニッシュカウンター時+19 | ハイジャンプキャンセル可能
cviper,cviper_007_2_lp,しゃがみ弱P（ジャブ）,2LP,normals,4,4-6,8,,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応 | ハイジャンプキャンセル可能
cviper,cviper_008_2_lk,しゃがみ弱K（クラウチングヒールキック）,2LK,normals,5,5-6,9,,4,-1,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応 | ハイジャンプキャンセル可能
cviper,cviper_009_2_mp,しゃがみ中P（ヴァイパーブロー）,2MP,normals,6,6-9,16,,5,-2,C,600,,1500,-3000,-4000,500,上,ハイジャンプキャンセル可能
cviper,cviper_010_2_mk,しゃがみ中K（グランドキック）,2MK,normals,8,8-10,17,,5,-1,,600,始動補正20%,2000,-3000,-5000,600,下,ハイジャンプキャンセル可能
cviper,cviper_011_2_hp,しゃがみ強P（ヴァイパースライサー）,2HP,normals,9,9-11,20,,2,-5,C,800,,2000,-5000,-8000,1000,上,ハイジャンプキャンセル可能 | 強制立ち効果
cviper,cviper_012_2_hk,しゃがみ強K（ヴァイパースイープ）,2HK,normals,10,10-12,25,,D,-11,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
cviper,cviper_013_j_lp,ジャンプ弱P（エアリアルエルボー）,j.LP,normals,5,5-10,着地後3,,,,,300,,500,-1500,-2000,300,中,
cviper,cviper_014_j_lk,ジャンプ弱K（エアリアルプレスキック）,j.LK,normals,5,5-11,着地後3,,,,,300,,500,-1500,-2000,300,中,
cviper,cviper_015_j_mp,ジャンプ中P（エアリアルヴァイパーブロー）,j.MP,normals,8,8-13,着地後3,,,,C,600,,1000,-3000,-4000,500,中,空中ヒット時吹き飛びダウン
cviper,cviper_016_j_mk,ジャンプ中K（エアリアルトーキック）,j.MK,normals,7,7-12,着地後3,,,,,500,,1000,-2500,-4000,500,中,めくり性能
cviper,cviper_017_j_hp,ジャンプ強P（エアリアルハンマー）,j.HP,normals,11,11-15,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中ヒット時叩きつけダウン
cviper,cviper_018_j_hk,ジャンプ強K（エアリアルクラッシュニー）,j.HK,normals,8,8-14,着地後3,,,,C,700,,2000,-4000,-5000,1000,中,めくり性能
cviper,cviper_019_j_hk,垂直ジャンプ強K（エアリアルジャベリン）,j.HK,normals,10,10-16,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
cviper,cviper_020_6_mp,ヴァイパーエルボー,6MP,command_normals,22,22-24,20,,2,-3,,600,,1500,-2500,-5000,500,中,16-27F 足元無敵
cviper,cviper_022_2_9,ハイジャンプ（前方）,29,command_normals,,,46+着地後3,,,,,0,,0,0,0,0,,発動時にDゲージを10000消費 | 7-46F 空中判定 | 2-5Fまで、必殺技へキャンセル可
cviper,cviper_023_2_8,ハイジャンプ（垂直）,28,command_normals,,,46+着地後3,,,,,0,,0,0,0,0,,発動時にDゲージを10000消費 | 7-46F 空中判定 | 2-5Fまで、必殺技へキャンセル可
cviper,cviper_024_2_1_4_lp,弱 サンダースラップ,214LP,specials,17,17-20,23,,1,-4,SA3,900,,2000,-4000,-6000,800,上,12F目にフェイントに派生可 | 20F目にヒット/ガード時専用技に派生可
cviper,cviper_025_2_1_4_mp,中 サンダースラップ,214MP,specials,16,16-19,22,,1,-3,SA3,900,,2000,-4000,-6000,800,上,8F目にフェイントに派生可 | 19F目にヒット/ガード時専用技に派生可
cviper,cviper_026_2_1_4_hp,強 サンダースラップ,214HP,specials,7,7-16,37,,D,-24,,900,,4000,-4000,-5000,1000,上,1-9F 空中判定の打撃・空弾属性に対して無敵 | 9-31F 空中判定 | 6F目にフェイントに派生可 | 17F目にヒット時専用技に派生可
cviper,cviper_028_6_p_p,弱 トレースコンビネーション,6PP,specials,15,15-17,28,,D,-15,SA3,600,,0,-4000,-4000,500,上,発動時にDゲージを10000消費
