dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161525Z-a7ba6579,20260412T161525Z-a7ba6579:特殊技:023:ダブルキック,,official_active_ambiguous,"{""active"":""11-31 11-13, 29-31"",""block_adv"":""-2"",""input"":""6HK"",""move_group"":""command_normals"",""move_name"":""ダブルキック"",""recovery"":""16"",""startup"":""11""}",cviper_021_6_hk,cviper,ダブルキック,6HK,command_normals,,,,,,,
official_raw,official,20260412T161525Z-a7ba6579,20260412T161525Z-a7ba6579:必殺技:030:od_サンダースラップ,,official_active_ambiguous,"{""active"":""18-41 18-21, 38-41"",""block_adv"":""-2"",""input"":""214PP"",""move_group"":""specials"",""move_name"":""OD サンダースラップ"",""recovery"":""21"",""startup"":""18""}",cviper_027_2_1_4_p_p,cviper,OD サンダースラップ,214PP,specials,,,,,,,
official_raw,official,20260412T161525Z-a7ba6579,20260412T161525Z-a7ba6579:必殺技:038:od_バーニングキック,,official_active_ambiguous,"{""active"":""8-35 8-10, 32-35"",""block_adv"":""-4"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""OD バーニングキック"",""recovery"":""21"",""startup"":""8""}",cviper_035_2_3_6_k_k,cviper,OD バーニングキック,236KK,specials,,,,,,,
official_raw,official,20260412T161525Z-a7ba6579,20260412T161525Z-a7ba6579:必殺技:050:セービングフォース_lv1,,official_active_ambiguous,"{""active"":""23-34 23-26, 31-34"",""block_adv"":""-16"",""input"":""214K"",""move_group"":""specials"",""move_name"":""セービングフォース(Lv1)"",""recovery"":""36"",""startup"":""23""}",cviper_047_2_1_4_k,cviper,セービングフォース(Lv1),214K,specials,,,,,,,
official_raw,official,20260412T161525Z-a7ba6579,20260412T161525Z-a7ba6579:必殺技:051:セービングフォース_lv2,,official_active_ambiguous,"{""active"":""30-41 30-33, 38-41"",""block_adv"":""-16"",""input"":""214K"",""move_group"":""specials"",""move_name"":""セービングフォース(Lv2)"",""recovery"":""36"",""startup"":""30""}",cviper_048_2_1_4_k,cviper,セービングフォース(Lv2),214K,specials,,,,,,,
official_raw,official,20260412T161525Z-a7ba6579,20260412T161525Z-a7ba6579:必殺技:052:セービングフォース_lv3,,official_active_ambiguous,"{""active"":""69-80 69-72, 77-80"",""block_adv"":""-10"",""input"":""214K"",""move_group"":""specials"",""move_name"":""セービングフォース(Lv3)"",""recovery"":""36"",""startup"":""69""}",cviper_049_2_1_4_k,cviper,セービングフォース(Lv3),214K,specials,,,,,,,
official_raw,official,20260412T161525Z-a7ba6579,20260412T161525Z-a7ba6579:必殺技:053:od_セービングフォース_lv1,,official_active_ambiguous,"{""active"":""20-31 20-23, 28-31"",""block_adv"":""-16"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""OD セービングフォース(Lv1)"",""recovery"":""36"",""startup"":""20""}",cviper_050_2_1_4_k_k,cviper,OD セービングフォース(Lv1),214KK,specials,,,,,,,
official_raw,official,20260412T161525Z-a7ba6579,20260412T161525Z-a7ba6579:必殺技:054:od_セービングフォース_lv2,,official_active_ambiguous,"{""active"":""30-41 30-33, 38-41"",""block_adv"":""-16"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""OD セービングフォース(Lv2)"",""recovery"":""36"",""startup"":""30""}",cviper_051_2_1_4_k_k,cviper,OD セービングフォース(Lv2),214KK,specials,,,,,,,
official_raw,official,20260412T161525Z-a7ba6579,20260412T161525Z-a7ba6579:必殺技:055:od_セービングフォース_lv3,,official_active_ambiguous,"{""active"":""67-78 67-70, 75-78"",""block_adv"":""-10"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""OD セービングフォース(Lv3)"",""recovery"":""36"",""startup"":""67""}",cviper_052_2_1_4_k_k,cviper,OD セービングフォース(Lv3),214KK,specials,,,,,,,
official_raw,official,20260412T161525Z-a7ba6579,20260412T161525Z-a7ba6579:スーパーアーツ:058:sa1_バウンサーステップ,,official_active_ambiguous,"{""active"":""8-20 8-11, 15-20"",""block_adv"":""-34"",""input"":""236236K"",""move_group"":""super_arts"",""move_name"":""SA1 バウンサーステップ"",""recovery"":""53"",""startup"":""8""}",cviper_054_2_3_6_2_3_6_k,cviper,SA1 バウンサーステップ,236236K,super_arts,,,,,,,
official_raw,official,20260412T161525Z-a7ba6579,20260412T161525Z-a7ba6579:共通システム:071:ドライブパリィ,,official_active_ambiguous,"{""active"":""[※2] 1-12"",""input"":""MPMK"",""move_group"":""system"",""move_name"":""ドライブパリィ"",""recovery"":""33"",""startup"":""1""}",cviper_065_mpmk,cviper,ドライブパリィ,MPMK,system,,,,,,,
