dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T214259Z-d1544e78,20260412T214259Z-d1544e78:t021:c.viper_6hk,c.viper_6hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""6HK"",""move_group"":""command_normals"",""move_name"":""Double Kick"",""notes_sc"":""2 hits; carries counter-hit/Punish Counter advantage through both hits; if 1st hit is Perfect Parried, opponent can interrupt 2nd hit with 16f or faster attack; useful approach tool from Drive Rush (strike/throw mixup on block, 2MP link on hit); can be spaced effectively in neutral to keep C.Viper out of the opponent's throw range on block"",""punish_adv"":""+8"",""raw_source_token"":""c.viper_6hk""}",cviper_021_6_hk,cviper,Double Kick,6HK,command_normals,21,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214259Z-d1544e78,20260412T214259Z-d1544e78:t034:c.viper_214pp,c.viper_214pp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214PP"",""move_group"":""specials"",""move_name"":""Thunder Dash"",""notes_sc"":""2 hits with a large gap in between; range of the 1st hit is in between LP/MP versions (total range is longer but easily interruptible if 1st hit whiffs); combos from medium and heavy normals; allows an easy hitconfirm into SA2/SA3 while remaining safe on block; leaves C.Viper inside throw range with block advantage on burned out opponents, making it a strong chip and pressure tool; cannot perform feint cancels or Tracer Combination follow-ups; if Perfect Parried, opponent can interrupt 2nd hit with 18f or faster attack; extremely disjointed hitbox makes it a strong approach tool at midrange; sets up a safe jump on grounded hit (midscreen, can only connect with max range j.MK)"",""punish_adv"":""KD +42"",""raw_source_token"":""c.viper_214pp""}",cviper_027_2_1_4_p_p,cviper,Thunder Dash,214PP,specials,34,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214259Z-d1544e78,20260412T214259Z-d1544e78:t052:c.viper_214k,c.viper_214k,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214K"",""move_group"":""specials"",""move_name"":""Focus Force (Lv.1)"",""notes_sc"":""Lv.1 version when uncharged or when button is held up to 19f; can hold button longer to charge to a stronger version (20f Lv.2 / 59f Lv.3); 1-hit armor frames cover the full body, ending immediately if button is released after frame 13; absorbing a strike results in an automatic counter-attack with 10f startup (comes out on frame 14 at the earliest); absorbing an attack early in the armor frames makes it possible for the counter-attack to be blocked; C. Viper incurs only 7f armor hitstop from absorbing a strike; armor can absorb projectiles but does not perform counter-attack (C. Viper incurs 10f projectile hitstop during armor); cancelable into Forward Dash from frame 12 until button is released (not possible after absorbing a strike); C. Viper is in a Punish Counter state for entire duration (including Forward Dash cancel); 2f extra knockdown advantage on Punish Counter; only the first hit gains the bonus damage from a Counter-hit/Punish Counter; -17 on Punish Counter if only the first hit of counter-attack reaches opponent (e.g. absorbing a ranged Dhalsim poke); Focus + Dash can be used to absorb projectiles when Drive gauge is too low for Parry; can be used against Drive Impact while in Burnout (but armor starts too late to work in most DI-cancel blockstrings)"",""punish_adv"":""KD +26"",""raw_source_token"":""c.viper_214k""}",cviper_047_2_1_4_k,cviper,Focus Force (Lv.1),214K,specials,52,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214259Z-d1544e78,20260412T214259Z-d1544e78:t053:c.viper_214kk,c.viper_214kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""Focus Force (Lv.1)"",""notes_sc"":""Lv.1 version when uncharged or when button is held up to 19f; can hold button longer to charge to a stronger version (20f Lv.2 / 57f Lv.3); 1-hit armor frames cover the full body, ending immediately if button is released after frame 10; absorbing a strike results in an automatic counter-attack with 10f startup (comes out on frame 11 at the earliest); absorbing an attack early in the armor frames makes it possible for the counter-attack to be blocked; C. Viper incurs only 7f armor hitstop from absorbing a strike; armor can absorb projectiles but does not perform counter-attack (C. Viper incurs 10f projectile hitstop during armor); cancelable into Forward Dash from frame 9 until button is released (not possible after absorbing a strike); C. Viper is in a Punish Counter state for entire duration (including Forward Dash cancel); 2f extra knockdown advantage on Punish Counter; only the first hit gains the bonus damage from a Counter-hit/Punish Counter; -17 on Punish Counter if only the first hit of counter-attack reaches opponent (e.g. absorbing a ranged Dhalsim poke)"",""punish_adv"":""KD +26"",""raw_source_token"":""c.viper_214kk""}",cviper_050_2_1_4_k_k,cviper,Focus Force (Lv.1),214KK,specials,53,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214259Z-d1544e78,20260412T214259Z-d1544e78:t058:c.viper_236236k,c.viper_236236k,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236236K"",""move_group"":""super_arts"",""move_name"":""Limit Decoupler"",""notes_sc"":""Puts C.Viper into an install state on frame 21 (after active frames) that removes the meter cost of her 1-bar moves (High Jump, extensions from Thunder Dash and Burning Kick) and also causes the 1-bar special follow-ups to build 3000 Drive gauge on hit/block; during Burnout, the install ends after one use of these moves; install lasts for 700 frames (11.7 seconds) and freezes during hitstop or cinematics; cannot build additional Super gauge while install is active; KD advantage varies slightly when used in juggles or as an anti-air; if 1st hit is Perfect Parried, opponent can interrupt 2nd hit with 5f or faster attack that reaches around standing chest-height; if 1st hit trades with a projectile at close range, C. Viper can pick up a juggle into 214HP, SA1, or SA2 depending on the distance and fireball hitstun (useful in blockstrings with a large gap, like Terry 5HP > Round Wave)"",""punish_adv"":""KD +21"",""raw_source_token"":""c.viper_236236k""}",cviper_054_2_3_6_2_3_6_k,cviper,Limit Decoupler,236236K,super_arts,58,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214259Z-d1544e78,20260412T214259Z-d1544e78:t056:c.viper_214k_hold,c.viper_214k_hold,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214[K]"",""move_group"":""charged_focus_force"",""move_name"":""Focus Force (Lv.3)"",""notes_sc"":""Fully charged Lv.3 version when button is held at least 59f; Punish Counter causes a limited juggle crumple state (+29 before opponent falls to the ground); 1-hit armor frames cover the full body; attack hitbox starts up 10f after reaching full charge (no armor on these frames); absorbing a strike while charging results in an automatic counter-attack with 10f startup; C. Viper incurs only 7f armor hitstop from absorbing a strike; armor can absorb projectiles but does not perform counter-attack (C. Viper incurs 10f projectile hitstop during armor); cancelable into Forward Dash from frame 12-60 (not possible after absorbing a strike); C. Viper is in a Punish Counter state for entire duration (including Forward Dash cancel); only the first hit gains the bonus damage from a Counter-hit/Punish Counter; -17 on Punish Counter if only the first hit of counter-attack reaches opponent (e.g. absorbing a ranged Dhalsim poke)"",""punish_adv"":""KD +77 Crumple"",""raw_source_token"":""c.viper_214k_hold""}",,cviper,Focus Force (Lv.3),214[K],charged_focus_force,56,D,False,not_required,cviper_048_2_1_4_k | cviper_049_2_1_4_k,,
supercombo_enrichment,supercombo,20260412T214259Z-d1544e78,20260412T214259Z-d1544e78:t054:c.viper_214k_partial_hold,c.viper_214k_partial_hold,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214{K}"",""move_group"":""charged_focus_force"",""move_name"":""Focus Force (Lv.2)"",""notes_sc"":""Partially charged Lv.2 version when button is held at least 20f (up to 58f); Punish Counter causes a limited juggle crumple state (+8 before opponent falls to the ground); 1-hit armor frames cover the full body, ending immediately if button is released after frame 13; attack hitbox starts up 10f after button release (no armor on these frames); absorbing a strike results in an automatic counter-attack with 10f startup; C. Viper incurs only 7f armor hitstop from absorbing a strike; armor can absorb projectiles but does not perform counter-attack (C. Viper incurs 10f projectile hitstop during armor); cancelable into Forward Dash from frame 12 until button is released (not possible after absorbing a strike); C. Viper is in a Punish Counter state for entire duration (including Forward Dash cancel); only the first hit gains the bonus damage from a Counter-hit/Punish Counter; -17 on Punish Counter if only the first hit of counter-attack reaches opponent (e.g. absorbing a ranged Dhalsim poke); Focus + Dash can be used to absorb projectiles when Drive gauge is too low for Parry"",""punish_adv"":""KD +56 Crumple"",""raw_source_token"":""c.viper_214k_partial_hold""}",,cviper,Focus Force (Lv.2),214{K},charged_focus_force,54,D,False,not_required,cviper_048_2_1_4_k | cviper_049_2_1_4_k,,
supercombo_enrichment,supercombo,20260412T214259Z-d1544e78,20260412T214259Z-d1544e78:t057:c.viper_214kk_hold,c.viper_214kk_hold,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214[KK]"",""move_group"":""charged_focus_force"",""move_name"":""Focus Force (Lv.3)"",""notes_sc"":""Fully charged Lv.3 version when button is held at least 57f; Punish Counter causes a limited juggle crumple state (+29 before opponent falls to the ground); extremely powerful combo starter for Stun or punishing very unsafe Supers; 1-hit armor frames cover the full body; attack hitbox starts up 10f after reaching full charge (no armor on these frames); absorbing a strike while charging results in an automatic counter-attack with 10f startup; C. Viper incurs only 7f armor hitstop from absorbing a strike; armor can absorb projectiles but does not perform counter-attack (C. Viper incurs 10f projectile hitstop during armor); cancelable into Forward Dash from frame 9-58 (not possible after absorbing a strike); C. Viper is in a Punish Counter state for entire duration (including Forward Dash cancel); only the first hit gains the bonus damage from a Counter-hit/Punish Counter; -17 on Punish Counter if only the first hit of counter-attack reaches opponent (e.g. absorbing a ranged Dhalsim poke)"",""punish_adv"":""KD +77 Crumple"",""raw_source_token"":""c.viper_214kk_hold""}",,cviper,Focus Force (Lv.3),214[KK],charged_focus_force,57,D,False,not_required,cviper_051_2_1_4_k_k | cviper_052_2_1_4_k_k,,
supercombo_enrichment,supercombo,20260412T214259Z-d1544e78,20260412T214259Z-d1544e78:t055:c.viper_214kk_partial_hold,c.viper_214kk_partial_hold,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214{KK}"",""move_group"":""charged_focus_force"",""move_name"":""Focus Force (Lv.2)"",""notes_sc"":""Partially charged Lv.2 version when button is held at least 20f (up to 56f); Punish Counter causes a limited juggle crumple state (+8 before opponent falls to the ground); 1-hit armor frames cover the full body, ending immediately if button is released after frame 10; attack hitbox starts up 10f after button release (no armor on these frames); absorbing a strike results in an automatic counter-attack with 10f startup; C. Viper incurs only 7f armor hitstop from absorbing a strike; armor can absorb projectiles but does not perform counter-attack (C. Viper incurs 10f projectile hitstop during armor); cancelable into Forward Dash from frame 9 until button is released (not possible after absorbing a strike); C. Viper is in a Punish Counter state for entire duration (including Forward Dash cancel); only the first hit gains the bonus damage from a Counter-hit/Punish Counter; -17 on Punish Counter if only the first hit of counter-attack reaches opponent (e.g. absorbing a ranged Dhalsim poke)"",""punish_adv"":""KD +56 Crumple"",""raw_source_token"":""c.viper_214kk_partial_hold""}",,cviper,Focus Force (Lv.2),214{KK},charged_focus_force,55,D,False,not_required,cviper_051_2_1_4_k_k | cviper_052_2_1_4_k_k,,
supercombo_enrichment,supercombo,20260412T214259Z-d1544e78,20260412T214259Z-d1544e78:t042:c.viper_236kk,c.viper_236kk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236KK"",""move_group"":""burning_kick"",""move_name"":""Burning Kick"",""notes_sc"":""Best horizontal range for combo consistency; 2 hits (cannot be interrupted on block); cannot hit cross-up; recovery is cancelable into SA2/SA3 after 11f on hit or block; very difficult to space meaty for extra advantage due to minimal forward movement during 2nd hit's active frames; important juggle tool after launches into Air Burning Kick or juggled 5HK ground bounce; combo from 5HK > HJC requires a strict 2f input window (cannot buffer on the first High Jump frame, and results in air version on frame 4 onward)"",""punish_adv"":""KD +43"",""raw_source_token"":""c.viper_236kk""}",,cviper,Burning Kick,236KK,burning_kick,42,D,False,not_required,cviper_035_2_3_6_k_k | cviper_041_2_3_6_k_k,,
