character_slug,move_id,punishable_threshold,is_safe_on_block,is_plus_on_hit,is_plus_on_block,meaty_hit_adv_max,meaty_block_adv_max,startup_bucket,simple_punish_adv,derivation_notes
deejay,deejay_001_5_lp,1,True,True,False,6,1,4f_or_faster,1,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
deejay,deejay_002_5_lk,2,True,True,False,3,-1,5_to_7,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
deejay,deejay_003_5_mp,0,True,True,True,7,4,5_to_7,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
deejay,deejay_004_5_mk,1,True,True,False,8,1,8_to_10,1,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
deejay,deejay_005_5_hp,4,True,True,False,8,1,8_to_10,4,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
deejay,deejay_006_5_hk,5,False,True,False,3,-3,11_plus,5,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
deejay,deejay_007_2_lp,1,True,True,False,6,1,5_to_7,1,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
deejay,deejay_008_2_lk,2,True,True,False,3,-1,5_to_7,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
deejay,deejay_009_2_mp,1,True,True,False,8,2,5_to_7,1,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
deejay,deejay_010_2_mk,6,False,,False,,-3,8_to_10,6,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
deejay,deejay_011_2_hp,2,True,True,False,7,-1,8_to_10,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
