character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
deejay,deejay_001_5_lp,立ち弱P （ジャブ）,5LP,normals,4,4-6,6,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
deejay,deejay_002_5_lk,立ち弱K （ローキック）,5LK,normals,5,5-6,12,,2,-2,C,300,始動補正20%,250,-500,-2000,300,上,
deejay,deejay_003_5_mp,立ち中P （フロントフック）,5MP,normals,7,7-9,13,,5,2,,600,,2000,-4000,-6000,500,上,
deejay,deejay_004_5_mk,立ち中K （ミドルキック）,5MK,normals,9,9-11,16,,6,-1,,600,,2000,-4000,-6000,700,上,
deejay,deejay_005_5_hp,立ち強P （ブラストアッパー）,5HP,normals,9,9-14,18,,3,-4,C,800,始動補正20%,2000,-5000,-8000,1000,上,持続の2F目までキャンセル可 | 強制立ち効果
deejay,deejay_006_5_hk,立ち強K （マキシマムキック）,5HK,normals,12,12-14,※22,,1,-5,,800,始動補正20%,3000,-6000,-8000,1000,上,※空振り時硬直4F増加 | パニッシュカウンター時+18F
deejay,deejay_007_2_lp,しゃがみ弱P （アンダージャブ）,2LP,normals,5,5-7,8,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
deejay,deejay_008_2_lk,しゃがみ弱K （アンダーウィップ）,2LK,normals,5,5-6,10,,2,-2,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
deejay,deejay_009_2_mp,しゃがみ中P （レッグクラッシュエルボー）,2MP,normals,6,6-9,※14,,5,-1,C,600,,1500,-3000,-4000,500,上,※空振り時硬直1F増加
deejay,deejay_010_2_mk,しゃがみ中K （グランドスクラッチ）,2MK,normals,8,8-11,19,,,-6,,700,,2000,-4000,-6000,600,下,パニッシュカウンター時ハードノックダウン
deejay,deejay_011_2_hp,しゃがみ強P （バーストフック）,2HP,normals,8,8-9,20,,6,-2,,800,,3000,-4000,-10000,1000,上,強制立ち効果 | パニッシュカウンター時+12F
deejay,deejay_012_2_hk,しゃがみ強K （スライディングヒールアッパー）,2HK,normals,14,14-23,15,,D,-11,,900,,3000,-4000,-10000,1000,下,カウンター/パニッシュカウンター時ダウン時間延長
deejay,deejay_013_j_lp,ジャンプ弱P （ファンクストレート）,j.LP,normals,4,4-10,着地後3,,,,,300,,500,-1500,-2000,300,中,
deejay,deejay_014_j_lk,ジャンプ弱K （ファンクウィップ）,j.LK,normals,4,4-9,着地後3,,,,,300,,500,-1500,-2000,300,中,
deejay,deejay_015_j_mp,ジャンプ中P （ファンクアッパー）,j.MP,normals,6,6-9,着地後3,,,,,700,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン
deejay,deejay_016_j_mk,ジャンプ中K （フライングムエタイキック）,j.MK,normals,8,8-13,着地後3,,,,,500,,1000,-2500,-4000,500,中,めくり性能
deejay,deejay_017_j_hp,ジャンプ強P （ファンクバウンド）,j.HP,normals,9,9-14,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中ヒット時叩き付けダウン
deejay,deejay_018_j_hk,ジャンプ強K （フライングカリビアンソバット）,j.HK,normals,10,10-14,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
deejay,deejay_020_6_mk,サンライズヒール,6MK,command_normals,19,19-23,16,,5,1,SA,700,,2000,-4000,-6000,500,上,空中ヒット時叩き付けダウン
deejay,deejay_022_lp_mk,3ビートコンボ （2段目）,LP>MK,command_normals,9,9-11,20,,2,-3,,400,始動補正20%,250,-2000,-2000,300,上,
deejay,deejay_023_lp_mk_mk,3ビートコンボ （3段目）,LP>MK>MK,command_normals,14,14-16,19,,3,-8,,626,,500,-2000,-4000,400,上,
deejay,deejay_024_mp_hp,ディージェイスペシャル （2段目）,MP>HP,command_normals,11,11-17,24,,-2,-11,,500,,2000,-3000,-7000,1000,上,空中ヒット時吹き飛びダウン
deejay,deejay_025_mp_hp_hk,ディージェイスペシャル （3段目）,MP>HP>HK,command_normals,13,13-15,30,,D,-13,SA,600,,2500,-5000,-7000,1000,上,
deejay,deejay_026_mp_mp,ファンキーダンス （2段目）,MP>MP,command_normals,12,12-13,17,,2,-2,,500,,400,-1000,-4000,300,上,空中ヒット時吹き飛びダウン
