dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161516Z-d5bba474,20260412T161516Z-d5bba474:特殊技:021:ニーショット,,official_active_ambiguous,"{""active"":""6-着地まで"",""input"":""2LK"",""move_group"":""command_normals"",""move_name"":""ニーショット"",""recovery"":""着地後3"",""startup"":""6""}",deejay_019_2_lk,deejay,ニーショット,2LK,command_normals,,,,,,,
official_raw,official,20260412T161516Z-d5bba474,20260412T161516Z-d5bba474:特殊技:023:フェイスブレイカー,,official_active_ambiguous,"{""active"":""7-12 7-8,9-12"",""block_adv"":""-5"",""input"":""4HK"",""move_group"":""command_normals"",""move_name"":""フェイスブレイカー"",""recovery"":""20"",""startup"":""7""}",deejay_021_4_hk,deejay,フェイスブレイカー,4HK,command_normals,,,,,,,
official_raw,official,20260412T161516Z-d5bba474,20260412T161516Z-d5bba474:必殺技:040:中_ジャックナイフマキシマム,,official_active_ambiguous,"{""active"":""6-22 6-9, 19-22"",""block_adv"":""-32"",""input"":""8MK"",""move_group"":""specials"",""move_name"":""中 ジャックナイフマキシマム"",""recovery"":""22+着地後10"",""startup"":""6""}",deejay_037_8_mk,deejay,中 ジャックナイフマキシマム,8MK,specials,,,,,,,
official_raw,official,20260412T161516Z-d5bba474,20260412T161516Z-d5bba474:必殺技:041:強_ジャックナイフマキシマム,,official_active_ambiguous,"{""active"":""5-33 5-9, 17-21, 30-33"",""block_adv"":""-44"",""input"":""8HK"",""move_group"":""specials"",""move_name"":""強 ジャックナイフマキシマム"",""recovery"":""17+着地後15"",""startup"":""5""}",deejay_038_8_hk,deejay,強 ジャックナイフマキシマム,8HK,specials,,,,,,,
official_raw,official,20260412T161516Z-d5bba474,20260412T161516Z-d5bba474:必殺技:042:od_ジャックナイフマキシマム,,official_active_ambiguous,"{""active"":""6-64 6-11, 19-21, 31-33, 49-51, 61-64"",""block_adv"":""-55"",""input"":""8KK"",""move_group"":""specials"",""move_name"":""OD ジャックナイフマキシマム"",""recovery"":""29+着地後18"",""startup"":""6""}",deejay_039_8_k_k,deejay,OD ジャックナイフマキシマム,8KK,specials,,,,,,,
official_raw,official,20260412T161516Z-d5bba474,20260412T161516Z-d5bba474:必殺技:045:ダブルローリングソバット,,official_active_ambiguous,"{""active"":""15-39 15-17, 36-39"",""block_adv"":""-10"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""ダブルローリングソバット"",""recovery"":""24"",""startup"":""15""}",deejay_042_2_3_6_hk,deejay,ダブルローリングソバット,236HK,specials,,,,,,,
official_raw,official,20260412T161516Z-d5bba474,20260412T161516Z-d5bba474:必殺技:046:od_ダブルローリングソバット,,official_active_ambiguous,"{""active"":""19-32 19-20, 30-32"",""block_adv"":""-2"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""OD ダブルローリングソバット"",""recovery"":""19"",""startup"":""19""}",deejay_043_2_3_6_k_k,deejay,OD ダブルローリングソバット,236KK,specials,,,,,,,
official_raw,official,20260412T161516Z-d5bba474,20260412T161516Z-d5bba474:スーパーアーツ:071:sa2_サンライズフェスティバル_ライト_7段目,,official_active_ambiguous,"{""active"":""18-28 18-20, 26-28"",""block_adv"":""-61"",""input"":""236236LP>LP>MP>HP>LK>MK>HK"",""move_group"":""super_arts"",""move_name"":""SA2 サンライズフェスティバル・ライト （7段目）"",""recovery"":""79"",""startup"":""18""}",deejay_067_2_3_6_2_3_6_lp_lp_mp_hp_lk_mk_hk,deejay,SA2 サンライズフェスティバル・ライト （7段目）,236236LP>LP>MP>HP>LK>MK>HK,super_arts,,,,,,,
official_raw,official,20260412T161516Z-d5bba474,20260412T161516Z-d5bba474:スーパーアーツ:078:sa2_サンライズフェスティバル_マーベラス_7段目,,official_active_ambiguous,"{""active"":""18-28 18-20, 26-28"",""block_adv"":""-43"",""input"":""236236MP>LP>MP>HP>LK>MK>HK"",""move_group"":""super_arts"",""move_name"":""SA2 サンライズフェスティバル・マーベラス （7段目）"",""recovery"":""64"",""startup"":""18""}",deejay_074_2_3_6_2_3_6_mp_lp_mp_hp_lk_mk_hk,deejay,SA2 サンライズフェスティバル・マーベラス （7段目）,236236MP>LP>MP>HP>LK>MK>HK,super_arts,,,,,,,
official_raw,official,20260412T161516Z-d5bba474,20260412T161516Z-d5bba474:スーパーアーツ:085:sa2_サンライズフェスティバル_マキシマム_7段目,,official_active_ambiguous,"{""active"":""18-28 18-20, 26-28"",""block_adv"":""-43"",""input"":""236236HP>LP>MP>HP>LK>MK>HK"",""move_group"":""super_arts"",""move_name"":""SA2 サンライズフェスティバル・マキシマム （7段目）"",""recovery"":""64"",""startup"":""18""}",deejay_081_2_3_6_2_3_6_hp_lp_mp_hp_lk_mk_hk,deejay,SA2 サンライズフェスティバル・マキシマム （7段目）,236236HP>LP>MP>HP>LK>MK>HK,super_arts,,,,,,,
