character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
deejay,deejay_001_5_lp,Standing Light Punch,5LP,normals,13 (12 TC),13,8,9,+8,-7,+3,-2,+8,+3,-,-,-,1,1,0,-,1.04,150 (75),Chains into 5LP/2LP/2LK; very low recovery makes it safer than most lights when Perfect Parried; [4]6LP cancel: -9/-14; 236LK cancel: -14/-19
deejay,deejay_002_5_lk,Standing Light Kick,5LK,normals,14,16,12,9,+6,-12,+5,+1,+6,+2,-,-,-,1,1,0,-,1.239,150 (75),"Good buffer tool; combos into 236HK on hit, or 236KK on Punish Counter making it a useful 5f punish tool; [4]6LP cancel: -6/-10; 236LK cancel: -11/-15; DR cancel is delayed until after 2nd active frame"
deejay,deejay_003_5_mp,Standing Medium Punch,5MP,normals,"21 (~MP), 17 (~HP)",21,18,11,+9,-14,-,-,+9,+6,-,-,-,1,1,0,-,1.18,250 (125),Good combo/frame trap starter with 2 different Target Combo follow-ups
deejay,deejay_004_5_mk,Standing Medium Kick,5MK,normals,-,25,18,11,+10,-17,-,-,+10,+3,-,-,-,1,1,0,-,1.618,350 (175),Decent neutral poke that can lead to combos at close range
deejay,deejay_005_5_hp,Standing Heavy Punch,5HP,normals,16,27,20,13,+7(+12),-22(-17),+17,+10,+7(+12),0 (+5),-,-,-,1,1,0,-,1.796 (0.962),500 (250),"The first 2 active frames are cancelable, can hit crouching, and force stand (important for [2]8HK combo routes); active frames 3-6 deal 100 less damage and have much longer range, but are not cancelable and whiff on crouching opponents (unless they extend a vertical hurtbox); much better frame advantage on a long-range connect (useful as a shimmy tool and punish starter); [4]6LP cancel: +5/-2; 236LK cancel: 0/-7"
deejay,deejay_006_5_hk,Standing Heavy Kick,5HK,normals,-,26,20,13,+18 Stagger,-23,-,-,+5,-1,-,-,-,1,1,0,-,1.939,500 (250),Great poke that leads to full Drive Rush conversions on Punish Counter (or a spinning limited juggle state on airborne Punish Counter); 4f extra recovery on whiff; extends a hurtbox 1f before active that is vulnerable to projectiles
deejay,deejay_007_2_lp,Crouching Light Punch,2LP,normals,13,15,10,9,+8,-9,+5,0,+8,+3,-,-,-,1,1,0,-,1.18,150 (75),Chains into 5LP/2LP/2LK; [4]6LP cancel: -7/-12; 236LK cancel: -12/-17; topmost hurtbox on frames 1-7 is vulnerable only to aerial strikes (preventing its use as an anti-air)
deejay,deejay_008_2_lk,Crouching Light Kick,2LK,normals,-,14,10,9,+6,-10,-,-,+6,+2,-,-,-,1,1,0,-,1.22,150 (75),Chains into 5LP/2LP/2LK
deejay,deejay_009_2_mp,Crouching Medium Punch,2MP,normals,19*,23,17,11,+9,-16,+13,+7,+9,+3,-,-,-,1,1,0,-,1.225,250 (125),"1f extra recovery on whiff; good combo/buffer tool and meaty normal; good hitbox priority against low pokes; very long special hitconfirm window (but only 13f when canceling to 214MP or 16f into 236KK); when used out of Drive Rush, can link to 5HP on crouching opponents; [4]6LP cancel: +1/-5; 236LK cancel: -4/-10"
deejay,deejay_010_2_mk,Crouching Medium Kick,2MK,normals,-,-,17,11,HKD +29,-21,-,-,KD +29,-2,-,-,-,1,1,0,-,1.52,300 (150),"Acts like a sweep, but safer (difficult for many characters to punish); HKD on Punish Counter only; good hitbox priority; has an extended hurtbox on whiff until the end of recovery"
