dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t020:dee_jay_4hk,dee_jay_4hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""4HK"",""move_group"":""command_normals"",""move_name"":""Face Breaker"",""notes_sc"":""Forces Stand on hit; good anti-air but cannot hit cross-up; 1st hit puts airborne opponents into limited juggle state; 2nd hit causes air reset (Punish Counter causes both hits to juggle); if only 2nd hit connects, it deals the full 800 damage and Drive/Super meter gain; CH/PC advantage carries through both hits; [4]6LP cancel: +5/-5 1st hit, 0/-6 2nd hit; 236LK cancel: 0/-10 1st hit, -5/-11 2nd hit; 2nd hit special/DR cancel is delayed until after active frames; juggle limit of the 2nd hit is increased by 1 only when the first hit connects"",""punish_adv"":""+5"",""raw_source_token"":""dee_jay_4hk""}",deejay_021_4_hk,deejay,Face Breaker,4HK,command_normals,20,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t048:dee_jay_236hk,dee_jay_236hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""Double Rolling Sobat"",""notes_sc"":""Stays close to opponent for +2 strike/throw mixup on hit; Counter-hit/Punish Counter bonus frame advantage carries through both hits; when canceled to SA3, weaker than MK version due to missing the 2nd hit"",""punish_adv"":""+6"",""raw_source_token"":""dee_jay_236hk""}",deejay_042_2_3_6_hk,deejay,Double Rolling Sobat,236HK,specials,48,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t049:dee_jay_236kk,dee_jay_236kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""Double Rolling Sobat"",""notes_sc"":""Low crush 14-28f (not airborne); puts opponent into limited juggle state (can only combo into SA2/SA3 vs. grounded, but much more lenient juggle state vs. airborne opponents); somewhat weak to Drive Impact because only 2nd hit is Super cancelable"",""punish_adv"":""KD +39"",""raw_source_token"":""dee_jay_236kk""}",deejay_043_2_3_6_k_k,deejay,Double Rolling Sobat,236KK,specials,49,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t061:dee_jay_214kk_lk,dee_jay_214kk_lk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214KK~LK"",""move_group"":""jus_cool"",""move_name"":""Funky Slicer"",""notes_sc"":""Safe low ender; 5f extra recovery on whiff or vs. armor; good for whiff punishing after baiting opponent with 214KK; earliest timing on block gives 4f gap that can set up trade combos into 5HP"",""punish_adv"":""+16"",""raw_source_token"":""dee_jay_214kk_lk""}",,deejay,Funky Slicer,214KK~LK,jus_cool,61,E,False,not_required,,deejay_051_lk_followup,deejay_051_lk
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t066:dee_jay_22pp,dee_jay_22pp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""22PP"",""move_group"":""speedy_maracas"",""move_name"":""Speedy Maracas"",""notes_sc"":""Can hold buttons to extend dance; counter-hit state for entire duration; can be canceled into from any version of [4]6P (remains in a Punish Counter state afterwards); builds Super Art gauge (2000 after 88f, then 49 per frame beginning on frame 109 when held); recovery starts after 88f when tapped or when buttons are released; takes 272f to build 1 bar; if Dee Jay reaches 2 bars of Super Gauge, transitions to a new dance animation with more recovery"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_22pp""}",,deejay,Speedy Maracas,22PP,speedy_maracas,66,E,False,not_required,,deejay_2_p_p_followup,deejay_030_2_2_p_p
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t067:dee_jay_22pp_2bar,dee_jay_22pp_2bar,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""22PP"",""move_group"":""speedy_maracas"",""move_name"":""Speedy Maracas (2+ Bars)"",""notes_sc"":""If Dee Jay reaches 2 bars of meter, he enters a second dance animation that lasts an extra 73f; can hold buttons to extend dance; counter-hit state for entire duration; can be canceled into from any version of [4]6P (remains in a Punish Counter state afterwards); builds Super Art gauge (2000 after 68f, then 49 per frame beginning on frame 96 when held); recovery starts after 95f when tapped (168f if tapping puts Dee Jay at 2 bars), or when buttons are released; takes 259f to go from 2 to 3 bars"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_22pp_2bar""}",,deejay,Speedy Maracas (2+ Bars),22PP,speedy_maracas,67,E,False,not_required,,deejay_2_p_p_followup,deejay_030_2_2_p_p
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t086:dee_jay_236236hp_lp,dee_jay_236236hp_lp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""~LP"",""move_group"":""super_arts"",""move_name"":""(1) +LP (Headliner Hit 1)"",""notes_sc"":""Comes out on hit only; 9f timing window after 236236HP; KD +41~42 when juggled into (can juggle afterward)"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236hp_lp""}",,deejay,(1) +LP (Headliner Hit 1),~LP,super_arts,86,E,False,not_required,,deejay_3_6_2_3_6_lp_followup,deejay_061_2_3_6_2_3_6_lp
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t087:dee_jay_236236hp_lp_mp,dee_jay_236236hp_lp_mp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""~MP"",""move_group"":""super_arts"",""move_name"":""(2) +MP (Headliner Hit 2)"",""notes_sc"":""Comes out on hit only; () refers to correct rhythm timing; 9f timing window after 236236HP~LP; KD +57 OTG Bounce when juggled into"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236hp_lp_mp""}",,deejay,(2) +MP (Headliner Hit 2),~MP,super_arts,87,E,False,not_required,,deejay_3_6_2_3_6_p_lp_mp_followup,deejay_087_2_3_6_2_3_6_p_lp_mp
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t088:dee_jay_236236hp_lp_mp_hp,dee_jay_236236hp_lp_mp_hp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""~HP"",""move_group"":""super_arts"",""move_name"":""(3) +HP (Headliner Hit 3)"",""notes_sc"":""Comes out on hit only; () refers to correct rhythm timing; 9f timing window after 236236HP~LP~MP; KD +49 when juggled into (can juggle afterward)"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236hp_lp_mp_hp""}",,deejay,(3) +HP (Headliner Hit 3),~HP,super_arts,88,D,False,not_required,deejay_082_hp | deejay_083_hp,,
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t089:dee_jay_236236hp_lp_mp_hp_lk,dee_jay_236236hp_lp_mp_hp_lk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""~LK"",""move_group"":""super_arts"",""move_name"":""(4) +LK (Headliner Hit 4)"",""notes_sc"":""Comes out on hit only; () refers to correct rhythm timing; 9f timing window after 236236HP~LP~MP~HP; KD +41 when juggled into"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236hp_lp_mp_hp_lk""}",,deejay,(4) +LK (Headliner Hit 4),~LK,super_arts,89,E,False,not_required,,deejay_051_lk_followup,deejay_051_lk
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t090:dee_jay_236236hp_lp_mp_hp_lk_mk,dee_jay_236236hp_lp_mp_hp_lk_mk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""~MK"",""move_group"":""super_arts"",""move_name"":""(5) +MK (Headliner Hit 5)"",""notes_sc"":""Comes out on hit only; () refers to correct rhythm timing; 13f timing window after 236236HP~LP~MP~HP~LK; KD +32 when juggled into"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236hp_lp_mp_hp_lk_mk""}",,deejay,(5) +MK (Headliner Hit 5),~MK,super_arts,90,D,False,not_required,deejay_052_mk | deejay_053_mk,,
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t091:dee_jay_236236hp_lp_mp_hp_lk_mk_hk,dee_jay_236236hp_lp_mp_hp_lk_mk_hk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""~HK"",""move_group"":""super_arts"",""move_name"":""(6) +HK (Headliner Hit 6)"",""notes_sc"":""Comes out on hit only; () refers to correct rhythm timing; 15f timing window after 236236HP~LP~MP~HP~LK~MK; KD +26~27 when juggled into"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236hp_lp_mp_hp_lk_mk_hk""}",,deejay,(6) +HK (Headliner Hit 6),~HK,super_arts,91,D,False,not_required,deejay_054_hk | deejay_055_hk | deejay_084_hk | deejay_085_hk,,
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t092:dee_jay_236236hp_lp_mp_hp_lk_mk_hk_hp,dee_jay_236236hp_lp_mp_hp_lk_mk_hk_hp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""~HP"",""move_group"":""super_arts"",""move_name"":""(End) Climactic Strike"",""notes_sc"":""Switches sides; only possible after landing all rhythm timings; () refers to KD Adv. when juggled into; 42f timing window after 236236HP~LP~MP~HP~LK~MK~HK"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236hp_lp_mp_hp_lk_mk_hk_hp""}",,deejay,(End) Climactic Strike,~HP,super_arts,92,D,False,not_required,deejay_082_hp | deejay_083_hp,,
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t069:dee_jay_236236lp,dee_jay_236236lp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""236236LP"",""move_group"":""super_arts"",""move_name"":""Lowkey Sunrise Festival"",""notes_sc"":""LP~MP~HP~LK~MK~HK follow-ups (on hit only) must be manually timed (LP sequence is easiest but lowest damage and cannot use cinematic HP/HK enders); all follow-ups up to MK are +6 on hit with no additional damage scaling; full invincibility extended 1-29f on hit; KD +27 when juggled into; forces stand; cannot hit cross-up; applies 30% scaling to Super Art gain until end of combo"",""punish_adv"":""+10"",""raw_source_token"":""dee_jay_236236lp""}",,deejay,Lowkey Sunrise Festival,236236LP,super_arts,69,E,False,not_required,,deejay_3_6_2_3_6_lp_followup,deejay_061_2_3_6_2_3_6_lp
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t070:dee_jay_236236lp_lp,dee_jay_236236lp_lp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""~LP"",""move_group"":""super_arts"",""move_name"":""(1) +LP (Lowkey Hit 1)"",""notes_sc"":""Comes out on hit only; 45f timing window after 236236LP; KD +41 when juggled into (can juggle afterwards)"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236lp_lp""}",,deejay,(1) +LP (Lowkey Hit 1),~LP,super_arts,70,E,False,not_required,,deejay_3_6_2_3_6_lp_followup,deejay_061_2_3_6_2_3_6_lp
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t072:dee_jay_236236lp_lp_mp_hp,dee_jay_236236lp_lp_mp_hp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""~HP"",""move_group"":""super_arts"",""move_name"":""(3) +HP (Lowkey Hit 3)"",""notes_sc"":""Comes out on hit only; f timing window after 236236LP~LP~MP; KD +49 when juggled into (can juggle afterwards)"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236lp_lp_mp_hp""}",,deejay,(3) +HP (Lowkey Hit 3),~HP,super_arts,72,D,False,not_required,deejay_082_hp | deejay_083_hp,,
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t073:dee_jay_236236lp_lp_mp_hp_lk,dee_jay_236236lp_lp_mp_hp_lk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""~LK"",""move_group"":""super_arts"",""move_name"":""(4) +LK (Lowkey Hit 4)"",""notes_sc"":""Comes out on hit only; f timing window after 236236LP~LP~MP~HP; KD +41 when juggled into"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236lp_lp_mp_hp_lk""}",,deejay,(4) +LK (Lowkey Hit 4),~LK,super_arts,73,E,False,not_required,,deejay_051_lk_followup,deejay_051_lk
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t074:dee_jay_236236lp_lp_mp_hp_lk_mk,dee_jay_236236lp_lp_mp_hp_lk_mk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""~MK"",""move_group"":""super_arts"",""move_name"":""(5) +MK (Lowkey Hit 5)"",""notes_sc"":""Comes out on hit only; f timing window after 236236LP~LP~MP~HP~LK; KD +32 when juggled into"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236lp_lp_mp_hp_lk_mk""}",,deejay,(5) +MK (Lowkey Hit 5),~MK,super_arts,74,D,False,not_required,deejay_052_mk | deejay_053_mk,,
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t075:dee_jay_236236lp_lp_mp_hp_lk_mk_hk,dee_jay_236236lp_lp_mp_hp_lk_mk_hk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""~HK"",""move_group"":""super_arts"",""move_name"":""(End) +HK (Lowkey Hit End)"",""notes_sc"":""Comes out on hit only; f timing window after 236236LP~LP~MP~HP~LK~MK; HKD +28 when juggled into"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236lp_lp_mp_hp_lk_mk_hk""}",,deejay,(End) +HK (Lowkey Hit End),~HK,super_arts,75,D,False,not_required,deejay_054_hk | deejay_055_hk | deejay_084_hk | deejay_085_hk,,
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t077:dee_jay_236236mp_lp,dee_jay_236236mp_lp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""~LP"",""move_group"":""super_arts"",""move_name"":""(1) +LP (Marvelous Hit 1)"",""notes_sc"":""Comes out on hit only; () refers to correct rhythm timing; 11f timing window after 236236MP; KD +41 when juggled into (can juggle afterward)"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236mp_lp""}",,deejay,(1) +LP (Marvelous Hit 1),~LP,super_arts,77,E,False,not_required,,deejay_3_6_2_3_6_lp_followup,deejay_061_2_3_6_2_3_6_lp
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t078:dee_jay_236236mp_lp_mp,dee_jay_236236mp_lp_mp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""~MP"",""move_group"":""super_arts"",""move_name"":""(2) +MP (Marvelous Hit 2)"",""notes_sc"":""Comes out on hit only; () refers to correct rhythm timing; 18f timing window after 236236MP~LP; KD +57 OTG Bounce when juggled into"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236mp_lp_mp""}",,deejay,(2) +MP (Marvelous Hit 2),~MP,super_arts,78,E,False,not_required,,deejay_3_6_2_3_6_p_lp_mp_followup,deejay_087_2_3_6_2_3_6_p_lp_mp
supercombo_enrichment,supercombo,20260412T210554Z-b1ab66c9,20260412T210554Z-b1ab66c9:t079:dee_jay_236236mp_lp_mp_hp,dee_jay_236236mp_lp_mp_hp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""~HP"",""move_group"":""super_arts"",""move_name"":""(3) +HP (Marvelous Hit 3)"",""notes_sc"":""Comes out on hit only; () refers to correct rhythm timing; 16f timing window after 236236MP~LP~MP; KD +48~49 when juggled into (can juggle afterward)"",""punish_adv"":""-"",""raw_source_token"":""dee_jay_236236mp_lp_mp_hp""}",,deejay,(3) +HP (Marvelous Hit 3),~HP,super_arts,79,D,False,not_required,deejay_082_hp | deejay_083_hp,,
