character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
dhalsim,dhalsim_001_5_lp,立ち弱P（手刀チョップ）,5LP,normals,4,4-6,8,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
dhalsim,dhalsim_002_5_lk,立ち弱K（合掌フロントローキック）,5LK,normals,9,9-12,11,,2,-6,C,300,始動補正20%,250,-500,-2000,300,上,
dhalsim,dhalsim_003_5_mp,立ち中P（ズームストレート）,5MP,normals,14,14-16,19,,0,-5,,700,,2000,-3000,-6000,500,上,
dhalsim,dhalsim_004_5_mk,立ち中K（合掌ズームローキック）,5MK,normals,12,12-14,18,,-2,-6,,600,,2000,-3000,-6000,500,上,
dhalsim,dhalsim_005_5_hp,立ち強P（ダブルズームパンチ）,5HP,normals,16,16-19,27,,-6,-11,,1000,,4000,-5000,-8000,1000,上,パニッシュカウンター時吹き飛びダウン
dhalsim,dhalsim_006_5_hk,立ち強K（合掌ズームスピンキック）,5HK,normals,17,17-19,20,,3,-6,C,800,,2500,-4000,-8000,1000,上,空中ヒット時吹き飛びダウン | パニッシュカウンター時+24F
dhalsim,dhalsim_007_2_lp,しゃがみ弱P（手刀水平チョップ）,2LP,normals,5,5-7,9,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
dhalsim,dhalsim_008_2_lk,しゃがみ弱K（スライディング）,2LK,normals,4,4-10,16,,-5,-10,,200,,250,-500,-2000,300,下,
dhalsim,dhalsim_009_2_mp,しゃがみ中P（しゃがみズームパンチ）,2MP,normals,12,12-14,16,,0,-4,C,600,,2000,-3000,-6000,500,上,
dhalsim,dhalsim_010_2_mk,しゃがみ中K（ヨガスライディング）,2MK,normals,10,10-22,14,,-3,-10,,500,始動補正20%,1000,-2000,-3000,500,下,
dhalsim,dhalsim_011_2_hp,しゃがみ強P（ダブルヨガパンチ）,2HP,normals,19,19-22,20,,3,-8,,800,,3500,-4000,-8000,1000,下,空振り時硬直4F増加
dhalsim,dhalsim_012_2_hk,しゃがみ強K（ロングスライディング）,2HK,normals,12,12-27,20,,D,-16,,900,,2000,-4000,-7000,1000,下,カウンター/パニッシュカウンター時ダウン時間増加
dhalsim,dhalsim_013_j_lp,ジャンプ弱P（ジャンプ掌底）,j.LP,normals,4,4-7,着地後3,,,,,300,,750,-1500,-2000,300,中,
dhalsim,dhalsim_014_j_lk,ジャンプ弱K（ジャンプヨガ前蹴り）,j.LK,normals,6,6-9,着地後3,,,,,300,,750,-1500,-2000,300,中,めくり性能
dhalsim,dhalsim_015_j_mp,ジャンプ中P（ジャンプズームサイドパンチ）,j.MP,normals,9,9-14,着地後3,,,,C,700,始動補正20%,1500,-3000,-4000,500,上,空中コンボ中にヒット時吹き飛びダウン
dhalsim,dhalsim_016_j_mk,ジャンプ中K（合掌ジャンプアンダーキック）,j.MK,normals,11,11-16,着地後3,,,,,500,始動補正20%,1500,-3000,-4000,500,中,
dhalsim,dhalsim_017_j_hp,ジャンプ強P（合掌ハンマー）,j.HP,normals,13,13-16,着地後3,,,,,800,始動補正20%,2500,-5000,-6000,1000,中,空中ヒット時叩きつけダウン
dhalsim,dhalsim_018_j_hk,ジャンプ強K（ジャンプズームハイキック）,j.HK,normals,10,10-19,着地後3,,,,,800,始動補正20%,2500,-5000,-6000,1000,中,
dhalsim,dhalsim_019_4_mp,ヨガアッパー,4MP,command_normals,8,8-13,16,,2,-3,C,700,,1500,-3000,-4000,500,上,強制立ち効果
dhalsim,dhalsim_020_4_hp,ヨガランス,4HP,command_normals,14,14-20,29,,-9,-16,C,900,始動補正20%,2500,-5000,-8000,1000,上,空中カウンター/パニッシュカウンター時吹き飛びダウン
dhalsim,dhalsim_021_1_hp,涅槃パンチ,1HP,command_normals,10,10-13,20,,3,-3,C,800,,2000,-5000,-8000,1000,上,
dhalsim,dhalsim_022_1_lk,アジャイルキック,1LK,command_normals,5,5-7,10,,1,-3,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
dhalsim,dhalsim_023_4_mk,合掌キック,4MK,command_normals,7,7-10,17,,3,0,C,600,,1500,-3000,-4000,500,上,
dhalsim,dhalsim_024_1_mk,スラストキック,1MK,command_normals,8,8-10,20,,-3,-7,C,500,始動補正20%,1500,-3000,-4000,500,下,
dhalsim,dhalsim_025_4_hk,ヨガマウンテン,4HK,command_normals,14,14-19,20,,0,-9,,1000,,3000,-6000,-10000,1000,上,強制立ち効果 | 空中カウンター/パニッシュカウンター時吹き飛びダウン
dhalsim,dhalsim_026_1_hk,因果キック,1HK,command_normals,9,9-11,22,,D,-7,,900,,2500,-5000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
dhalsim,dhalsim_031_2_hk,ロングスライディング,2HK,command_normals,12,12-27,20,,D,-16,,900,,2000,-4000,-7000,1000,下,カウンター/パニッシュカウンター時ダウン時間増加
dhalsim,dhalsim_032_2_3_6_lp,弱 ヨガファイア,236LP,specials,15,,全体 48,48,-2,-6,SA3,600,,2000,-4000,-3000,600,上 ・ 弾,
dhalsim,dhalsim_033_2_3_6_lp,弱 ヨガファイア（ホールド）,236LP,specials,43,,全体 73,73,D,-1,SA3,800,,2000,-4000,-3000,800,上 ・ 弾,29Fボタンホールドしているとホールド版が自動で発動
dhalsim,dhalsim_034_2_3_6_mp,中 ヨガファイア,236MP,specials,15,,全体 48,48,-2,-6,SA3,600,,2000,-4000,-3000,600,上 ・ 弾,
dhalsim,dhalsim_035_2_3_6_mp,中 ヨガファイア（ホールド）,236MP,specials,43,,全体 73,73,D,-1,SA3,800,,2000,-4000,-3000,800,上 ・ 弾,29Fボタンホールドしているとホールド版が自動で発動
dhalsim,dhalsim_036_2_3_6_hp,強 ヨガファイア,236HP,specials,15,,全体 48,48,-2,-6,SA3,600,,2000,-4000,-3000,600,上 ・ 弾,
dhalsim,dhalsim_037_2_3_6_hp,強 ヨガファイア（ホールド）,236HP,specials,43,,全体 73,73,D,-1,SA3,800,,2000,-4000,-3000,800,上 ・ 弾,29Fボタンホールドしているとホールド版が自動で発動
dhalsim,dhalsim_038_2_3_6_p_p,OD 弱 ヨガファイア,236PP,specials,12,,全体 45,45,D,-3,SA2,1000,,0,-4000,-5000,800,上 ・ 弾,
dhalsim,dhalsim_039_2_3_6_p_p,OD 中 ヨガファイア,236PP,specials,12,,全体 45,45,D,-3,SA2,1000,,0,-4000,-5000,800,上 ・ 弾,
