character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
dhalsim,dhalsim_001_5_lp,Standing Light Punch,5LP,normals,13,15,10,9,+8,-9,+5,0,+8,+3,-,-,-,1,1,0,-,0.88,150 (75),Chains into 5LP/2LP/1LK
dhalsim,dhalsim_002_5_lk,Standing Light Kick,5LK,normals,14,17,9,9,+6,-13,+6,-2,+6,-2,-,-,-,1,1,0,-,1.55,150 (75),"Extremely long range for a light normal, but has startup similar to a medium poke; DR cancel is delayed until after 2nd active frame"
dhalsim,dhalsim_003_5_mp,Standing Medium Punch,5MP,normals,-,22,17,11,+4,-20,-,-,+4,-1,-,-,-,1,1,2,-,2.983,250 (125),Long range poke; extends hurtbox 1f before active so it can be counterpoked
dhalsim,dhalsim_004_5_mk,Standing Medium Kick,5MK,normals,-,19,15,11,+2,-19,-,-,+2,-2,-,-,-,1,1,2,-,2.50,250 (125),Long range poke; extends hurtbox 1f before active so it can be counterpoked
dhalsim,dhalsim_005_5_hp,Standing Heavy Punch,5HP,normals,-,25,20,13,KD +32,-29,-,-,-2,-7,-,-,-,1,1,2,-,3.624 (2.604),500 (250),"Long range poke; extended hurtbox lingers for the first 16 recovery frames (slightly retracts on 12-16f of recovery), making it easily whiff punished even at max range"
dhalsim,dhalsim_006_5_hk,Standing Heavy Kick,5HK,normals,20,26,17,13,+24 Stagger,-21,+12,+3,+7,-2,-,-,-,1 air,6,1,-,3.34,500 (250),"Only the closest hitbox can hit crouching opponents; mid-range hitbox whiffs on crouching opponents unless they extend a vertical hurtbox; the 2 farthest hitboxes whiff on all crouching opponents (even with an extended vertical hurtbox); extremely long range cancelable poke and anti-air; puts airborne opponents into limited juggle state; stagger on Punish Counter can combo into 5HP at most ranges, or can confirm into Drive Rush for stronger punishes; leg has an extended hurtbox 2f before active that is vulnerable to projectiles, and 1f before active that can be counterpoked; tip of Dhalsim's foot hurtbox is anti-air invincible on frames 16-23; special/DR cancel is delayed until after 2nd recovery frame"
dhalsim,dhalsim_007_2_lp,Crouching Light Punch,2LP,normals,15,16,11,9,+8,-10,+6,+1,+8,+3,-,-,-,1,1,0,-,1.14,150 (75),Chains into 5LP/2LP/1LK
dhalsim,dhalsim_008_2_lk,Crouching Light Kick,2LK,normals,-,18,13,9,-1 (+5),-21(-15),-,-,-1 (+5),-6 (0),Projectile 4-10 (Upper Body),-,-,1,1,2,-,1.44 (0.814),150 (75),Short range slide; semi-low profile 2-26f (until recovery)
dhalsim,dhalsim_009_2_mp,Crouching Medium Punch,2MP,normals,15,19,15,11,+4,-17,+9,+5,+4,0,-,-,-,1,1,2,-,1.96,250 (125),Long range cancelable poke; extends hurtbox 1f before active so it can be counterpoked
dhalsim,dhalsim_010_2_mk,Crouching Medium Kick,2MK,normals,-,24,17,11,+1 +13,-25(-13),-,-,+1 +13,-6 (+6),"Projectile 10-22 (Upper Body), 10-28 (Foot)",-,-,1,1,2,-,2.51 (1.302),250 (125),Medium range slide; semi-low profile 10-30f; can lead to follow-up combos or pressure if well spaced; opponent has a different reeling animation when spaced to be +4 or better on hit
dhalsim,dhalsim_011_2_hp,Crouching Heavy Punch,2HP,normals,-,27,16,13,+7,-26,-,-,+7,-4,11-39 Projectile (Upper Body),-,-,1,1,2,-,2.95,500 (250),Low Profile 11-46f (until recovery); can be used to punish projectiles from long range; 4f extra recovery on whiff and Perfect Parry
dhalsim,dhalsim_013_j_lp,Jumping Light Punch,j.LP,normals,-,17,9,9,+12(+17),-7 (-2),-,-,-,-,-,-,-,1,1,0,-,0.84,150 (75),Can be used as a fuzzy instant overhead vs. JP/Marisa/Zangief only
dhalsim,dhalsim_014_j_lk,Jumping Light Kick,j.LK,normals,-,12,9,9,-8 (+12),-22 (-2),-,-,-,-,-,-,-,1,1,0,-,1.03,150 (75),Cross-up; can be used as an instant overhead (no fuzzy setup required; works on all crouchers)
