dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t035:dhalsim_6hphk,dhalsim_6hphk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""6HPHK"",""move_group"":""system"",""move_name"":""Yoga Illusion (Block)"",""notes_sc"":""2 hits; performed by inputting 6HPHK during blockstun; 6f extra recovery on hit; both hits knock down; freezes the screen for 4f during startup; if 1st hit is Perfect Parried, opponent can interrupt with a move 7f or faster; see Drive Reversal ."",""punish_adv"":""KD +24"",""raw_source_token"":""dhalsim_6hphk""}",dhalsim_083_6_hphk,dhalsim,Yoga Illusion (Block),6HPHK,system,35,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t036:dhalsim_6hphk_recovery,dhalsim_6hphk_recovery,supercombo_missing_official_safe_row,"{""binding_class"":""F"",""input"":""6HPHK"",""move_group"":""system"",""move_name"":""Yoga Illusion (Recovery)"",""notes_sc"":""2 hits; performed by holding 6HPHK on wakeup; 6f extra recovery on hit; both hits knock down; does not have any screen freeze; if 1st hit is Perfect Parried, opponent can interrupt with a move 7f or faster; see Drive Reversal ."",""punish_adv"":""KD +24"",""raw_source_token"":""dhalsim_6hphk_recovery""}",dhalsim_084_6_hphk,dhalsim,Yoga Illusion (Recovery),6HPHK,system,36,F,True,confirmed,,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t064:dhalsim_214214k_hold,dhalsim_214214k_hold,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214214[K]"",""move_group"":""super_arts"",""move_name"":""Yoga Sunburst"",""notes_sc"":""Button strength determines trajectory; 9-hit projectile; cannot hit crouching opponents on the way up; larger hitbox than partially charged version; automatically releases if the hitbox above Dhalsim's head connects; upon hitting the floor, creates a larger stationary hitbox that lasts 20f; [] refers to active projectile time after release; Dhalsim can hold the fireball for 20f after fully charged (no benefit for doing this)"",""punish_adv"":""KD"",""raw_source_token"":""dhalsim_214214k_hold""}",,dhalsim,Yoga Sunburst,214214[K],super_arts,64,D,False,not_required,dhalsim_073_2_1_4_2_1_4_k | dhalsim_074_2_1_4_2_1_4_k,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t063:dhalsim_214214k_partial_hold,dhalsim_214214k_partial_hold,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214214{K}"",""move_group"":""super_arts"",""move_name"":""Yoga Sunburst"",""notes_sc"":""Button strength determines trajectory; 7-hit projectile; cannot hit crouching opponents on the way up; larger hitbox than uncharged version; automatically releases if the hitbox above Dhalsim's head connects; upon hitting the floor, creates a larger stationary hitbox that lasts 20f; [] refers to active projectile time after release"",""punish_adv"":""KD"",""raw_source_token"":""dhalsim_214214k_partial_hold""}",,dhalsim,Yoga Sunburst,214214{K},super_arts,63,D,False,not_required,dhalsim_073_2_1_4_2_1_4_k | dhalsim_074_2_1_4_2_1_4_k,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t044:dhalsim_236kk,dhalsim_236kk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236KK"",""move_group"":""yoga_arch"",""move_name"":""Yoga Arch"",""notes_sc"":""2-hit OD projectile thrown upward before coming down; button combination determines projectile speed and max distance (LKMK short, LKHK mid, MKHK far); projectile bounces twice toward the opponent upon hitting the floor (can only change direction on the first bounce); after the final bounce, creates a larger stationary hitbox that lasts 10f; projectile dissipates if completely off-screen; frame advantage refers to point blank upward hit, and varies significantly depending on range (canceling into 236KK can create enough pushback for much better frame advantage)"",""punish_adv"":""+5"",""raw_source_token"":""dhalsim_236kk""}",,dhalsim,Yoga Arch,236KK,yoga_arch,44,D,False,not_required,dhalsim_044_2_3_6_k_k | dhalsim_045_2_3_6_k_k | dhalsim_046_2_3_6_k_k,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t040:dhalsim_236p,dhalsim_236p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236P"",""move_group"":""yoga_fire"",""move_name"":""Yoga Fire"",""notes_sc"":""1-hit projectile; can hold the button for charged 2-hit version (releasing the button early throws the regular version with 11f startup); speed depends on button strength (LP slowest, MP mid, HP fastest); frame advantage increases significantly outside of close range"",""punish_adv"":""+2"",""raw_source_token"":""dhalsim_236p""}",,dhalsim,Yoga Fire,236P,yoga_fire,40,D,False,not_required,dhalsim_032_2_3_6_lp | dhalsim_034_2_3_6_mp | dhalsim_036_2_3_6_hp,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t041:dhalsim_236p_hold,dhalsim_236p_hold,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236[P]"",""move_group"":""yoga_fire"",""move_name"":""Yoga Fire (hold)"",""notes_sc"":""2-hit projectile; speed depends on button strength (LP slowest, MP mid, HP fastest); frame advantage increases significantly outside of close range"",""punish_adv"":""KD +51"",""raw_source_token"":""dhalsim_236p_hold""}",,dhalsim,Yoga Fire (hold),236[P],yoga_fire,41,D,False,not_required,dhalsim_033_2_3_6_lp | dhalsim_035_2_3_6_mp | dhalsim_037_2_3_6_hp,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t042:dhalsim_236pp,dhalsim_236pp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236PP"",""move_group"":""yoga_fire"",""move_name"":""Yoga Fire"",""notes_sc"":""2-hit OD projectile; speed depends on button combination (LP+MP slowest, LP+HP mid, MP+HP fastest); frame advantage increases significantly outside of close range"",""punish_adv"":""KD +49"",""raw_source_token"":""dhalsim_236pp""}",,dhalsim,Yoga Fire,236PP,yoga_fire,42,D,False,not_required,dhalsim_038_2_3_6_p_p | dhalsim_039_2_3_6_p_p | dhalsim_040_2_3_6_p_p,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t012:dhalsim_2hk,dhalsim_2hk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""2HK"",""move_group"":""normals"",""move_name"":""Long Sliding Kick"",""notes_sc"":""Long range slide; low profile 8-39f; best version of slide for countering projectiles; has juggle potential (no longer a Hard Knockdown if juggled into)"",""punish_adv"":""HKD +37(+52)"",""raw_source_token"":""dhalsim_2hk""}",,dhalsim,Long Sliding Kick,2HK,normals,12,D,False,not_required,dhalsim_012_2_hk | dhalsim_031_2_hk,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t055:dhalsim_2kk,dhalsim_2kk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""2KK"",""move_group"":""yoga_float"",""move_name"":""or 3KK Yoga Float"",""notes_sc"":""Can use aerial normals/specials and move left/right after 30f rising animation; 3KK versions moves Dhalsim forward before rising; Counter-hit state on frame 1 until landing; active time refers to the airborne period in which Dhalsim can move (can input air attacks during his 20f descent); crouching state on final landing frame; Movement Speed: 0.04 forward / 0.03 back"",""punish_adv"":""-"",""raw_source_token"":""dhalsim_2kk""}",,dhalsim,or 3KK Yoga Float,2KK,yoga_float,55,D,False,not_required,dhalsim_059_2_k_k | dhalsim_061_2_k_k,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t069:dhalsim_4pppkkk,dhalsim_4pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""4PPPKKK"",""move_group"":""taunts"",""move_name"":""Back Taunt"",""notes_sc"":""\""I am in no hurry. Everything flows as one.\"""",""punish_adv"":""-"",""raw_source_token"":""dhalsim_4pppkkk""}",,dhalsim,Back Taunt,4PPPKKK,taunts,69,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t067:dhalsim_5pppkkk,dhalsim_5pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""5PPPKKK"",""move_group"":""taunts"",""move_name"":""Neutral Taunt"",""notes_sc"":""\""What is it... already finished?\"""",""punish_adv"":""-"",""raw_source_token"":""dhalsim_5pppkkk""}",,dhalsim,Neutral Taunt,5PPPKKK,taunts,67,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t057:dhalsim_6ppp_6kkk_4ppp_4kkk,dhalsim_6ppp_6kkk_4ppp_4kkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""4"",""move_group"":""yoga_teleport"",""move_name"":""or 6 + PPP/KKK Yoga Teleport"",""notes_sc"":""6PPP version crosses up (but cannot switch sides with fully cornered opponent); 6KKK version stays on same side next to opponent; 4PPP and 4KKK versions are identical; 7f extra recovery on backward version"",""punish_adv"":""-"",""raw_source_token"":""dhalsim_6ppp_6kkk_4ppp_4kkk""}",,dhalsim,or 6 + PPP/KKK Yoga Teleport,4,yoga_teleport,57,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T210424Z-a4a761c1,20260412T210424Z-a4a761c1:t068:dhalsim_6pppkkk,dhalsim_6pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""6PPPKKK"",""move_group"":""taunts"",""move_name"":""Forward Taunt"",""notes_sc"":""\""Unleash your heart!\"""",""punish_adv"":""-"",""raw_source_token"":""dhalsim_6pppkkk""}",,dhalsim,Forward Taunt,6PPPKKK,taunts,68,G,False,not_required,,,
