dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t044:ed_214lp,ed_214lp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214LP"",""move_group"":""specials"",""move_name"":""Psycho Blitz"",""notes_sc"":""3 hits; leaves opponent grounded; counter-hit/Punish Counter advantage carries through all hits; puts airborne opponents into limited juggle state"",""punish_adv"":""+7"",""raw_source_token"":""ed_214lp""}",ed_040_2_1_4_lp,ed,Psycho Blitz,214LP,specials,44,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t045:ed_214mp,ed_214mp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214MP"",""move_group"":""specials"",""move_name"":""Psycho Blitz"",""notes_sc"":""3 hits; 8f extra recovery on block; puts opponent into limited juggle state for SA3 juggle"",""punish_adv"":""KD +39"",""raw_source_token"":""ed_214mp""}",ed_041_2_1_4_mp,ed,Psycho Blitz,214MP,specials,45,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t046:ed_214hp,ed_214hp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214HP"",""move_group"":""specials"",""move_name"":""Psycho Blitz"",""notes_sc"":""3 hits; 3f extra recovery on block; puts opponent into limited juggle state for SA3 juggle"",""punish_adv"":""KD +40"",""raw_source_token"":""ed_214hp""}",ed_042_2_1_4_hp,ed,Psycho Blitz,214HP,specials,46,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t047:ed_214pp,ed_214pp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214PP"",""move_group"":""specials"",""move_name"":""Psycho Blitz"",""notes_sc"":""On hit, canceling the 8th hit leaves opponent grounded; 9th hit launches opponent into limited juggle state (only allows combo into midscreen LP/MP SA2); interruptible by 4f normals when canceled from any light normal, and always punishable on block even if spaced"",""punish_adv"":""KD +42"",""raw_source_token"":""ed_214pp""}",ed_043_2_1_4_p_p,ed,Psycho Blitz,214PP,specials,47,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t059:ed_236236k,ed_236236k,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236236K"",""move_group"":""super_arts"",""move_name"":""Psycho Storm"",""notes_sc"":""High juggle potential; performs final attack on hit only; all hits are a true blockstring (if 1st hit is Perfect Parried, leaves an 8f gap between hits); KD advantage is slightly higher vs. airborne opponents"",""punish_adv"":""KD +33"",""raw_source_token"":""ed_236236k""}",ed_055_2_3_6_2_3_6_k,ed,Psycho Storm,236236K,super_arts,59,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t038:ed_236p_6p,ed_236p_6p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236P~6P"",""move_group"":""psycho_shoot"",""move_name"":""Psycho Shoot"",""notes_sc"":""1-hit projectile; button strength determines projectile speed (LP slow, MP mid, HP fast)"",""punish_adv"":""+7"",""raw_source_token"":""ed_236p_6p""}",,ed,Psycho Shoot,236P~6P,psycho_shoot,38,D,False,not_required,ed_052_6_p | ed_053_6_p,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t039:ed_236pp_6p,ed_236pp_6p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236PP~6P"",""move_group"":""psycho_shoot"",""move_name"":""Psycho Shoot"",""notes_sc"":""2-hit OD projectile; button strength determines projectile speed (LP slow, MP mid, HP fast); only possible after 236PP starter (does not cost additional Drive meter)"",""punish_adv"":""KD +46~"",""raw_source_token"":""ed_236pp_6p""}",,ed,Psycho Shoot,236PP~6P,psycho_shoot,39,D,False,not_required,ed_052_6_p | ed_053_6_p,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t065:ed_4pppkkk,ed_4pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""4PPPKKK"",""move_group"":""taunts"",""move_name"":""Back Taunt"",""notes_sc"":""\""Hahaha, I'd be scared too.\"""",""punish_adv"":""-"",""raw_source_token"":""ed_4pppkkk""}",,ed,Back Taunt,4PPPKKK,taunts,65,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t019:ed_5hp_hold_lv1,ed_5hp_hold_lv1,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""5[HP]"",""move_group"":""normals"",""move_name"":""Psycho Knuckle (Lv.1)"",""notes_sc"":""Requires 30f of charge time; side switch on hit/block unless opponent is cornered (4f better block advantage in corner); crumples opponent on hit; 4f extra grounded advantage on Punish Counter; charging animation is cancelable only into Kill Rush Forward (5/6KK or 66) on frames 9-30; transitions from active to recovery if Ed crosses behind the opponent; extended foot hurtbox from frame 7 onward; Recovery: 29 on hit/block (25 on corner block only), 32 on whiff, 35 on corner whiff if all 15 active frames play out; POSSIBLE BUG: if attack connects on active frame 10-15 (only possible in meaty oki scenarios), Ed will not switch sides on block and will incur 35f recovery, making it punishable ( -13 to -8 )"",""punish_adv"":""Crumple +80 ( +16 ground)"",""raw_source_token"":""ed_5hp_hold_lv1""}",,ed,Psycho Knuckle (Lv.1),5[HP],normals,19,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t020:ed_5hp_hold_lv2,ed_5hp_hold_lv2,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""5[HP]"",""move_group"":""normals"",""move_name"":""Psycho Knuckle (Lv.2)"",""notes_sc"":""Requires 60f of charge time; has 1 hit of meterless projectile durability during active frames (8f hitstop when clashing); side switch on hit/block unless opponent is cornered; crumples opponent on hit; 4f extra grounded advantage on Punish Counter; charging animation is cancelable only into Kill Rush Forward (5/6KK or 66) on frames 9-60; transitions from active to recovery if Ed crosses behind the opponent; extended foot hurtbox from frame 7 onward; Recovery: 29 on hit/block, 32 on whiff, 35 on corner whiff if all 15 active frames play out"",""punish_adv"":""Crumple +80 ( +16 ground)"",""raw_source_token"":""ed_5hp_hold_lv2""}",,ed,Psycho Knuckle (Lv.2),5[HP],normals,20,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t022:ed_5lk_lk,ed_5lk_lk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""5LK~LK"",""move_group"":""target_combos"",""move_name"":""Flicker Combination 1"",""notes_sc"":""Safe poking tool that leaves Ed close for a mixup and gives an easy hitconfirm into a third LK; very effective vs. opponents in Burnout (+1 block advantage); () refers to scaled damage after 5LK combo starter"",""punish_adv"":""+7"",""raw_source_token"":""ed_5lk_lk""}",,ed,Flicker Combination 1,5LK~LK,target_combos,22,E,False,not_required,,ed_lk_followup,ed_022_lk_lk
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t023:ed_5lk_lk_lk,ed_5lk_lk_lk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""5LK~LK~LK"",""move_group"":""target_combos"",""move_name"":""Flicker Combination 2"",""notes_sc"":""Easily hitconfirmed from a safe 5LK~LK, leaving Ed close for follow-up pressure; () refers to scaled damage after 5LK combo starter"",""punish_adv"":""+5"",""raw_source_token"":""ed_5lk_lk_lk""}",,ed,Flicker Combination 2,5LK~LK~LK,target_combos,23,E,False,not_required,,ed_lk_followup,ed_022_lk_lk
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t024:ed_5mp_hp,ed_5mp_hp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""5MP~HP"",""move_group"":""target_combos"",""move_name"":""Body Blow Combination"",""notes_sc"":""Puts opponent into limited juggle state; cancelable into any special/super except 4KK; 2nd hit can whiff at max range (much more unsafe on block); always a true blockstring from 5MP; special/DR cancel is delayed until after active frames; Kill Rush (Forward) cancel advantage: KD +30 / -16"",""punish_adv"":""KD +38"",""raw_source_token"":""ed_5mp_hp""}",,ed,Body Blow Combination,5MP~HP,target_combos,24,D,False,not_required,ed_005_5_hp | ed_011_2_hp | ed_017_j_hp | ed_021_6_hp | ed_035_6_hp,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t063:ed_5pppkkk,ed_5pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""5PPPKKK"",""move_group"":""taunts"",""move_name"":""Neutral Taunt"",""notes_sc"":""\""You ready yet?\"""",""punish_adv"":""-"",""raw_source_token"":""ed_5pppkkk""}",,ed,Neutral Taunt,5PPPKKK,taunts,63,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t056:ed_6kk,ed_6kk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""5/6KK"",""move_group"":""kill_rush_forward"",""move_name"":""Kill Rush (Forward)"",""notes_sc"":""Can be performed while charging 5[HP] or 236[K] (dash can be input as 66 when charging attack, or 6K during 236[K] only); useful for baiting Parry or Drive Impact and dashing in for a punish; cancelable into 6P launching follow-up (11-12f into Kill Switch Break, 13-24f into Kill Switch Chaser); counter-hit state for entire animation; head hurtbox disappears on frames 3-26"",""punish_adv"":""-"",""raw_source_token"":""ed_6kk""}",,ed,Kill Rush (Forward),5/6KK,kill_rush_forward,56,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t064:ed_6pppkkk,ed_6pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""6PPPKKK"",""move_group"":""taunts"",""move_name"":""Forward Taunt"",""notes_sc"":""\""I'd take this seriously if I were you.\"""",""punish_adv"":""-"",""raw_source_token"":""ed_6pppkkk""}",,ed,Forward Taunt,6PPPKKK,taunts,64,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t033:ed_mpmk,ed_mpmk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""MPMK"",""move_group"":""system"",""move_name"":""Drive Parry"",""notes_sc"":""See Drive Parry . Perfect Parrying has only 1F of recovery and disables the opponent from canceling their attack. Perfect Parrying projectiles puts you into fixed 11 frames of recovery. After a Perfect Parry, all Super Gauge gain is reduced by 20% and Drive Gauge gain/damage is reduced by 50% for the entire punish combo."",""punish_adv"":""-"",""raw_source_token"":""ed_mpmk""}",,ed,Drive Parry,MPMK,system,33,D,False,not_required,ed_059_5_6_lplk | ed_063_hphk | ed_066_mpmk | ed_067_mpmk | ed_068_mpmk,,
supercombo_enrichment,supercombo,20260412T212628Z-f00d5c58,20260412T212628Z-f00d5c58:t035:ed_mpmk_66_drc,ed_mpmk_66_drc,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""MPMK"",""move_group"":""system"",""move_name"":""or 66 Drive Rush Cancel"",""notes_sc"":""See Drive Rush ; 3-bar version performed on hit/block from a cancelable normal; can also be performed on whiff from cancelable light normals; startup refers to minimum time before an attack can cancel the Drive Rush animation; the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties"",""punish_adv"":""-"",""raw_source_token"":""ed_mpmk_66_drc""}",,ed,or 66 Drive Rush Cancel,MPMK,system,35,D,False,not_required,ed_066_mpmk | ed_067_mpmk | ed_068_mpmk,,
