character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
ehonda,ehonda_001_5_lp,立ち弱P（張り手）,5LP,normals,5,5-7,10,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,
ehonda,ehonda_002_5_lk,立ち弱K（けたぐり）,5LK,normals,4,4-5,9,,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,
ehonda,ehonda_003_5_mp,立ち中P（突っ張り）,5MP,normals,10,10-13,13,,6,1,C,700,,2000,-4000,-6000,500,上,空振り時硬直2F増加
ehonda,ehonda_004_5_mk,立ち中K（四股蹴り）,5MK,normals,10,10-13,16,,4,-3,※,700,,1000,-2500,-4000,700,上,※肩屋入り中、百裂張り手でのみキャンセル可能
ehonda,ehonda_005_5_hp,立ち強P（ごっつぁんチョップ）,5HP,normals,8,8-14,20,,1,-6,C※,900,,2000,-5000,-8000,1000,上,地上パニッシュカウンター時膝崩れ | 空中パニッシュカウンター時床バウンド | キャンセルは持続の3F目まで | ※8-14F 肩屋入り中、百裂張り手でのみキャンセル可能
ehonda,ehonda_007_2_lp,しゃがみ弱P（しゃがみ張り手）,2LP,normals,4,4-6,10,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
ehonda,ehonda_008_2_lk,しゃがみ弱K（向こうずねキック）,2LK,normals,5,5-6,9,,3,-3,※,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応 | ※肩屋入り中、百裂張り手でのみキャンセル可能
ehonda,ehonda_009_2_mp,しゃがみ中P（しゃがみ突っ張り）,2MP,normals,8,8-11,16,,3,-3,C,600,,1500,-3000,-4000,500,上,
ehonda,ehonda_010_2_mk,しゃがみ中K（掛け足）,2MK,normals,9,9-11,17,,6,-2,※,500,始動補正20%,2000,-4000,-6000,600,下,※肩屋入り中、百裂張り手でのみキャンセル可能
ehonda,ehonda_011_2_hp,しゃがみ強P（スーパー出足払い）,2HP,normals,11,11-14,※17,,3,-3,※,800,,3000,-6000,-10000,1000,上,空振り、アーマーヒット時硬直2F増加 | ※肩屋入り中、百裂張り手でのみキャンセル可能
ehonda,ehonda_013_j_lp,ジャンプ弱P（ジャンプ突き手）,j.LP,normals,5,5-10,着地後3,,,,,300,,500,-1500,-2000,300,中,
ehonda,ehonda_014_j_lk,ジャンプ弱K（百貫落とし）,j.LK,normals,6,6-11,着地後3,,,,,300,,500,-1500,-2000,300,中,
ehonda,ehonda_015_j_mp,ジャンプ中P（ジャンプチョップ）,j.MP,normals,6,6-13,着地後3,,,,,700,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン
ehonda,ehonda_016_j_mk,ジャンプ中K（わらじ蹴り）,j.MK,normals,9,9-14,着地後3,,,,,700,,1000,-2500,-4000,500,中,
ehonda,ehonda_017_j_hp,ジャンプ強P（ジャンプ張り手）,j.HP,normals,9,9-12,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中カウンター/パニッシュカウンター時叩きつけダウン
ehonda,ehonda_018_j_hk,ジャンプ強K（跳び丸太蹴り）,j.HK,normals,10,10-17,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
ehonda,ehonda_019_j_hp,垂直ジャンプ強P（大熊手）,j.HP,normals,10,10-17,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
ehonda,ehonda_020_6_hk,払い蹴り,6HK,command_normals,14,14-16,21,,1,-5,,900,,3000,-6000,-10000,1000,下,パニッシュカウンター時吹き飛びダウン
ehonda,ehonda_021_3_hk,力足,3HK,command_normals,22,22-27,18,,3,-3,※,800,コンボ補正20%,2000,-5000,-7000,1000,中,空中ヒット時床バウンド、ハードノックダウン | ※15F目で必殺技、SAで空振りキャンセル可能
ehonda,ehonda_022_2_mk,フライングスモウプレス,2MK,command_normals,11,11-19,着地後3,,,,,500,,1000,-2500,-4000,500,中,めくり性能
ehonda,ehonda_023_lp_mp,連ね張り手,LP>MP,command_normals,4,4-7,20,,D,-10,C,600,,1000,-3000,-4000,500,上,
ehonda,ehonda_024_mp_3_hk,地鎮,MP>3HK,command_normals,22,22-27,18,,3,-3,※,800,,2000,-5000,-7000,1000,中,空中ヒット時床バウンド、ハードノックダウン | ※14F目で必殺技、SAで空振りキャンセル可能 | ※ヒット時、肩屋入りでのみキャンセル可能 | クラシック操作:↓+強K、モダン操作:↓＋中
ehonda,ehonda_033_6_lp,弱 スーパー頭突き,6LP,specials,10,10-31,20,,D,-3,SA3,1400,始動補正30%,2000,-6000,-12500,1000,上,キャンセルは持続の4F目まで | 4-13F 空中判定の打撃・空弾属性に対して無敵 | 14-33F 空中判定 | 持続5F目以降は個別ダメージ(1000)
ehonda,ehonda_034_6_mp,中 スーパー頭突き,6MP,specials,10,10-33,20,,D,-3,SA3,1400,始動補正30%,2000,-6000,-12500,1000,上,キャンセルは持続の4F目まで | 5-13F 空中判定の打撃・空弾属性に対して無敵 | 14-35F 空中判定 | 持続5F目以降は個別ダメージ（1100）
ehonda,ehonda_035_6_hp,強 スーパー頭突き,6HP,specials,14,14-36,20,,D,-3,SA3,1500,始動補正30%,2000,-7500,-12500,1000,上,キャンセルは持続の4F目まで | 6-16F 空中判定の打撃・空弾属性に対して無敵 | 18-40F 空中判定 | 持続5F目以降は個別ダメージ（1300） | 19F目以降で相手との位置が入れ替わった際に終了準備アクションへ移行
ehonda,ehonda_041_6_3_2_1_4_lk,弱 大銀杏投げ,63214LK,specials,6,6-9,52,,D,,,2000,即時補正20％,2000,0,-10000,3000,投,パニッシュカウンター時ダメージ（2300）
ehonda,ehonda_042_6_3_2_1_4_mk,中 大銀杏投げ,63214MK,specials,6,6-9,52,,D,,,2200,即時補正20％,2000,0,-10000,3000,投,パニッシュカウンター時ダメージ（2645）
ehonda,ehonda_043_6_3_2_1_4_hk,強 大銀杏投げ,63214HK,specials,6,6-9,52,,D,,,2400,即時補正20％,2000,0,-10000,3000,投,■クラシック操作 | パニッシュカウンター時ダメージ（2760） | ■モダン操作時 | パニッシュカウンター時個別ダメージ（2208）
ehonda,ehonda_044_6_3_2_1_4_k_k,OD 大銀杏投げ,63214KK,specials,6,6-9,52,,D,,,2800,即時補正20％,0,0,-10000,3000,投,■クラシック操作 | パニッシュカウンター時ダメージ（3220） | ■モダン操作時 | パニッシュカウンター時個別ダメージ（2576）
ehonda,ehonda_045_2_3_6_k,相撲ステップ,236K,specials,,,全体 51,51,,,,0,,0,0,0,0,,14-43F 鉄砲、大砲へ派生可能
ehonda,ehonda_046_2_3_6_k_k,OD 相撲ステップ,236KK,specials,,,全体 34,34,,,,0,,0,0,0,0,,13-27F OD 鉄砲へ派生可能 | 11-27F OD 大砲へ派生可能
ehonda,ehonda_048_p_p,鉄砲（２段目）,P>P,specials,14,14-16,38,,D,-24,,600,,2000,-5000,-5000,1000,上,
ehonda,ehonda_050_p_p,OD 鉄砲（２段目）,P>P,specials,14,14-16,38,,D,-24,,800,,0,-5000,-5000,1000,上,
ehonda,ehonda_053_2_2_p,猫だまし,22P,specials,11,11-15,14,,3,-3,SA3※,600,,2000,-5000,-5000,1000,上,飛び道具相殺判定あり（1回） | ※肩屋入り中、百裂張り手でキャンセル可能
ehonda,ehonda_054_2_2_k,肩屋入り,22K,specials,,,全体 52,52,,,,0,,0,0,0,0,,51F目で肩屋入りをストック | 次回発動する百裂張り手の性質変化
ehonda,ehonda_055_2_3_6_2_3_6_p,SA1 発揮爆砕,236236P,super_arts,7,7-11,48,,D,-33,,2000,,0,-2500,-5000,0,上,1-11F 打撃・投げに対して無敵 | 最低保障ダメージ30％ | カウンター/パニッシュカウンターで数値が変動しない
ehonda,ehonda_059_5_6_lplk,さば折り,5|6LPLK,throws,5,5-7,23,,D,,,1200,即時補正20％,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 | ・ダメージ2040 | ・SAゲージ4000増加 | ・ハードノックダウン
ehonda,ehonda_060_4_lplk,俵投げ,4LPLK,throws,5,5-7,23,,D,,,1200,即時補正20％,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 | ・ダメージ2040 | ・SAゲージ4000増加 | ・ハードノックダウン
ehonda,ehonda_061_6_6,前方ステップ,66,system,,,全体 19,19,,,,0,,0,0,0,0,,
ehonda,ehonda_062_4_4,後方ステップ,44,system,,,全体 23,23,,,,0,,0,0,0,0,,1-15F 投げ無敵
ehonda,ehonda_063_hphk,ドライブインパクト（ぶちかまし）,HPHK,system,26,26-27,35,,D,-3,,800,始動補正20%,0,-5000,-15000,0,上,1-27F アーマー判定（2回） | パニッシュカウンター、もしくはアーマー成立後にヒットで以下の性能変化 | ・地上ヒット膝崩れ | ・空中ヒット吹き飛びダウン | ・SAゲージ3000増加
ehonda,ehonda_064_6_hphk,[ガード時]ドライブリバーサル（雷電砲）,6HPHK,system,20,20-22,26,,D,-6,,500,,0,0,0,0,上,リカバリアブルダメージ | 1-22F 完全無敵 | ヒット時硬直5F増加
ehonda,ehonda_065_6_hphk,[起き上がり時]ドライブリバーサル（雷電砲）,6HPHK,system,18,18-20,26,,D,-6,,500,,0,0,0,0,上,リカバリアブルダメージ | 1-20F 完全無敵 | ヒット時硬直5F増加
ehonda,ehonda_067_mpmk,ジャストパリィ（打撃）,MPMK,system,1,,1,,,,,0,始動補正50％,,,,,,相手の攻撃に対応した方向入力を行った状態でパリィを入力し、 | 入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する | （上段/中段攻撃に対して←方向、下段攻撃に対しては↙方向) | 方向が正しくなかった場合は通常のドライブパリィとなり、追加でDゲージが3000増加する | 硬直終了から5Fの間完全無敵 （パリィを継続した場合は無敵にならない） | ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター
ehonda,ehonda_068_mpmk,ジャストパリィ（飛び道具）,MPMK,system,1,,10,,,,,0,始動補正50％,,,,,,パリィを入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する | 暗転演出が入らない | ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター
ehonda,ehonda_069_6_6,パリィドライブラッシュ,66,system,,,全体 45,45,,,※,0,乗算補正15％,0,0,0,0,,暗転10F | ※動作9F目から攻撃行動にキャンセル可 | 24F目からパリィ以外の行動でキャンセル可
ehonda,ehonda_070_6_6_5_6_mpmk,キャンセルドライブラッシュ,66|5|6MPMK,system,,,全体 46,46,,,※,0,乗算補正15％,0,0,0,0,,暗転9F | ※動作10F目から攻撃行動にキャンセル可 | 25F目からパリィ以外の行動でキャンセル可
