dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161515Z-f7a529f8,20260412T161515Z-f7a529f8:通常技:007:立ち強k_丸太蹴り,,official_active_ambiguous,"{""active"":""8-14 8-9, 11-14"",""block_adv"":""-5"",""input"":""5HK"",""move_group"":""normals"",""move_name"":""立ち強K（丸太蹴り）"",""recovery"":""22"",""startup"":""8""}",ehonda_006_5_hk,ehonda,立ち強K（丸太蹴り）,5HK,normals,,,,,,,
official_raw,official,20260412T161515Z-f7a529f8,20260412T161515Z-f7a529f8:通常技:013:しゃがみ強k_土俵払い,,official_active_ambiguous,"{""active"":""11-24 11-13,20-24"",""block_adv"":""-10"",""input"":""2HK"",""move_group"":""normals"",""move_name"":""しゃがみ強K（土俵払い）"",""recovery"":""14"",""startup"":""11""}",ehonda_012_2_hk,ehonda,しゃがみ強K（土俵払い）,2HK,normals,,,,,,,
official_raw,official,20260412T161515Z-f7a529f8,20260412T161515Z-f7a529f8:必殺技:028:弱_百裂張り手,,official_active_ambiguous,"{""active"":""12-31 12-13, 18-19, 22, 25-26, 28, 30-31"",""block_adv"":""-4"",""input"":""214LP"",""move_group"":""specials"",""move_name"":""弱 百裂張り手"",""recovery"":""14"",""startup"":""12""}",ehonda_025_2_1_4_lp,ehonda,弱 百裂張り手,214LP,specials,,,,,,,
official_raw,official,20260412T161515Z-f7a529f8,20260412T161515Z-f7a529f8:必殺技:029:肩屋入り_弱_百裂張り手,,official_active_ambiguous,"{""active"":""12-31 12-13, 18-19, 22, 25-26, 28, 30-31"",""block_adv"":""0"",""input"":""214LP"",""move_group"":""specials"",""move_name"":""[肩屋入り]弱 百裂張り手"",""recovery"":""14"",""startup"":""12""}",ehonda_026_2_1_4_lp,ehonda,[肩屋入り]弱 百裂張り手,214LP,specials,,,,,,,
official_raw,official,20260412T161515Z-f7a529f8,20260412T161515Z-f7a529f8:必殺技:030:中_百裂張り手,,official_active_ambiguous,"{""active"":""16-47 16-17, 22-23, 25, 29, 32, 36, 40, 43, 46-47"",""block_adv"":""-8"",""input"":""214MP"",""move_group"":""specials"",""move_name"":""中 百裂張り手"",""recovery"":""17"",""startup"":""16""}",ehonda_027_2_1_4_mp,ehonda,中 百裂張り手,214MP,specials,,,,,,,
official_raw,official,20260412T161515Z-f7a529f8,20260412T161515Z-f7a529f8:必殺技:031:肩屋入り_中_百裂張り手,,official_active_ambiguous,"{""active"":""16-47 16-17, 22-23, 25, 29, 32, 36, 40, 43, 46-47"",""block_adv"":""-4"",""input"":""214MP"",""move_group"":""specials"",""move_name"":""[肩屋入り]中 百裂張り手"",""recovery"":""17"",""startup"":""16""}",ehonda_028_2_1_4_mp,ehonda,[肩屋入り]中 百裂張り手,214MP,specials,,,,,,,
official_raw,official,20260412T161515Z-f7a529f8,20260412T161515Z-f7a529f8:必殺技:032:強_百裂張り手,,official_active_ambiguous,"{""active"":""19-62 19-20, 25-26, 30, 34, 38, 42, 46, 50, 53, 56, 59, 61-62"",""block_adv"":""-8"",""input"":""214HP"",""move_group"":""specials"",""move_name"":""強 百裂張り手"",""recovery"":""17"",""startup"":""19""}",ehonda_029_2_1_4_hp,ehonda,強 百裂張り手,214HP,specials,,,,,,,
official_raw,official,20260412T161515Z-f7a529f8,20260412T161515Z-f7a529f8:必殺技:033:肩屋入り_強_百裂張り手,,official_active_ambiguous,"{""active"":""19-62 19-20, 25-26, 30, 34, 38, 42, 46, 50, 53, 56, 59, 61-62"",""block_adv"":""-4"",""input"":""214HP"",""move_group"":""specials"",""move_name"":""[肩屋入り]強 百裂張り手"",""recovery"":""17"",""startup"":""19""}",ehonda_030_2_1_4_hp,ehonda,[肩屋入り]強 百裂張り手,214HP,specials,,,,,,,
official_raw,official,20260412T161515Z-f7a529f8,20260412T161515Z-f7a529f8:必殺技:034:od_百裂張り手,,official_active_ambiguous,"{""active"":""19-61 19-22, 29-30, 34-35, 39-40, 45-46, 49-50, 53-54, 57-58, 60-61"",""block_adv"":""-3"",""input"":""214PP"",""move_group"":""specials"",""move_name"":""OD 百裂張り手"",""recovery"":""12"",""startup"":""19""}",ehonda_031_2_1_4_p_p,ehonda,OD 百裂張り手,214PP,specials,,,,,,,
official_raw,official,20260412T161515Z-f7a529f8,20260412T161515Z-f7a529f8:必殺技:035:肩屋入り_od_百裂張り手,,official_active_ambiguous,"{""active"":""19-61 19-22, 29-30, 34-35, 39-40, 45-46, 49-50, 53-54, 57-58, 60-61"",""block_adv"":""1"",""input"":""214PP"",""move_group"":""specials"",""move_name"":""[肩屋入り]OD 百裂張り手"",""recovery"":""12"",""startup"":""19""}",ehonda_032_2_1_4_p_p,ehonda,[肩屋入り]OD 百裂張り手,214PP,specials,,,,,,,
