dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T210510Z-c157f16c,20260412T210510Z-c157f16c:t006:e.honda_5hk,e.honda_5hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""5HK"",""move_group"":""normals"",""move_name"":""Standing Heavy Kick"",""notes_sc"":""1st hit forces stand (can only connect on crouchers at close range); 2nd hit whiffs vs. crouching opponents unless they extend a vertical hurtbox; if 1st hit connects on crouch block and the 2nd hit whiffs, the cancel window of the first hit is extended, making it possible to confirm into a safe special move; 1st hit puts airborne opponents into a free juggle state; 2nd hit puts airborne opponents into a limited juggle state; Counter-hit/Punish Counter advantage carries through both hits; gives Honda a meterless combo into 236K~2P launcher (weaker than 5HP starter, but required in some routes like CH 5MP/2MK or DR~2LP)"",""punish_adv"":""+3"",""raw_source_token"":""e.honda_5hk""}",ehonda_006_5_hk,ehonda,Standing Heavy Kick,5HK,normals,6,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210510Z-c157f16c,20260412T210510Z-c157f16c:t012:e.honda_2hk,e.honda_2hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""2HK"",""move_group"":""normals"",""move_name"":""Dohyo Sweep"",""notes_sc"":""Has juggle potential; 2nd hit is behind E. Honda (safe on block and better KD Adv. if it connects); 2nd hit puts airborne opponents into limited juggle state (useful in some side-switch juggles)"",""punish_adv"":""HKD +45(+54)"",""raw_source_token"":""e.honda_2hk""}",ehonda_012_2_hk,ehonda,Dohyo Sweep,2HK,normals,12,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210510Z-c157f16c,20260412T210510Z-c157f16c:t061:e.honda_214214p,e.honda_214214p,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214214P"",""move_group"":""super_arts"",""move_name"":""The Final Bout"",""notes_sc"":""() refers to non-cinematic hit when 1st hit whiffs (1500 less damage, Drive Dmg is unaffected); cinematic time regenerates ~2.4 Drive bars for E. Honda; cinematic hit has around 1/2 screen range (2/3 screen for non-cinematic hit); can use the first hit to force Burnout to ensure a chip KO the 2nd hit"",""punish_adv"":""HKD +11 (KD +19)"",""raw_source_token"":""e.honda_214214p""}",ehonda_057_2_1_4_2_1_4_p,ehonda,The Final Bout,214214P,super_arts,61,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210510Z-c157f16c,20260412T210510Z-c157f16c:t062:e.honda_214214p(ca),e.honda_214214p(ca),supercombo_missing_official_safe_row,"{""binding_class"":""C"",""input"":""214214P"",""move_group"":""super_arts"",""move_name"":""The Final Bout (CA)"",""notes_sc"":""() refers to non-cinematic hit when 1st hit whiffs (1750 less damage, Drive Dmg is unaffected); available at 25% HP or below; cinematic time regenerates ~2.2 Drive bars for E. Honda; cinematic hit has around 1/2 screen range (2/3 screen for non-cinematic hit); can use the first hit to force Burnout to ensure a chip KO the 2nd hit"",""punish_adv"":""HKD +34 (KD +19)"",""raw_source_token"":""e.honda_214214p(ca)""}",ehonda_058_2_1_4_2_1_4_p,ehonda,The Final Bout (CA),214214P,super_arts,62,C,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210510Z-c157f16c,20260412T210510Z-c157f16c:t036:e.honda_214hp,e.honda_214hp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214HP"",""move_group"":""hundred_hand_slap"",""move_name"":""Hundred Hand Slap"",""notes_sc"":""[] refers to enhanced Sumo Spirit version (extra damage, +2 Hit advantage, +4 Block advantage); Counter-hit/Punish Counter bonus advantage carries through all hits; only final hit is Super cancelable; puts airborne opponents into limited juggle state (Enhanced version: causes OTG bounce); combo scaling only applies to Enhanced version"",""punish_adv"":""+6[+8]"",""raw_source_token"":""e.honda_214hp""}",,ehonda,Hundred Hand Slap,214HP,hundred_hand_slap,36,D,False,not_required,ehonda_029_2_1_4_hp | ehonda_030_2_1_4_hp,,
supercombo_enrichment,supercombo,20260412T210510Z-c157f16c,20260412T210510Z-c157f16c:t034:e.honda_214lp,e.honda_214lp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214LP"",""move_group"":""hundred_hand_slap"",""move_name"":""Hundred Hand Slap"",""notes_sc"":""[] refers to enhanced Sumo Spirit version (extra damage, +2 Hit advantage, +4 Block advantage); Counter-hit/Punish Counter bonus advantage carries through all hits; only final hit is Super cancelable; puts airborne opponents into limited juggle state (Enhanced version: causes OTG bounce); combo scaling only applies to Enhanced version"",""punish_adv"":""+6[+8]"",""raw_source_token"":""e.honda_214lp""}",,ehonda,Hundred Hand Slap,214LP,hundred_hand_slap,34,D,False,not_required,ehonda_025_2_1_4_lp | ehonda_026_2_1_4_lp,,
supercombo_enrichment,supercombo,20260412T210510Z-c157f16c,20260412T210510Z-c157f16c:t035:e.honda_214mp,e.honda_214mp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214MP"",""move_group"":""hundred_hand_slap"",""move_name"":""Hundred Hand Slap"",""notes_sc"":""[] refers to enhanced Sumo Spirit version (extra damage, +2 Hit advantage, +4 Block advantage); Counter-hit/Punish Counter bonus advantage carries through all hits; only final hit is Super cancelable; puts airborne opponents into limited juggle state (Enhanced version: causes OTG bounce); combo scaling only applies to Enhanced version; combos from 5LP/2LP"",""punish_adv"":""+6[+8]"",""raw_source_token"":""e.honda_214mp""}",,ehonda,Hundred Hand Slap,214MP,hundred_hand_slap,35,D,False,not_required,ehonda_027_2_1_4_mp | ehonda_028_2_1_4_mp,,
supercombo_enrichment,supercombo,20260412T210510Z-c157f16c,20260412T210510Z-c157f16c:t037:e.honda_214pp,e.honda_214pp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214PP"",""move_group"":""hundred_hand_slap"",""move_name"":""Hundred Hand Slap"",""notes_sc"":""[] refers to enhanced Sumo Spirit version (extra damage, +2 Hit advantage, +4 Block advantage); Counter-hit/Punish Counter bonus advantage carries through all hits; only final hit is Super cancelable; puts airborne opponents into limited juggle state (Enhanced version: causes OTG bounce)"",""punish_adv"":""+8[+10]"",""raw_source_token"":""e.honda_214pp""}",,ehonda,Hundred Hand Slap,214PP,hundred_hand_slap,37,D,False,not_required,ehonda_031_2_1_4_p_p | ehonda_032_2_1_4_p_p,,
supercombo_enrichment,supercombo,20260412T210510Z-c157f16c,20260412T210510Z-c157f16c:t056:e.honda_236k_2p,e.honda_236k_2p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236K~2P"",""move_group"":""taiho_cannon_lift"",""move_name"":""Taiho Cannon Lift"",""notes_sc"":""Launches opponent into a limited juggle state; reduced recovery on hit only"",""punish_adv"":""KD +64"",""raw_source_token"":""e.honda_236k_2p""}",,ehonda,Taiho Cannon Lift,236K~2P,taiho_cannon_lift,56,D,False,not_required,ehonda_051_2_p | ehonda_052_2_p,,
supercombo_enrichment,supercombo,20260412T210510Z-c157f16c,20260412T210510Z-c157f16c:t052:e.honda_236k_p,e.honda_236k_p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236K~P"",""move_group"":""teppo_triple_slap_1"",""move_name"":""Teppo Triple Slap 1"",""notes_sc"":""Puts opponents into limited juggle state on hit, allowing for Super or P follow-up to juggle; incredibly disjointed hitbox for neutral approaches; safe but minus on block (recovers outside the opponent's throw range if well spaced); canceling into the final P follow-up creates a 2f frame trap that can punish opponents trying to retake their turn; sets up a safe jump anywhere on screen"",""punish_adv"":""KD +42"",""raw_source_token"":""e.honda_236k_p""}",,ehonda,Teppo Triple Slap 1,236K~P,teppo_triple_slap_1,52,D,False,not_required,ehonda_047_p | ehonda_049_p,,
