character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
elena,elena_001_5_lp,立ち弱P（チークスパン）,5LP,normals,5,5-8,8,,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,
elena,elena_002_5_lk,立ち弱K（スタンドロー）,5LK,normals,5,5-7,11,,2,-4,C,300,始動補正20%,250,-500,-2000,300,上,
elena,elena_003_5_mp,立ち中P（ブレイズパーチ）,5MP,normals,8,8-12,15,,3,-3,SA,600,,1500,-3000,-4000,500,上,パニッシュカウンター時強制立ち効果
elena,elena_004_5_mk,立ち中K（スプルースベンド）,5MK,normals,6,6-9,13,,5,1,C,500,,1000,-2000,-3000,500,上,空振り時硬直2F増加
elena,elena_005_5_hp,立ち強P（ラウンドホップ）,5HP,normals,12,12-15,20,,2,-2,,800,,2000,-5000,-8000,1000,上,強制立ち効果 | パニッシュカウンター時吹き飛びダウン
elena,elena_006_5_hk,立ち強K（ラウンドステップ）,5HK,normals,12,12-15,19,,2,-4,,900,,3000,-6000,-10000,1000,上,9-17F 足元無敵 | パニッシュカウンター、空中カウンター/パニッシュカウンター時吹き飛びダウン | 空中パニッシュカウンター時吹き飛び時間延長
elena,elena_007_2_lp,しゃがみ弱P（クラウチングフロント）,2LP,normals,4,4-6,8,,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
elena,elena_008_2_lk,しゃがみ弱K（リトルラップ）,2LK,normals,5,5-7,8,,3,-1,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
elena,elena_009_2_mp,しゃがみ中P（リングカッター）,2MP,normals,8,8-10,20,,1,-4,C,600,,1000,-3000,-4000,600,上,
elena,elena_010_2_mk,しゃがみ中K（サーフェスキック）,2MK,normals,9,9-11,18,,4,-4,,600,始動補正20%,1000,-3000,-4000,600,下,ヒット時硬直2F減少
elena,elena_012_2_hk,しゃがみ強K（ルートブレイク）,2HK,normals,11,11-13,24,,D,-12,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
elena,elena_013_j_lp,ジャンプ弱P（ニーアタック）,j.LP,normals,5,5-10,着地後3,,,,,300,,500,-1500,-2000,300,中,めくり性能
elena,elena_014_j_lk,ジャンプ弱K（ジャンプキック）,j.LK,normals,5,5-10,着地後3,,,,,300,,500,-1500,-2000,300,中,
elena,elena_015_j_mp,ジャンプ中P（クレストフラップ）,j.MP,normals,8,8-12,着地後3,,,,,700,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン
elena,elena_016_j_mk,ジャンプ中K（ロージャベリン）,j.MK,normals,7,7-11,着地後3,,,,,500,,1000,-2500,-4000,500,中,めくり性能
elena,elena_017_j_hp,ジャンプ強P（ハイソバット）,j.HP,normals,10,10-16,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
elena,elena_019_3_hk,スライディング,3HK,command_normals,14,14-22,22,,D,-10,,900,,3000,-4000,-10000,1000,下,空振り/アーマーヒット時硬直4F増加
elena,elena_020_4_hk,ラウンドアーチ,4HK,command_normals,14,14-17,17,,3,-3,,900,始動補正20%,3000,-6000,-10000,1000,上,9-17F 足元無敵 | カウンター/パニッシュカウンター時吹き飛びダウン | 空振り時硬直2F増加
elena,elena_021_mp_mp,スターリングビーク（2段目）,MP>MP,command_normals,17,17-21,20,,-4,-10,C,400,,1000,-2000,-3000,700,上,
elena,elena_022_6_mk,ハンドスタンドウィップ（1段目）,6MK,command_normals,20,20-22,19,,2,-3,,600,,1500,-2500,-5000,700,中,
elena,elena_023_6_mk_mk,ハンドスタンドウィップ（2段目）,6MK>MK,command_normals,14,14-16,26,,D,-14,,600,,750,-2500,-5000,350,上,
elena,elena_024_mk_hk,ハインドキック（2段目）,MK>HK,command_normals,12,12-14,24,,D,-8,C,400,,1000,-2000,-7000,700,上,
elena,elena_025_2_mk_hk,ラークフラッター（2段目）,2MK>HK,command_normals,15,15,24,,4,-9,C,400,,1000,-2000,-3000,600,上,ヒット時硬直4F減少
elena,elena_027_6_hp,トランクスラップ（1段目）,6HP,command_normals,16,16-19,20,,1,-4,,900,,3000,-6000,-10000,1000,上,
elena,elena_028_6_hp_hp,トランクスラップ（2段目）,6HP>HP,command_normals,13,13-15,26,,-2,-11,,500,,1250,-2500,-5000,500,上,
elena,elena_030_lp_mk,ソアーレイド,LP>MK,command_normals,6,6-10,着地後3,,,,,500,,1000,-1500,-2000,500,上,めくり性能
elena,elena_031_mp_hp,ラプターレンジ,MP>HP,command_normals,12,12-16,着地後3,,,,,700,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン
elena,elena_036_6_2_3_lk,弱 スクラッチホイール,623LK,specials,5,5-9,25+着地後14,,D,-24,,1000,始動補正30%,2000,-4000,-5000,1000,上,1-7F 空中判定の打撃・空弾属性に対して無敵 | 7-34F 空中判定
elena,elena_037_6_2_3_mk,中 スクラッチホイール,623MK,specials,6,6-11,30+着地後14,,D,-30,,1200,始動補正30%,2000,-4000,-5000,1000,上,1-10F 空中判定の打撃・空弾属性に対して無敵 | 7-42F 空中判定
elena,elena_038_6_2_3_hk,強 スクラッチホイール,623HK,specials,7,7-12,34+着地後14,,D,-33,,1400,始動補正30%,2000,-6000,-5000,1200,上,1-11F 空中判定の打撃・空弾属性に対して無敵 | 7-46F 空中判定
elena,elena_040_2_3_6_lp,弱 リンクシング,236LP,specials,,,全体 28,28,,,,0,,0,0,0,0,,11-21F 飛び道具無敵 | 13-21Fまで、レオパードスナップに派生可 | 16-21Fまで、リンクスワール、ハーベストサークル、マレットスマッシュに派生可
elena,elena_041_2_3_6_mp,中 リンクシング,236MP,specials,,,全体 36,36,,,,0,,0,0,0,0,,11-22F 飛び道具無敵 | 13-22Fまで、レオパードスナップに派生可 | 18-22Fまで、リンクスワール、ハーベストサークル、マレットスマッシュに派生可
elena,elena_042_2_3_6_hp,強 リンクシング,236HP,specials,,,全体 38,38,,,,0,,0,0,0,0,,11-24F 飛び道具無敵 | 16-24Fまで、レオパードスナップに派生可 | 19-24Fまで、リンクスワール、ハーベストサークル、マレットスマッシュに派生可
elena,elena_043_2_3_6_p_p,ODリンクシング,236PP,specials,,,全体 34,34,,,,0,,0,0,0,0,,8-26F 飛び道具無敵 | 15-24Fまで、レオパードスナップに派生可 | 18-24Fまで、リンクスワール、ハーベストサークル、マレットスマッシュに派生可
elena,elena_044_6_lk,レオパードスナップ,6LK,specials,10,10-14,22,,D,-5,SA3,1000,,2000,-5000,-10000,1000,上,
elena,elena_046_6_mk,ハーベストサークル,6MK,specials,8,8-10,23,,D,-9,,900,始動補正30%,2000,-3000,-5000,600,上,1-10F 飛び道具無敵
elena,elena_048_6_hk,マレットスマッシュ,6HK,specials,22,22-24,19,,2,-3,,800,始動補正20%,2000,-4000,-8000,1000,中,14-23F 空中判定
elena,elena_050_6_lp,弱 リンクスワール,|6LP,specials,,,全体 28,28,,,,0,,0,0,0,0,,1-21F 飛び道具無敵 | 15-21Fまで、レオパードスナップに派生可 | 18-21Fまで、ハーベストサークル、マレットスマッシュに派生可 | 20-21Fまで、リンクスワールに派生可
elena,elena_051_6_mp,中 リンクスワール,|6MP,specials,,,全体 36,36,,,,0,,0,0,0,0,,1-26F 飛び道具無敵 | 15-21Fまで、レオパードスナップに派生可 | 18-21Fまで、ハーベストサークル、マレットスマッシュに派生可 | 20-21Fまで、リンクスワールに派生可
elena,elena_052_6_hp,強 リンクスワール,|6HP,specials,,,全体 38,38,,,,0,,0,0,0,0,,1-26F 飛び道具無敵 | 15-21Fまで、レオパードスナップに派生可 | 18-21Fまで、ハーベストサークル、マレットスマッシュに派生可 | 20-21Fまで、リンクスワールに派生可
elena,elena_053_6_p,OD リンクスワール,6P,specials,,,全体 34,34,,,,0,,0,0,0,0,,1-26F 飛び道具無敵 | 15-24Fまで、レオパードスナップに派生可 | 18-24Fまで、ハーベストサークル、マレットスマッシュに派生可 | 20-24Fまで、リンクスワールに派生可
elena,elena_058_2_1_4_lp,弱 ムーングライド（1段目）,214LP,specials,20,20-22,20,,1,-3,SA3,800,,1500,-5000,-8000,1000,上,21-23F ヒット時専用技に派生可 | 強制立ち効果
elena,elena_059_2_1_4_mp,中 ムーングライド（1段目）,214MP,specials,24,24-26,19,,2,-2,SA3,800,,1500,-5000,-8000,1000,上,25-27F ヒット時専用技に派生可 | 強制立ち効果
elena,elena_060_2_1_4_hp,強 ムーングライド（1段目）,214HP,specials,28,28-30,20,,2,-2,SA3,800,,1500,-5000,-8000,1000,上,29-31F ヒット時専用技に派生可 | 強制立ち効果
elena,elena_062_2_1_4_p_p,OD ムーングライド（1段目）,214PP,specials,23,23-25,20,,1,-3,SA2,800,,0,-5000,-8000,1000,上,24-26F ヒット時専用技に派生可 | 強制立ち効果
elena,elena_065_2_3_6_2_3_6_p,SA2リヴァイブダンス,236236P,super_arts,12,12-17,62,,D,-47,,※2800,,0,-5000,-10000,0,上,1-17F 完全無敵 | 最低保障ダメージ40％ | カウンター/パニッシュカウンターで数値が変動しない | ※動作中に下方向を入力し続けると性質変化 | ・ダメージ1950 | ・体力1600回復 | ・Dゲージ10000回復
elena,elena_066_2_1_4_2_1_4_k,SA3 グラスランドソング,214214K,super_arts,8,8-11,68,,D,-54,,4000,※即時補正10%,0,-7500,-15000,0,上,1-11F 完全無敵 | 最低保障ダメージ50％ | カウンター/パニッシュカウンターで数値が変動しない | ※必殺技キャンセル時のみ適用
elena,elena_067_2_1_4_2_1_4_k,CA グラスランドソング,214214K,super_arts,8,8-11,68,,D,-54,,4500,※即時補正10%,0,-10000,-20000,0,上,1-11F 完全無敵 | 最低保障ダメージ50％ | カウンター/パニッシュカウンターで数値が変動しない | ※必殺技キャンセル時のみ適用
elena,elena_068_5_6_lplk,レッグスタック,5|6LPLK,throws,5,5-7,23,,D,,,1200,即時補正20%,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 | ・ダメージ2040 | ・SAゲージ4000増加 | ・ハードノックダウン
elena,elena_069_4_lplk,レッグリフトスルー,4LPLK,throws,5,5-7,23,,D,,,1200,即時補正20%,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 | ・ダメージ2040 | ・SAゲージ4000増加 | ・ハードノックダウン
elena,elena_070_6_6,前方ステップ,66,system,,,全体 20,20,,,,0,,0,0,0,0,,
elena,elena_071_4_4,後方ステップ,44,system,,,全体 23,23,,,,0,,0,0,0,0,,1-15F 投げ無敵
elena,elena_072_hphk,ドライブインパクト（ジラーフネック）,HPHK,system,26,26-27,35,,D,-3,,800,始動補正20%,0,-5000,-15000,0,上,1-27F アーマー判定（2回） | ヒットバックでステージ端に到達すると壁やられが発生 | パニッシュカウンター、もしくはアーマー成立後にヒットで以下の性能変化 | ・地上ヒット膝崩れ | ・空中ヒット吹き飛び時間増加 | ・SAゲージ3000増加
elena,elena_073_6_hphk,[ガード時]ドライブリバーサル（ボアチャージ）,6HPHK,system,20,20-22,26,,D,-6,,500,,0,0,0,0,上,リカバリアブルダメージ | 1-22F 完全無敵 | ヒット時硬直5F増加
elena,elena_074_6_hphk,[起き上がり時]ドライブリバーサル（ボアチャージ）,6HPHK,system,18,18-20,26,,D,-6,,500,,0,0,0,0,上,リカバリアブルダメージ | 1-20F 完全無敵 | ヒット時硬直5F増加
