dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:通常技:012:しゃがみ強p_アカシアブランチ,,official_active_ambiguous,"{""active"":""9-18 9-11, 16-18"",""block_adv"":""-7"",""input"":""2HP"",""move_group"":""normals"",""move_name"":""しゃがみ強P（アカシアブランチ）"",""recovery"":""20"",""startup"":""9""}",elena_011_2_hp,elena,しゃがみ強P（アカシアブランチ）,2HP,normals,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:通常技:019:ジャンプ強k_オーバーヘッドキック,,official_active_ambiguous,"{""active"":""10-20 10-11, 13-20"",""input"":""j.HK"",""move_group"":""normals"",""move_name"":""ジャンプ強K（オーバーヘッドキック）"",""recovery"":""着地後3"",""startup"":""10""}",elena_018_j_hk,elena,ジャンプ強K（オーバーヘッドキック）,j.HK,normals,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:特殊技:028:ターニングテイル_2段目,,official_active_ambiguous,"{""active"":""17-27 17-20, 24-27"",""block_adv"":""-3"",""input"":""HP>HP"",""move_group"":""command_normals"",""move_name"":""ターニングテイル（2段目）"",""recovery"":""17"",""startup"":""17""}",elena_026_hp_hp,elena,ターニングテイル（2段目）,HP>HP,command_normals,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:特殊技:031:トランクスラップ_3段目,,official_active_ambiguous,"{""active"":""7-17 7-9, 15-17"",""block_adv"":""-16"",""input"":""6HP>HP>HP"",""move_group"":""command_normals"",""move_name"":""トランクスラップ（3段目）"",""recovery"":""27"",""startup"":""7""}",elena_029_6_hp_hp_hp,elena,トランクスラップ（3段目）,6HP>HP>HP,command_normals,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:035:弱_ライノホーン,,official_active_ambiguous,"{""active"":""13-33 13-17, 28-33"",""block_adv"":""-9"",""input"":""236LK"",""move_group"":""specials"",""move_name"":""弱 ライノホーン"",""recovery"":""19"",""startup"":""13""}",elena_032_2_3_6_lk,elena,弱 ライノホーン,236LK,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:036:中_ライノホーン,,official_active_ambiguous,"{""active"":""17-38 17-21, 33-38"",""block_adv"":""-9"",""input"":""236MK"",""move_group"":""specials"",""move_name"":""中 ライノホーン"",""recovery"":""20"",""startup"":""17""}",elena_033_2_3_6_mk,elena,中 ライノホーン,236MK,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:037:強_ライノホーン,,official_active_ambiguous,"{""active"":""21-42 21-25, 37-42"",""block_adv"":""-9"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""強 ライノホーン"",""recovery"":""20"",""startup"":""21""}",elena_034_2_3_6_hk,elena,強 ライノホーン,236HK,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:038:od_ライノホーン,,official_active_ambiguous,"{""active"":""11-35 11-17, 25-35"",""block_adv"":""-9"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""OD ライノホーン"",""recovery"":""19"",""startup"":""11""}",elena_035_2_3_6_k_k,elena,OD ライノホーン,236KK,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:042:od_スクラッチホイール,,official_active_ambiguous,"{""active"":""6-28 6-11, 24-25, 27-28"",""block_adv"":""-46"",""input"":""623KK"",""move_group"":""specials"",""move_name"":""OD スクラッチホイール"",""recovery"":""25+着地後19"",""startup"":""6""}",elena_039_6_2_3_k_k,elena,OD スクラッチホイール,623KK,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:048:強化版_レオパードスナップ,,official_active_ambiguous,"{""active"":""10-22 10-14, 20-22"",""block_adv"":""1"",""input"":""|6LK"",""move_group"":""specials"",""move_name"":""[強化版]レオパードスナップ"",""recovery"":""15"",""startup"":""10""}",elena_045_6_lk,elena,[強化版]レオパードスナップ,|6LK,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:050:強化版_ハーベストサークル,,official_active_ambiguous,"{""active"":""8-19 8-10, 17-19"",""block_adv"":""-4"",""input"":""|6MK"",""move_group"":""specials"",""move_name"":""[強化版]ハーベストサークル"",""recovery"":""16"",""startup"":""8""}",elena_047_6_mk,elena,[強化版]ハーベストサークル,|6MK,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:052:強化版_マレットスマッシュ,,official_active_ambiguous,"{""active"":""22-27 22-23, 26-27"",""block_adv"":""3"",""input"":""|6HK"",""move_group"":""specials"",""move_name"":""[強化版]マレットスマッシュ"",""recovery"":""16"",""startup"":""22""}",elena_049_6_hk,elena,[強化版]マレットスマッシュ,|6HK,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:057:弱_スピンサイズ,,official_active_ambiguous,"{""active"":""15-67 15-18, 33-35, 60-61, 65-67"",""block_adv"":""-12"",""input"":""214LK"",""move_group"":""specials"",""move_name"":""弱 スピンサイズ"",""recovery"":""24"",""startup"":""15""}",elena_054_2_1_4_lk,elena,弱 スピンサイズ,214LK,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:058:中_スピンサイズ,,official_active_ambiguous,"{""active"":""20-76 20-23, 43-45, 68-72, 75-76"",""block_adv"":""-14"",""input"":""214MK"",""move_group"":""specials"",""move_name"":""中 スピンサイズ"",""recovery"":""27"",""startup"":""20""}",elena_055_2_1_4_mk,elena,中 スピンサイズ,214MK,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:059:強スピンサイズ,,official_active_ambiguous,"{""active"":""24-78 24-27, 45-47, 70-74, 77-78"",""block_adv"":""-10"",""input"":""214HK"",""move_group"":""specials"",""move_name"":""強スピンサイズ"",""recovery"":""23"",""startup"":""24""}",elena_056_2_1_4_hk,elena,強スピンサイズ,214HK,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:060:od_スピンサイズ,,official_active_ambiguous,"{""active"":""18-68 18-21, 34-36, 61-62, 66-68"",""block_adv"":""-10"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""OD スピンサイズ"",""recovery"":""22"",""startup"":""18""}",elena_057_2_1_4_k_k,elena,OD スピンサイズ,214KK,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:064:ムーングライド_2段目,,official_active_ambiguous,"{""active"":""16-25 16-17, 22-25"",""block_adv"":""-13"",""input"":""214P>6P"",""move_group"":""specials"",""move_name"":""ムーングライド（2段目）"",""recovery"":""25"",""startup"":""16""}",elena_061_2_1_4_p_6_p,elena,ムーングライド（2段目）,214P>6P,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:必殺技:066:od_ムーングライド_2段目,,official_active_ambiguous,"{""active"":""16-47 16-17, 22-25, 45-47"",""block_adv"":""-19"",""input"":""214PP>6P"",""move_group"":""specials"",""move_name"":""OD ムーングライド（2段目）"",""recovery"":""35"",""startup"":""16""}",elena_063_2_1_4_p_p_6_p,elena,OD ムーングライド（2段目）,214PP>6P,specials,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:スーパーアーツ:068:sa1_ミーティアボレー,,official_active_ambiguous,"{""active"":""7-39 7-11, 18-21, 38-39"",""block_adv"":""-68"",""input"":""236236K"",""move_group"":""super_arts"",""move_name"":""SA1 ミーティアボレー"",""recovery"":""55"",""startup"":""7""}",elena_064_2_3_6_2_3_6_k,elena,SA1 ミーティアボレー,236236K,super_arts,,,,,,,
official_raw,official,20260412T161524Z-2649b57a,20260412T161524Z-2649b57a:共通システム:081:ドライブパリィ,,official_active_ambiguous,"{""active"":""[※2] 1-12"",""input"":""MPMK"",""move_group"":""system"",""move_name"":""ドライブパリィ"",""recovery"":""33"",""startup"":""1""}",elena_075_mpmk,elena,ドライブパリィ,MPMK,system,,,,,,,
