dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T214050Z-b474cc50,20260412T214050Z-b474cc50:t009:elena_2hp,elena_2hp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""2HP"",""move_group"":""normals"",""move_name"":""Crouching Heavy Punch"",""notes_sc"":""2 hits; Upper Body/Legs are anti-air invuln on frames 8-19 (solid anti-air but cannot hit cross-up); causes air reset vs. airborne opponents; anti-airing with the first hit results in very little frame advantage as the 2nd hit continues to whiff; forces stand (important for 236K combo routes); cancel only comes out on the 2nd hit (will cancel on whiff if the first hit connects on airborne opponent); anti-air cancel into Lynx Song allows Elena to threaten with a meaty roll follow-up or feint to bait Parry (timing/advantage varies heavily based on anti-air timing); high pushback on hit; follow-up links require a Counter-hit, Punish Counter, Drive Rush starter into a ranged button; Counter-hit/Punish Counter bonus advantage carries through both hits; if 1st hit is Perfect Parried, opponent can interrupt 2nd hit with 5f or faster attack"",""punish_adv"":""+10"",""raw_source_token"":""elena_2hp""}",elena_011_2_hp,elena,Crouching Heavy Punch,2HP,normals,9,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214050Z-b474cc50,20260412T214050Z-b474cc50:t018:elena_jhk,elena_jhk,supercombo_missing_official_safe_row,"{""binding_class"":""B"",""input"":""j.HK"",""move_group"":""normals"",""move_name"":""Jumping Heavy Kick"",""notes_sc"":""2 hits; 1st hit puts airborne opponents into limited juggle state; 2nd hit causes spike knockdown vs. airborne opponents; 2nd hit has the most horizontal range of Elena's air normals; overall weaker as an air approach due to the damage being split between 2 hits (very specific timing required to land both hits vs. grounded opponents); if 1st hit is stand blocked, the 2nd hit will not hit overhead against crouch block; lower body projectile invuln 10-22f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)"",""punish_adv"":""+15(+19)"",""raw_source_token"":""elena_jhk""}",elena_018_j_hk,elena,Jumping Heavy Kick,j.HK,normals,18,B,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214050Z-b474cc50,20260412T214050Z-b474cc50:t028:elena_6hp_hp_hp,elena_6hp_hp_hp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""6HP~HP~HP"",""move_group"":""command_normals"",""move_name"":""Trunk Slap 3"",""notes_sc"":""() refers to scaled damage after a 6HP combo starter; good corner carry and knockdown advantage that can lead to auto-timed Lynx Whirl pressure on the opponent's wakeup; always a true blockstring from 6HP~HP"",""punish_adv"":""-"",""raw_source_token"":""elena_6hp_hp_hp""}",elena_026_hp_hp,elena,Trunk Slap 3,6HP~HP~HP,command_normals,28,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214050Z-b474cc50,20260412T214050Z-b474cc50:t040:elena_236lk,elena_236lk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236LK"",""move_group"":""specials"",""move_name"":""Rhino Horn"",""notes_sc"":""Shortest distance; whiffs on crouching opponents; Low Crush 15-34f; puts opponents into limited juggle state with follow-ups possible in the corner; 3f extra recovery on block/whiff; KD Advantage refers to grounded hits (varies against airborne opponents)"",""punish_adv"":""KD +39~44"",""raw_source_token"":""elena_236lk""}",elena_032_2_3_6_lk,elena,Rhino Horn,236LK,specials,40,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214050Z-b474cc50,20260412T214050Z-b474cc50:t041:elena_236mk,elena_236mk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236MK"",""move_group"":""specials"",""move_name"":""Rhino Horn"",""notes_sc"":""Medium distance; whiffs on crouching opponents; Low Crush 19-39f; puts opponents into limited juggle state with follow-ups possible in the corner; 4f extra recovery on block/whiff; KD Advantage refers to grounded hits (varies against airborne opponents)"",""punish_adv"":""KD +39~44"",""raw_source_token"":""elena_236mk""}",elena_033_2_3_6_mk,elena,Rhino Horn,236MK,specials,41,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214050Z-b474cc50,20260412T214050Z-b474cc50:t042:elena_236hk,elena_236hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""Rhino Horn"",""notes_sc"":""Farthest distance; whiffs on crouching opponents; Low Crush 23-43f; puts opponents into limited juggle state with follow-ups like 623HK possible in the corner; 4f extra recovery on block/whiff; KD Advantage refers to grounded hits (varies against airborne opponents)"",""punish_adv"":""KD +40~45"",""raw_source_token"":""elena_236hk""}",elena_034_2_3_6_hk,elena,Rhino Horn,236HK,specials,42,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214050Z-b474cc50,20260412T214050Z-b474cc50:t043:elena_236kk,elena_236kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""Rhino Horn"",""notes_sc"":""Whiffs on crouching opponents; Low Crush 13-35f; puts opponents into limited juggle state with follow-ups possible anywhere on the screen; some hits can whiff under high airborne opponents (at certain heights, allows a sideswitch juggle); 6f extra recovery on block/whiff; KD Advantage refers to grounded hits (varies against airborne opponents)"",""punish_adv"":""KD +43~49"",""raw_source_token"":""elena_236kk""}",elena_035_2_3_6_k_k,elena,Rhino Horn,236KK,specials,43,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214050Z-b474cc50,20260412T214050Z-b474cc50:t047:elena_623kk,elena_623kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623KK"",""move_group"":""specials"",""move_name"":""Scratch Wheel"",""notes_sc"":""Elena's primary reversal; cannot hit cross-up; connecting with active frames 5-6 makes the first hit whiff (450 less damage), making early anti-air attempts weaker"",""punish_adv"":""KD +25"",""raw_source_token"":""elena_623kk""}",elena_039_6_2_3_k_k,elena,Scratch Wheel,623KK,specials,47,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214050Z-b474cc50,20260412T214050Z-b474cc50:t048:elena_214lk,elena_214lk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214LK"",""move_group"":""specials"",""move_name"":""Spinning Scythe"",""notes_sc"":""Lynx Whirl Cancels (on Hit/on Block/on PC): ~6LP -3/-12/+1, ~6MP -11/-20/-7, ~6HP -13/-22/-9; first 2 hits force stand (last 2 hits will whiff vs. crouch block); first 2 hits have an extended foot hurtbox that can only hit standing opponents (shorter range vs. crouching); block disadvantage refers to stand(crouch); 2nd hit is cancelable into Lynx Whirl (enhanced Roll) on hit/block (but not whiff); all follow-ups are interruptible on block (even if opponent is in Burnout); Lynx Whirl cancel allows Elena to keep up pressure, but does not naturally combo into the follow-ups; Counter-hit/Punish Counter bonus advantage carries through first 2 hits (CH combos into ~6MK, PC combos into ~6LK); empty ~6LP Roll is safe on hit and can bait Parry/DI/Reversals; last hit puts opponent into limited juggle state (only SA3 cancel will combo unless 214LK connects in a high juggle)"",""punish_adv"":""KD +34"",""raw_source_token"":""elena_214lk""}",elena_054_2_1_4_lk,elena,Spinning Scythe,214LK,specials,48,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214050Z-b474cc50,20260412T214050Z-b474cc50:t049:elena_214mk,elena_214mk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214MK"",""move_group"":""specials"",""move_name"":""Spinning Scythe"",""notes_sc"":""Lynx Whirl Cancels (on Hit/on Block/on PC): ~6LP -3/-12/+1, ~6MP -11/-20/-7, ~6HP -13/-22/-9; first 2 hits force stand (last 2 hits will whiff vs. crouch block); first 2 hits have an extended foot hurtbox that can only hit standing opponents (shorter range vs. crouching); block disadvantage refers to stand(crouch); 2nd hit is cancelable into Lynx Whirl (enhanced Roll) on hit/block (but not whiff); all follow-ups are interruptible on block (even if opponent is in Burnout); Lynx Whirl cancel allows Elena to keep up pressure, but does not naturally combo into the follow-ups; Counter-hit/Punish Counter bonus advantage carries through first 2 hits (CH combos into ~6MK, PC combos into ~6LK); empty ~6LP Roll is safe on hit and can bait Parry/DI/Reversals; last hit puts opponent into limited juggle state (only SA3 cancel will combo unless 214LK connects in a high juggle)"",""punish_adv"":""KD +42"",""raw_source_token"":""elena_214mk""}",elena_055_2_1_4_mk,elena,Spinning Scythe,214MK,specials,49,A,True,not_required,,,
