character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
gouki_akuma,gouki_akuma_001_5_lp,立ち弱P（面割り）,5LP,normals,4,4-6,7,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,
gouki_akuma,gouki_akuma_002_5_lk,立ち弱K（脛斬り）,5LK,normals,5,5-7,11,,2,-4,C,300,始動補正20%,250,-500,-2000,300,上,
gouki_akuma,gouki_akuma_003_5_mp,立ち中P（豪掌）,5MP,normals,6,6-9,11,,4,1,C,600,,1500,-3000,-4000,500,上,空振り時硬直2F増加
gouki_akuma,gouki_akuma_004_5_mk,立ち中K（腸潰し）,5MK,normals,7,7-11,15,,3,-3,C,700,,2000,-4000,-6000,500,上,強制立ち効果
gouki_akuma,gouki_akuma_005_5_hp,立ち強P（岩砕突き）,5HP,normals,9,9-13,18,,3,-3,C,800,,2000,-5000,-8000,1000,上,
gouki_akuma,gouki_akuma_007_2_lp,しゃがみ弱P（足止め）,2LP,normals,4,4-5,9,,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,
gouki_akuma,gouki_akuma_008_2_lk,しゃがみ弱K（楔打ち）,2LK,normals,5,5-6,10,,3,-3,,200,始動補正20%,250,-500,-2000,300,下,
gouki_akuma,gouki_akuma_009_2_mp,しゃがみ中P（膝折り豪掌）,2MP,normals,6,6-8,14,,6,-1,C,600,,1500,-3000,-4000,500,上,空振り時硬直2F増加
gouki_akuma,gouki_akuma_010_2_mk,しゃがみ中K（踝払い）,2MK,normals,8,8-10,19,,0,-6,C,500,始動補正20%,1000,-2000,-4000,500,下,
gouki_akuma,gouki_akuma_011_2_hp,しゃがみ強P（獄門掌）,2HP,normals,8,8-15,19,,1,-8,C,900,,3000,-6000,-8000,1000,上,
gouki_akuma,gouki_akuma_012_2_hk,しゃがみ強K（刎脚）,2HK,normals,9,9-11,23,,D,-12,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
gouki_akuma,gouki_akuma_013_j_lp,ジャンプ弱P（眉間割り）,j.LP,normals,4,4-13,着地後3,,,,,300,,500,-1500,-2000,300,中,
gouki_akuma,gouki_akuma_014_j_lk,ジャンプ弱K（飛び膝）,j.LK,normals,6,6-15,着地後3,,,,,300,,500,-1500,-2000,300,中,めくり性能
gouki_akuma,gouki_akuma_015_j_mp,ジャンプ中P（跳び朱刀）,j.MP,normals,8,8-11,着地後3,,,,C,700,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン
gouki_akuma,gouki_akuma_016_j_mk,ジャンプ中K（首斬り）,j.MK,normals,7,7-12,着地後3,,,,,500,,1000,-2500,-4000,500,中,めくり性能
gouki_akuma,gouki_akuma_017_j_hp,ジャンプ強P（羅刹拳）,j.HP,normals,9,9-14,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中カウンター/パニッシュカウンター時叩きつけダウン
gouki_akuma,gouki_akuma_018_j_hk,ジャンプ強K（斬鉄脚）,j.HK,normals,12,12-17,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
gouki_akuma,gouki_akuma_020_6_mk,裂槍脚,6MK,command_normals,10,10-12,15,,5,-4,,700,,2000,-4000,-6000,500,上,空振り時硬直4F増加 | ガード時硬直3F増加
