dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161522Z-e5cef7e8,20260412T161522Z-e5cef7e8:通常技:007:立ち強k_首撥ね,,official_active_ambiguous,"{""active"":""13-27 13-15, 24-27"",""block_adv"":""3"",""input"":""5HK"",""move_group"":""normals"",""move_name"":""立ち強K（首撥ね）"",""recovery"":""15"",""startup"":""13""}",gouki_akuma_006_5_hk,gouki_akuma,立ち強K（首撥ね）,5HK,normals,,,,,,,
official_raw,official,20260412T161522Z-e5cef7e8,20260412T161522Z-e5cef7e8:特殊技:021:頭蓋破殺,,official_active_ambiguous,"{""active"":""20-24 20, 22-24"",""block_adv"":""-3"",""input"":""6MP"",""move_group"":""command_normals"",""move_name"":""頭蓋破殺"",""recovery"":""18"",""startup"":""20""}",gouki_akuma_019_6_mp,gouki_akuma,頭蓋破殺,6MP,command_normals,,,,,,,
official_raw,official,20260412T161522Z-e5cef7e8,20260412T161522Z-e5cef7e8:特殊技:029:天魔空刃脚,,official_active_ambiguous,"{""active"":""16-着地まで"",""input"":""2MK"",""move_group"":""command_normals"",""move_name"":""天魔空刃脚"",""recovery"":""着地後13"",""startup"":""16""}",gouki_akuma_027_2_mk,gouki_akuma,天魔空刃脚,2MK,command_normals,,,,,,,
official_raw,official,20260412T161522Z-e5cef7e8,20260412T161522Z-e5cef7e8:必殺技:051:中_竜巻斬空脚,,official_active_ambiguous,"{""active"":""11-28 11-12, 26-28"",""block_adv"":""-13"",""input"":""214MK"",""move_group"":""specials"",""move_name"":""中 竜巻斬空脚"",""recovery"":""30"",""startup"":""11""}",gouki_akuma_048_2_1_4_mk,gouki_akuma,中 竜巻斬空脚,214MK,specials,,,,,,,
official_raw,official,20260412T161522Z-e5cef7e8,20260412T161522Z-e5cef7e8:必殺技:052:強_竜巻斬空脚,,official_active_ambiguous,"{""active"":""7-51 7-9, 16-18, 28-30, 49-51"",""block_adv"":""-59"",""input"":""214HK"",""move_group"":""specials"",""move_name"":""強 竜巻斬空脚"",""recovery"":""23+着地後12"",""startup"":""7""}",gouki_akuma_049_2_1_4_hk,gouki_akuma,強 竜巻斬空脚,214HK,specials,,,,,,,
official_raw,official,20260412T161522Z-e5cef7e8,20260412T161522Z-e5cef7e8:必殺技:053:od_竜巻斬空脚,,official_active_ambiguous,"{""active"":""13-37 13-14, 19-20, 25-26, 30-31, 36-37"",""block_adv"":""-17"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""OD 竜巻斬空脚"",""recovery"":""26"",""startup"":""13""}",gouki_akuma_050_2_1_4_k_k,gouki_akuma,OD 竜巻斬空脚,214KK,specials,,,,,,,
official_raw,official,20260412T161522Z-e5cef7e8,20260412T161522Z-e5cef7e8:必殺技:054:空中竜巻斬空脚,,official_active_ambiguous,"{""active"":""11-26 11-12, 18-19, 25-26"",""input"":""214K"",""move_group"":""specials"",""move_name"":""空中竜巻斬空脚"",""recovery"":""着地後16"",""startup"":""11""}",gouki_akuma_051_2_1_4_k,gouki_akuma,空中竜巻斬空脚,214K,specials,,,,,,,
official_raw,official,20260412T161522Z-e5cef7e8,20260412T161522Z-e5cef7e8:必殺技:055:od_空中竜巻斬空脚,,official_active_ambiguous,"{""active"":""11-28 11-12, 14-16, 18-20, 22-24, 27-28"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""OD 空中竜巻斬空脚"",""recovery"":""着地後16"",""startup"":""11""}",gouki_akuma_052_2_1_4_k_k,gouki_akuma,OD 空中竜巻斬空脚,214KK,specials,,,,,,,
official_raw,official,20260412T161522Z-e5cef7e8,20260412T161522Z-e5cef7e8:必殺技:063:od_金剛灼火_2段目,,official_active_ambiguous,"{""active"":""7-17 7-10, 15-17"",""block_adv"":""-18"",""input"":""214PP>6P"",""move_group"":""specials"",""move_name"":""OD 金剛灼火（2段目）"",""recovery"":""25"",""startup"":""7""}",gouki_akuma_060_2_1_4_p_p_6_p,gouki_akuma,OD 金剛灼火（2段目）,214PP>6P,specials,,,,,,,
official_raw,official,20260412T161522Z-e5cef7e8,20260412T161522Z-e5cef7e8:必殺技:069:百鬼豪衝,,official_active_ambiguous,"{""active"":""16-着地まで"",""block_adv"":""1～10"",""input"":""P"",""move_group"":""specials"",""move_name"":""百鬼豪衝"",""recovery"":""着地後9"",""startup"":""16""}",gouki_akuma_066_p,gouki_akuma,百鬼豪衝,P,specials,,,,,,,
