dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T212932Z-447e18a5,20260412T212932Z-447e18a5:t006:akuma_5hk,akuma_5hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""5HK"",""move_group"":""normals"",""move_name"":""Standing Heavy Kick"",""notes_sc"":""2 hits; 1st hit forces stand (important for combos); both the 2nd hit and the farthest-reaching hitbox of 1st hit whiff on crouching opponents unless they extend a vertical hurtbox; if 1st hit is stand blocked, both hits will connect on block; 1f extra recovery when 2nd hit whiffs; Counter-hit/Punish Counter advantage carries through both hits; great punish starter since scaling doesn't apply; both hits put airborne opponents into limited juggle state"",""punish_adv"":""+11"",""raw_source_token"":""akuma_5hk""}",gouki_akuma_006_5_hk,gouki_akuma,Standing Heavy Kick,5HK,normals,6,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212932Z-447e18a5,20260412T212932Z-447e18a5:t019:akuma_6mp,akuma_6mp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""6MP"",""move_group"":""command_normals"",""move_name"":""Skull Splitter"",""notes_sc"":""2-hits; fast overhead with excellent reward (5MK) when used out of Drive Rush; if blocked, Akuma is out of throw range (can frame trap with CH 2LP into 5MK to punish reversal 4f jabs); 2nd hit is no longer an overhead if the first hit connects"",""punish_adv"":""+7"",""raw_source_token"":""akuma_6mp""}",gouki_akuma_019_6_mp,gouki_akuma,Skull Splitter,6MP,command_normals,19,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212932Z-447e18a5,20260412T212932Z-447e18a5:t050:akuma_214mk,akuma_214mk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214MK"",""move_group"":""specials"",""move_name"":""Tatsumaki Zanku-Kyaku"",""notes_sc"":""2 hits; whiffs on crouching opponents; cannot hit cross-up; puts opponent into limited juggle state (follow-up requires higher juggle connect, like after wallsplat); 2nd hit has 3f worse KD advantage; -28 oB refers to fuzzy guard scenario where 1st hit can connect vs. crouch block"",""punish_adv"":""KD +41(38)"",""raw_source_token"":""akuma_214mk""}",gouki_akuma_048_2_1_4_mk,gouki_akuma,Tatsumaki Zanku-Kyaku,214MK,specials,50,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212932Z-447e18a5,20260412T212932Z-447e18a5:t051:akuma_214hk,akuma_214hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214HK"",""move_group"":""specials"",""move_name"":""Tatsumaki Zanku-Kyaku"",""notes_sc"":""6f extra recovery on block/whiff; can hit crouching opponents; upward angle, primarily used as a juggle ender for damage and corner carry"",""punish_adv"":""KD +34"",""raw_source_token"":""akuma_214hk""}",gouki_akuma_049_2_1_4_hk,gouki_akuma,Tatsumaki Zanku-Kyaku,214HK,specials,51,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212932Z-447e18a5,20260412T212932Z-447e18a5:t062:akuma_214pp_6p,akuma_214pp_6p,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214PP~6P"",""move_group"":""specials"",""move_name"":""Adamant Flame Follow-Up"",""notes_sc"":""() refers to scaled damage from 214PP combo starter; 6f extra recovery on block; cannot come out on whiff; true blockstring from 214PP even at max delay; sends opponent to the edge of the screen for a wallsplat unless SA2 wallsplat occurred earlier in the combo (much less KD advantage, around +26~33); grounded wallsplat puts opponent into free juggle state (limited juggle state vs. airborne); allows a follow-up juggle if near the corner; KD advantage varies significantly depending on distance from corner"",""punish_adv"":""HKD +45(+63)"",""raw_source_token"":""akuma_214pp_6p""}",gouki_akuma_060_2_1_4_p_p_6_p,gouki_akuma,Adamant Flame Follow-Up,214PP~6P,specials,62,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212932Z-447e18a5,20260412T212932Z-447e18a5:t085:akuma_214214k,akuma_214214k,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""214214K"",""move_group"":""misogi"",""move_name"":""Misogi"",""notes_sc"":""Shin Akuma only (Back Taunt~Down Taunt); teleports above opponent from anywhere on screen; 3f less recovery on whiff or Perfect Parry; startup is functionally 9f on grounded opponents (10f vs. standard-height crouchers); much less KD advantage and 2f more recovery vs. airborne opponents; cannot be canceled into from OD specials like other Level 2 Supers; cannot be beaten with anti-air invincibility since Akuma is fully invuln and technically never goes airborne"",""punish_adv"":""KD +29(30)"",""raw_source_token"":""akuma_214214k""}",,gouki_akuma,Misogi,214214K,misogi,85,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T212932Z-447e18a5,20260412T212932Z-447e18a5:t061:akuma_214hp_6p,akuma_214hp_6p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214HP~6P"",""move_group"":""adamant_flame_follow_up"",""move_name"":""Adamant Flame Follow-Up"",""notes_sc"":""Cannot come out on whiff; true blockstring from 214HP even at max delay; puts opponents into limited juggle state with follow-up juggles possible in the corner"",""punish_adv"":""KD +47"",""raw_source_token"":""akuma_214hp_6p""}",,gouki_akuma,Adamant Flame Follow-Up,214HP~6P,adamant_flame_follow_up,61,D,False,not_required,gouki_akuma_019_6_mp | gouki_akuma_024_6_hp,,
supercombo_enrichment,supercombo,20260412T212932Z-447e18a5,20260412T212932Z-447e18a5:t052:akuma_214kk,akuma_214kk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214KK"",""move_group"":""tatsumaki_zanku_kyaku"",""move_name"":""Tatsumaki Zanku-Kyaku"",""notes_sc"":""Whiffs on crouching opponents; if 1st hit is stand blocked, opponent can crouch block after 2nd hit resulting in much worse disadvantage; cannot hit cross-up; puts opponent into limited juggle state (combos into 623LP/MP/PP); performs final kick on hit only"",""punish_adv"":""KD +47"",""raw_source_token"":""akuma_214kk""}",,gouki_akuma,Tatsumaki Zanku-Kyaku,214KK,tatsumaki_zanku_kyaku,52,D,False,not_required,gouki_akuma_050_2_1_4_k_k | gouki_akuma_052_2_1_4_k_k,,
supercombo_enrichment,supercombo,20260412T212932Z-447e18a5,20260412T212932Z-447e18a5:t059:akuma_214lp_6p,akuma_214lp_6p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214LP~6P"",""move_group"":""adamant_flame_follow_up"",""move_name"":""Adamant Flame Follow-Up"",""notes_sc"":""4f extra recovery on block; cannot come out on whiff; true blockstring from 214LP even at max delay; keeps opponent grounded for strike/throw mixup (requires microwalk if midscreen)"",""punish_adv"":""+7"",""raw_source_token"":""akuma_214lp_6p""}",,gouki_akuma,Adamant Flame Follow-Up,214LP~6P,adamant_flame_follow_up,59,D,False,not_required,gouki_akuma_019_6_mp | gouki_akuma_024_6_hp,,
supercombo_enrichment,supercombo,20260412T212932Z-447e18a5,20260412T212932Z-447e18a5:t060:akuma_214mp_6p,akuma_214mp_6p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214MP~6P"",""move_group"":""adamant_flame_follow_up"",""move_name"":""Adamant Flame Follow-Up"",""notes_sc"":""Cannot come out on whiff; true blockstring from 214MP even at max delay; puts opponents into limited juggle state"",""punish_adv"":""KD +32"",""raw_source_token"":""akuma_214mp_6p""}",,gouki_akuma,Adamant Flame Follow-Up,214MP~6P,adamant_flame_follow_up,60,D,False,not_required,gouki_akuma_019_6_mp | gouki_akuma_024_6_hp,,
supercombo_enrichment,supercombo,20260412T212932Z-447e18a5,20260412T212932Z-447e18a5:t086:akuma_22ppp,akuma_22ppp,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""22PPP"",""move_group"":""kongou_kokuretsuzan"",""move_name"":""Kongou-Kokuretsuzan"",""notes_sc"":""Shin Akuma only (Back Taunt~Down Taunt); 9-hit Super projectile with a massive vertical hitbox; cannot be canceled into from OD specials like other Level 2 Supers; puts opponent into limited juggle state (but very difficult to launch high enough for a follow-up)"",""punish_adv"":""KD +38"",""raw_source_token"":""akuma_22ppp""}",,gouki_akuma,Kongou-Kokuretsuzan,22PPP,kongou_kokuretsuzan,86,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T212932Z-447e18a5,20260412T212932Z-447e18a5:t063:akuma_236k,akuma_236k,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236K"",""move_group"":""demon_raid"",""move_name"":""Demon Raid"",""notes_sc"":""Button strength determines trajectory (LK short, MK mid, HK far); counter-hit state for entire duration; cancelable into follow-ups on frames 18-40; on frame 41, automatically transitions to Demon Low Slash (or Demon Swoop if holding Down)"",""punish_adv"":""-"",""raw_source_token"":""akuma_236k""}",,gouki_akuma,Demon Raid,236K,demon_raid,63,D,False,not_required,gouki_akuma_061_2_3_6_lk | gouki_akuma_062_2_3_6_mk | gouki_akuma_063_2_3_6_hk,,
