character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
guile,guile_001_5_lp,立ち弱P （ジャブ）,5LP,normals,5,5-7,7,,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
guile,guile_002_5_lk,立ち弱K （ムエタイキック）,5LK,normals,5,5-6,12,,3,-1,C,300,始動補正20%,250,-500,-2000,300,上,
guile,guile_003_5_mp,立ち中P （フック）,5MP,normals,7,7-9,15,,6,0,C,600,,1500,-3000,-4000,500,上,
guile,guile_004_5_mk,立ち中K （トラースキック）,5MK,normals,7,7-11,18,,1,-4,,700,,2000,-4000,-6000,700,上,
guile,guile_005_5_hp,立ち強P （サイクロンフック）,5HP,normals,7,7-9,23,,-1,-6,C,900,始動補正20%,2000,-5000,-8000,1000,上,パニッシュカウンターヒット時+14
guile,guile_006_5_hk,立ち強K （ヘビースタブキック）,5HK,normals,13,13-15,21,,4,-4,SA,800,始動補正20%,3000,-6000,-10000,1000,上,
guile,guile_007_2_lp,しゃがみ弱P （ジャブ）,2LP,normals,4,4-6,8,,5,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
guile,guile_008_2_lk,しゃがみ弱K （キック）,2LK,normals,5,5-6,12,,1,-3,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
guile,guile_009_2_mp,しゃがみ中P （ストレート）,2MP,normals,6,6-8,13,,4,-2,C,600,,1500,-3000,-4000,500,上,※空振り時硬直3F増加
guile,guile_010_2_mk,しゃがみ中K （スライドスイープ）,2MK,normals,8,8-10,18,,4,-5,,500,始動補正20%,2000,-4000,-6000,600,下,
guile,guile_011_2_hp,しゃがみ強P （リフトアッパー）,2HP,normals,9,9-13,20,,0,-9,C,900,,3000,-6000,-10000,1000,上,キャンセルは持続の1F目がヒットした時のみ | 強制立ち効果
guile,guile_013_j_lp,ジャンプ弱P （ジャンプパンチ）,j.LP,normals,4,4-13,着地後3,,,,,300,,500,-1500,-2000,300,中,
guile,guile_014_j_lk,ジャンプ弱K （ジャンピングニーアタック）,j.LK,normals,6,6-15,着地後3,,,,,300,,500,-1500,-2000,300,中,めくり性能
guile,guile_015_j_mp,ジャンプ中P （ジャンプストレート）,j.MP,normals,7,7-9,着地後3,,,,,700,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン
guile,guile_016_j_mk,ジャンプ中K （ガイルキック）,j.MK,normals,7,7-13,着地後3,,,,,600,,1000,-2500,-4000,500,中,
guile,guile_017_j_hp,ジャンプ強P （ジャンプチョップ）,j.HP,normals,9,9-12,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中カウンター/パニッシュカウンター時叩きつけダウン
guile,guile_018_j_hk,ジャンプ強K （アンチラウンドキック）,j.HK,normals,10,10-14,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
guile,guile_019_6_mp,フルブレットマグナム,6MP,command_normals,20,20-22,19,,2,-3,,800,,1000,-2500,-4000,500,中,空中ヒット時叩きつけダウン
guile,guile_020_4_hp,バーンストレート,4HP,command_normals,9,9-11,21,,1,-4,C,800,,2000,-5000,-8000,1000,上,
guile,guile_021_6_hp,スピニングバックナックル,6HP,command_normals,16,16-18,20,,5,3,,800,,5000,-6000,-12000,1200,上,
guile,guile_022_4_lk,ニーバズーカ,4LK,command_normals,8,8-11,15,,0,-4,,500,,2000,-2500,-3000,1000,上,
