character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
guile,guile_001_5_lp,Standing Light Punch,5LP,normals,13,14,8,9,+8,-8,+4,-2,+8,+2,-,-,-,1,1,0,-,1.07,150 (75),Chains into 5LP/2LP/2LK; SA2 cancel: +7/+1
guile,guile_002_5_lk,Standing Light Kick,5LK,normals,12 (DR: 13),17,13,9,+7,-12,+5,+1,+7,+3,-,-,-,1,1,0,-,1.27,150 (75),"Decent range light poke, but must let go of back charge before LK input making the execution a bit harder; SA2 cancel: +10/+6; DR cancel is delayed until after 1st recovery frame"
guile,guile_003_5_mp,Standing Medium Punch,5MP,normals,15 (17 TC),24,18,11,+10,-16,+14,+8,+10,+4,-,-,-,1,1,0,-,0.94,250 (125),"Main combo starter, can chain into 4HP Target Combo; SA2 cancel: +17/+11"
guile,guile_004_5_mk,Standing Medium Kick,5MK,normals,-,24,19,11,+5,-21,-,-,+5,0,-,-,-,1,1,0,-,1.436,350 (175),Solid anti-air
guile,guile_005_5_hp,Standing Heavy Punch,5HP,normals,17,25,20,13,+14 Stagger,-24,+15,+10,+3,-2,-,-,-,1,1,0,-,1.408 (1.251),500 (250),Stagger effect makes it useful as a whiff punish; extends a hurtbox 1f before active that is vulnerable to projectiles; SA2 cancel: +18/+13
guile,guile_006_5_hk,Standing Heavy Kick,5HK,normals,17,28,20,13,+8,-22,-,-,+8,0,-,-,-,1,1,1,-,1.906,500 (250),"SA2 cancel: +21/+13; can link into 2LP at point blank, 2MP on close range Counter-hit, or 5HP on mid-range Punish Counter"
guile,guile_007_2_lp,Crouching Light Punch,2LP,normals,13,16,9,9,+9,-9,+4,-3,+9,+2,-,-,-,1,1,0,-,1.03,150 (75),Chains into 5LP/2LP/2LK; SA2 cancel: +9/+2; DR cancel is delayed until after active frames; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air)
guile,guile_008_2_lk,Crouching Light Kick,2LK,normals,-,15,11,9,+5,-12,-,-,+5,+1,-,-,-,1,1,0,-,1.17,150 (75),Chains into 5LP/2LP/2LK
guile,guile_009_2_mp,Crouching Medium Punch,2MP,normals,15 (16 TC),20,14,11,+8,-14,+10,+4,+8,+2,-,-,-,1,1,0,-,1.22,250 (125),3f extra recovery on whiff; low pushback on hit; chains into itself for a launching Target Combo; has an extended hurtbox on whiff until the end of recovery; SA2 cancel: +13/+7; topmost hurtbox on frames 1-8 is vulnerable only to aerial strikes (preventing its use as an anti-air)
guile,guile_010_2_mk,Crouching Medium Kick,2MK,normals,18,25,16,11,+8,-19,-,-,+8,-1,-,-,-,1,1,0,-,1.593 (1.423),300 (150),"Good poke, especially when used from Drive Rush; significantly more range on 2nd active frame (may not work as an 8f punish at some ranges)"
