dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T205429Z-168d253c,20260412T205429Z-168d253c:t012:guile_2hk,guile_2hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""2HK"",""move_group"":""normals"",""move_name"":""Dragon Sweep"",""notes_sc"":""2 hits; both hits have juggle potential; 1st hit launches opponent into limited juggle state on Punish Counter; Target Combo follow-up only combos on Drive Rush, Punish Counter, or when 2HK is juggled into"",""punish_adv"":""HKD +44"",""raw_source_token"":""guile_2hk""}",guile_012_2_hk,guile,Dragon Sweep,2HK,normals,12,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205429Z-168d253c,20260412T205429Z-168d253c:t051:Guile_214p_6p,Guile_214p_6p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214P"",""move_group"":""sonic_blade"",""move_name"":""~ 6P Sonic Cross"",""notes_sc"":""No charge required to throw projectile; the 6P button strength determines projectile speed and Drive damage on block (LP 3500 / MP 5000 / HP 4000); enhanced version becomes a 2-hit projectile that puts opponents into limited juggle state on hit; input 6+P within 3f of each other for Perfect Boom (+200 damage on 1st hit); if Sonic Blade dissipates before Boom passes through it, the projectile is not enhanced; the projectile speed of 214P~6LP is very slow for the first 8 frames (almost stationary); arm hurtbox appears 2f before active"",""punish_adv"":""KD +44~"",""raw_source_token"":""Guile_214p_6p""}",,guile,~ 6P Sonic Cross,214P,sonic_blade,51,D,False,not_required,guile_019_6_mp | guile_021_6_hp,,
supercombo_enrichment,supercombo,20260412T205429Z-168d253c,20260412T205429Z-168d253c:t053:Guile_214pp,Guile_214pp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214PP"",""move_group"":""sonic_blade"",""move_name"":""Sonic Cross"",""notes_sc"":""2-hit OD projectile; button combination determines forward movement speed of the projectile (LP+MP slowest, LP+HP mid, MP+HP fastest); [] refers to projectile active time; on grounded connect, 1st hit knocks down and the 2nd hit remains active; either hit puts opponent into limited juggle state; cannot activate SA1 while Sonic Blade is active on-screen; SA2 cancel: KD+68/+11"",""punish_adv"":""KD +57"",""raw_source_token"":""Guile_214pp""}",,guile,Sonic Cross,214PP,sonic_blade,53,D,False,not_required,guile_048_2_1_4_p_p | guile_049_2_1_4_p_p | guile_050_2_1_4_p_p,,
supercombo_enrichment,supercombo,20260412T205429Z-168d253c,20260412T205429Z-168d253c:t054:Guile_214pp_6p,Guile_214pp_6p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214PP"",""move_group"":""sonic_blade"",""move_name"":""~ 6P Sonic Cross"",""notes_sc"":""No charge required to throw projectile; puts opponents into limited juggle state; only the Enhanced Boom is cancelable to SA2; if the OD Sonic Blade is blocked immediately at close range, it will dissipate before the Boom follow-up comes out, making the cancel impossible; SA2 cancel: KD+64/+24; projectile speed accelerates until no longer on screen"",""punish_adv"":""KD +47"",""raw_source_token"":""Guile_214pp_6p""}",,guile,~ 6P Sonic Cross,214PP,sonic_blade,54,D,False,not_required,guile_048_2_1_4_p_p | guile_049_2_1_4_p_p | guile_050_2_1_4_p_p,,
supercombo_enrichment,supercombo,20260412T205429Z-168d253c,20260412T205429Z-168d253c:t055:Guile_214pp_6pp,Guile_214pp_6pp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214PP"",""move_group"":""sonic_blade"",""move_name"":""~ 6PP Sonic Cross"",""notes_sc"":""No charge required to throw projectile; puts opponents into limited juggle state; costs 3 total stocks of Drive Gauge counting the initial Sonic Blade activation (4 stocks if you delay with a manual OD Sonic Boom); causes a short wallsplat animation if the opponent is near the corner; SA2 cancel: KD+65/+25; projectile speed accelerates until no longer on screen"",""punish_adv"":""KD Spin + Wallsplat"",""raw_source_token"":""Guile_214pp_6pp""}",,guile,~ 6PP Sonic Cross,214PP,sonic_blade,55,D,False,not_required,guile_048_2_1_4_p_p | guile_049_2_1_4_p_p | guile_050_2_1_4_p_p,,
supercombo_enrichment,supercombo,20260412T205429Z-168d253c,20260412T205429Z-168d253c:t046:Guile_28hk,Guile_28hk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""[2]8HK"",""move_group"":""somersault_kick"",""move_name"":""Somersault Kick"",""notes_sc"":""45f charge (charge lasts 12f after releasing down direction); cannot hit cross-ups; input 8+HK within 3f of each other for Perfect timing (better damage); does 400 less damage on active frames 3-6 (800 regular, 1000 perfect)"",""punish_adv"":""KD +39"",""raw_source_token"":""Guile_28hk""}",,guile,Somersault Kick,[2]8HK,somersault_kick,46,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205429Z-168d253c,20260412T205429Z-168d253c:t047:Guile_28kk,Guile_28kk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""[2]8KK"",""move_group"":""somersault_kick"",""move_name"":""Somersault Kick"",""notes_sc"":""45f charge (charge lasts 15f after releasing down direction); cannot hit cross-ups; does not have a Perfect timing version; 2nd hit whiffs vs. crouch block (4f worse advantage, less chip damage); 1st hit does 300 less damage on active frames 3-4 (high anti-air or long range connect)"",""punish_adv"":""KD +29"",""raw_source_token"":""Guile_28kk""}",,guile,Somersault Kick,[2]8KK,somersault_kick,47,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205429Z-168d253c,20260412T205429Z-168d253c:t044:Guile_28lk,Guile_28lk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""[2]8LK"",""move_group"":""somersault_kick"",""move_name"":""Somersault Kick"",""notes_sc"":""45f charge (charge lasts 12f after releasing down direction); cannot hit cross-ups; input 8+LK within 3f of each other for Perfect timing (better damage); does 200 less damage on active frames 3-6 (800 regular, 1000 perfect)"",""punish_adv"":""KD +36"",""raw_source_token"":""Guile_28lk""}",,guile,Somersault Kick,[2]8LK,somersault_kick,44,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205429Z-168d253c,20260412T205429Z-168d253c:t045:Guile_28mk,Guile_28mk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""[2]8MK"",""move_group"":""somersault_kick"",""move_name"":""Somersault Kick"",""notes_sc"":""45f charge (charge lasts 12f after releasing down direction); cannot hit cross-ups; input 8+MK within 3f of each other for Perfect timing (better damage); does 300 less damage on active frames 3-6 (800 regular, 1000 perfect)"",""punish_adv"":""KD +37"",""raw_source_token"":""Guile_28mk""}",,guile,Somersault Kick,[2]8MK,somersault_kick,45,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205429Z-168d253c,20260412T205429Z-168d253c:t067:Guile_2pppkkk,Guile_2pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""2PPPKKK"",""move_group"":""taunts"",""move_name"":""Down Taunt"",""notes_sc"":""\""Come on!\"""",""punish_adv"":""-"",""raw_source_token"":""Guile_2pppkkk""}",,guile,Down Taunt,2PPPKKK,taunts,67,G,False,not_required,,,
