character_slug,move_id,punishable_threshold,is_safe_on_block,is_plus_on_hit,is_plus_on_block,meaty_hit_adv_max,meaty_block_adv_max,startup_bucket,simple_punish_adv,derivation_notes
jamie,jamie_001_5_lp,0,True,True,False,6,1,5_to_7,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_002_5_lk,1,True,True,False,4,0,5_to_7,1,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_003_5_mp,0,True,True,True,9,5,8_to_10,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_004_5_mk,3,True,True,False,4,-1,8_to_10,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_006_5_hk,5,False,True,False,5,-3,11_plus,5,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_007_2_lp,1,True,True,False,6,0,4f_or_faster,1,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_008_2_lk,3,True,True,False,4,-2,5_to_7,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_009_2_mp,1,True,True,False,7,1,5_to_7,1,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_010_2_mk,6,False,False,False,1,-4,5_to_7,6,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_011_2_hp,8,False,False,False,4,-4,8_to_10,8,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_013_j_lp,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_014_j_lk,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_015_j_mp,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_016_j_mk,,,,,,,5_to_7,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_017_j_hp,,,,,,,8_to_10,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_019_2_k_k,8,False,,False,,-6,8_to_10,8,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_020_2_hk_hk,28,False,,False,,-26,11_plus,28,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_021_2_hk_hk_p,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_022_6_mk,3,True,True,False,3,-1,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_023_4_hp,3,True,True,False,4,0,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_024_6_hk,3,True,True,False,5,-1,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_025_lp,3,True,True,False,4,-1,5_to_7,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_026_lp_lk,8,False,False,False,-2,-7,5_to_7,8,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_027_lp_lk_mp,10,False,False,False,1,-8,8_to_10,10,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_028_6_mk,3,True,True,False,3,-1,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_030_6_mk_mk_p,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_031_4_hp,3,True,True,False,4,0,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_032_4_hp_hp,11,False,True,False,4,-8,11_plus,11,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_033_4_hp_hp_hk,20,False,,False,,-18,11_plus,20,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_034_6_hk,3,True,True,False,6,0,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_035_6_hk_4_hk,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_036_6_hk_4_hk_p,13,False,,False,,-9,11_plus,13,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_038_6_hk_4_hk_p,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_039_2_2_p,,,,,,,,,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_040_2_3_6_lp,6,False,False,False,0,-5,11_plus,6,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_042_2_3_6_mp,6,False,False,False,0,-5,11_plus,6,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_044_2_3_6_hp,6,False,False,False,0,-5,11_plus,6,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_046_2_3_6_p_p,3,True,True,False,2,-2,11_plus,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_048_2_3_6_lp_6_p,13,False,False,False,-2,-12,11_plus,13,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
jamie,jamie_049_2_3_6_mp_6_p,11,False,False,False,-2,-10,11_plus,11,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
