character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
jamie,jamie_001_5_lp,立ち弱P（杯打）,5LP,normals,5,5-6,7,,5,0,C,300,始動補正20%,250,-500,-2000,300,上,
jamie,jamie_002_5_lk,立ち弱K（頂奏）,5LK,normals,5,5-6,11,,3,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
jamie,jamie_003_5_mp,立ち中P（背束拳）,5MP,normals,8,8-11,14,,6,2,,600,,2000,-4000,-6000,500,上,
jamie,jamie_004_5_mk,立ち中K（瞬歩脚）,5MK,normals,9,9-11,17,,2,-3,C,600,,1500,-3000,-4000,700,上,空振り時硬直1F増加
jamie,jamie_006_5_hk,立ち強K（魔霞弧）,5HK,normals,15,15-17,21,,3,-5,C,800,,3000,-4000,-10000,1000,上,パニッシュカウンター時膝くずれ | 空中ヒット時吹き飛びやられ
jamie,jamie_007_2_lp,しゃがみ弱P（杯打）,2LP,normals,4,4-5,9,,5,-1,C,250,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
jamie,jamie_008_2_lk,しゃがみ弱K（先歩）,2LK,normals,5,5-6,11,,3,-3,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
jamie,jamie_009_2_mp,しゃがみ中P（透骨拳）,2MP,normals,6,6-8,13,,5,-1,C,600,,1500,-3000,-4000,500,上,空振り時硬直2F増加
jamie,jamie_010_2_mk,しゃがみ中K（膝降蹴）,2MK,normals,7,7-9,18,,-1,-6,C,500,始動補正20%,1000,-2000,-4000,600,下,
jamie,jamie_011_2_hp,しゃがみ強P（月穿）,2HP,normals,8,8-12,23,,0,-8,C,900,,2500,-5000,-7000,1000,上,強制立ち効果 | 持続の2F目までキャンセル可
jamie,jamie_013_j_lp,ジャンプ弱P（裏肘落）,j.LP,normals,5,5-13,着地後3,,,,,300,,500,-1500,-2000,300,中,めくり性能
jamie,jamie_014_j_lk,ジャンプ弱K（麓刺）,j.LK,normals,6,6-11,着地後3,,,,,300,,500,-1500,-2000,300,中,
jamie,jamie_015_j_mp,ジャンプ中P（雲掴）,j.MP,normals,7,7-10,着地後3,,,,C,700,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びやられ
jamie,jamie_016_j_mk,ジャンプ中K（飛燕腿）,j.MK,normals,7,7-12,着地後3,,,,,500,,1000,-2500,-4000,500,中,めくり性能
jamie,jamie_017_j_hp,ジャンプ強P（鞭槌打）,j.HP,normals,10,10-15,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中ヒット時叩きつけダウン
jamie,jamie_019_2_k_k,天晴脚,2KK,command_normals,9,9-11,22,,D,-8,,600,始動補正20%,1000,-2500,-4000,700,上,ヒット時のみジャンプキャンセル可能
jamie,jamie_020_2_hk_hk,幻酔舞（2段目）,2HK>HK,command_normals,12,12-14,43,,D,-28,,500,,2000,-3000,-7000,1000,上,
jamie,jamie_021_2_hk_hk_p,幻酔舞（3段目）,2HK>HK>P,command_normals,,,全体 60,60,,,,0,,0,0,0,0,,56F目で酔いLv1上昇 | 酔いLv3以下の時ドライブゲージ2500回復 | 酔いLv4時ドライブゲージ10000回復
jamie,jamie_022_6_mk,落星脚,6MK,command_normals,22,22-24,20,,1,-3,,600,,1000,-2500,-4000,500,中,
jamie,jamie_023_4_hp,仙姑肘,4HP,command_normals,18,18-21,20,,1,-3,SA,800,,2000,-4000,-7000,1000,上,
jamie,jamie_024_6_hk,旋影脚,6HK,command_normals,16,16-18,20,,3,-3,SA,900,,1000,-6000,-7000,500,上,
jamie,jamie_025_lp,鋭鍾打（1段目）,LP,command_normals,5,5-7,9,,2,-3,C,300,始動補正20%,250,-500,-2000,300,上,酔いLv1以上で発動可能
jamie,jamie_026_lp_lk,鋭鍾打（2段目）,LP>LK,command_normals,6,6-7,16,,-3,-8,,200,,250,-500,-2000,300,上,酔いLv1以上で発動可能
jamie,jamie_027_lp_lk_mp,鋭鍾打（3段目）,LP>LK>MP,command_normals,8,8-10,21,,-1,-10,C,500,,1000,-3000,-4000,500,上,酔いLv1以上で発動可能 | ※ガード時硬直2F増加
jamie,jamie_028_6_mk,円月脚（1段目）,6MK,command_normals,22,22-24,20,,1,-3,,600,,1000,-2500,-4000,500,中,
jamie,jamie_030_6_mk_mk_p,円月脚（3段目）,6MK>MK>P,command_normals,,,全体 61,61,,,,0,,0,0,0,0,,酔いLv2以上で発動可能 | 54F目で酔いLv1上昇 | 酔いLv3以下の時ドライブゲージ5000回復 | 酔いLv4時ドライブゲージ10000回復
jamie,jamie_031_4_hp,酩酊襲（1段目）,4HP,command_normals,18,18-21,21,,1,-3,SA,800,,2000,-4000,-7000,1000,上,酔いLv3以上で発動可能
