dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161510Z-786a93e8,20260412T161510Z-786a93e8:通常技:006:立ち強p_連發拳,,official_active_ambiguous,"{""active"":""5-14 5, 7, 12-14"",""block_adv"":""-3"",""input"":""5HP"",""move_group"":""normals"",""move_name"":""立ち強P（連發拳）"",""recovery"":""20"",""startup"":""5""}",jamie_005_5_hp,jamie,立ち強P（連發拳）,5HP,normals,,,,,,,
official_raw,official,20260412T161510Z-786a93e8,20260412T161510Z-786a93e8:通常技:013:しゃがみ強k_始廻,,official_active_ambiguous,"{""active"":""9-15 9-10, 13-15"",""block_adv"":""-11"",""input"":""2HK"",""move_group"":""normals"",""move_name"":""しゃがみ強K（始廻）"",""recovery"":""28"",""startup"":""9""}",jamie_012_2_hk,jamie,しゃがみ強K（始廻）,2HK,normals,,,,,,,
official_raw,official,20260412T161510Z-786a93e8,20260412T161510Z-786a93e8:通常技:019:ジャンプ強k_連空腿,,official_active_ambiguous,"{""active"":""8-19 8-10, 16-19"",""input"":""j.HK"",""move_group"":""normals"",""move_name"":""ジャンプ強K（連空腿）"",""recovery"":""着地後3"",""startup"":""8""}",jamie_018_j_hk,jamie,ジャンプ強K（連空腿）,j.HK,normals,,,,,,,
official_raw,official,20260412T161510Z-786a93e8,20260412T161510Z-786a93e8:特殊技:031:円月脚_2段目,,official_active_ambiguous,"{""active"":""15-24 15-17, 23-24"",""block_adv"":""-14"",""input"":""6MK>MK"",""move_group"":""command_normals"",""move_name"":""円月脚（2段目）"",""recovery"":""28"",""startup"":""15""}",jamie_029_6_mk_mk,jamie,円月脚（2段目）,6MK>MK,command_normals,,,,,,,
official_raw,official,20260412T161510Z-786a93e8,20260412T161510Z-786a93e8:特殊技:039:乱酔旋_3段目_ディレイ派生,,official_active_ambiguous,"{""active"":""4-28 4-5, 14-15, 27-28"",""block_adv"":""-9"",""input"":""6HK>4HK>P"",""move_group"":""command_normals"",""move_name"":""乱酔旋（3段目/ディレイ派生）"",""recovery"":""27"",""startup"":""4""}",jamie_037_6_hk_4_hk_p,jamie,乱酔旋（3段目/ディレイ派生）,6HK>4HK>P,command_normals,,,,,,,
official_raw,official,20260412T161510Z-786a93e8,20260412T161510Z-786a93e8:必殺技:044:酔いレベル4_弱_流酔拳_1段目,,official_active_ambiguous,"{""active"":""13-26 13-14,24-26"",""block_adv"":""-3"",""input"":""236LP"",""move_group"":""specials"",""move_name"":""[酔いレベル4]弱 流酔拳（1段目）"",""recovery"":""19"",""startup"":""13""}",jamie_041_2_3_6_lp,jamie,[酔いレベル4]弱 流酔拳（1段目）,236LP,specials,,,,,,,
official_raw,official,20260412T161510Z-786a93e8,20260412T161510Z-786a93e8:必殺技:046:酔いレベル4_中_流酔拳_1段目,,official_active_ambiguous,"{""active"":""16-29 16-17,27-29"",""block_adv"":""-3"",""input"":""236MP"",""move_group"":""specials"",""move_name"":""[酔いレベル4]中 流酔拳（1段目）"",""recovery"":""19"",""startup"":""16""}",jamie_043_2_3_6_mp,jamie,[酔いレベル4]中 流酔拳（1段目）,236MP,specials,,,,,,,
official_raw,official,20260412T161510Z-786a93e8,20260412T161510Z-786a93e8:必殺技:048:酔いレベル4_強_流酔拳_1段目,,official_active_ambiguous,"{""active"":""19-32 19-20,30-32"",""block_adv"":""-3"",""input"":""236HP"",""move_group"":""specials"",""move_name"":""[酔いレベル4]強 流酔拳（1段目）"",""recovery"":""19"",""startup"":""19""}",jamie_045_2_3_6_hp,jamie,[酔いレベル4]強 流酔拳（1段目）,236HP,specials,,,,,,,
official_raw,official,20260412T161510Z-786a93e8,20260412T161510Z-786a93e8:必殺技:050:酔いレベル4_od_流酔拳_1段目,,official_active_ambiguous,"{""active"":""16-26 16-17,24-26"",""block_adv"":""-3"",""input"":""236PP"",""move_group"":""specials"",""move_name"":""[酔いレベル4]OD 流酔拳（1段目）"",""recovery"":""19"",""startup"":""13""}",jamie_047_2_3_6_p_p,jamie,[酔いレベル4]OD 流酔拳（1段目）,236PP,specials,,,,,,,
official_raw,official,20260412T161510Z-786a93e8,20260412T161510Z-786a93e8:必殺技:054:酔いレベル4_流酔拳_2段目,,official_active_ambiguous,"{""active"":""15-23 15-16, 22-23"",""block_adv"":""-10"",""input"":""236P>6P"",""move_group"":""specials"",""move_name"":""[酔いレベル4]流酔拳（2段目）"",""recovery"":""27"",""startup"":""15""}",jamie_051_2_3_6_p_6_p,jamie,[酔いレベル4]流酔拳（2段目）,236P>6P,specials,,,,,,,
