dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t004:Jamie_5hp_dl2,Jamie_5hp_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""5HP"",""move_group"":""normals"",""move_name"":""Stand HP (DL2)"",""notes_sc"":""Damage DL0-DL4: 810/855/900/945/990; very fast startup for heavy normal; 3 hits (can break Drive Impact from close range); great option out of Drive Rush (forward momentum, plus on block, combo on hit) or vs. opponent in Burnout; 3rd hit has longer range (effectively 12f startup with better frame advantage when spaced out); all hits receive counter-hit/Punish Counter advantage; Punish Counter Drive damage will not occur if the attack is canceled; all 3 hits put airborne opponent into limited juggle state (juggling into last 2 hits will maintain juggle state); SA2 cancel: +11/+5; Drink cancel: -33/-39; special/DR cancel is delayed until after 3rd recovery frame on 2nd hit"",""punish_adv"":""+5(+7)"",""raw_source_token"":""Jamie_5hp_dl2""}",jamie_005_5_hp,jamie,Stand HP (DL2),5HP,normals,4,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t013:Jamie_2hk_dl2,Jamie_2hk_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""2HK"",""move_group"":""normals"",""move_name"":""Crouch HK (DL2)"",""notes_sc"":""Damage DL0-DL4: 360x2/380x2/400x2/420x2/440x2; 1f extra recovery on block; has 2 hits, allowing ample hitconfirm time into Target Combo; 2nd hit has more range and can be blocked standing if the 1st hit is blocked; can be spaced safely vs. most characters; first active frame of 2nd hit is a large juggle-only hitbox; high juggle potential; Target Combo follow-up gives time for Drink without sacrificing corner oki"",""punish_adv"":""HKD +48"",""raw_source_token"":""Jamie_2hk_dl2""}",jamie_012_2_hk,jamie,Crouch HK (DL2),2HK,normals,13,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t019:Jamie_jhk_dl2,Jamie_jhk_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""B"",""input"":""j.HK"",""move_group"":""normals"",""move_name"":""Jump HK (DL2)"",""notes_sc"":""Damage DL0-DL4: 360x2/380x2/400x2/420x2/440x2; both hits put airborne opponents into limited juggle state (follow-up is always possible); if 1st hit is stand blocked, the 2nd hit will not hit overhead against crouch block; lower body projectile invuln 8-25f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"",""punish_adv"":""+15(+19)"",""raw_source_token"":""Jamie_jhk_dl2""}",jamie_018_j_hk,jamie,Jump HK (DL2),j.HK,normals,19,B,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t031:Jamie_6mk_mk_dl2,Jamie_6mk_mk_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""6MK~MK"",""move_group"":""command_normals"",""move_name"":""Full Moon Kick (DL2)"",""notes_sc"":""Damage DL2-DL4: 200x2/210x2/220x2; allows a combo from overhead without Drive Rush, but difficult to confirm on reaction; MK follow-up is 2 hits"",""punish_adv"":""KD +31"",""raw_source_token"":""Jamie_6mk_mk_dl2""}",jamie_029_6_mk_mk,jamie,Full Moon Kick (DL2),6MK~MK,command_normals,31,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t091:Jamie_623lk_dl2,Jamie_623lk_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623LK"",""move_group"":""specials"",""move_name"":""Arrow Kick (DL2)"",""notes_sc"":""Damage DL0-DL4: 900/950/1000/1050/1100 (Chip: 225/237/250/262/275); on hit, a follow-up occurs with 11f landing recovery (16-42f full invuln, vulnerable to projectiles before invincibility starts); cannot hit cross-up; sets up a safe jump in the corner (or midscreen if no back rise); can juggle into 623KK, SA1, or SA3 after a high airborne connect (623KK requires corner positioning)"",""punish_adv"":""KD +42"",""raw_source_token"":""Jamie_623lk_dl2""}",jamie_072_6_2_3_lk,jamie,Arrow Kick (DL2),623LK,specials,91,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t092:Jamie_623mk_dl2,Jamie_623mk_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623MK"",""move_group"":""specials"",""move_name"":""Arrow Kick (DL2)"",""notes_sc"":""Damage DL0-DL4: 1080/1140/1200/1260/1320 (Chip: 270/285/300/315/330); on hit, a follow-up occurs with 18f landing recovery (17-40f full invuln, vulnerable to projectiles before invincibility starts); cannot hit cross-up"",""punish_adv"":""KD +34"",""raw_source_token"":""Jamie_623mk_dl2""}",jamie_073_6_2_3_mk,jamie,Arrow Kick (DL2),623MK,specials,92,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t093:Jamie_623hk_dl2,Jamie_623hk_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623HK"",""move_group"":""specials"",""move_name"":""Arrow Kick (DL2)"",""notes_sc"":""Damage DL0-DL4: 1260/1330/1400/1470/1540 (Chip: 315/332/350/367/385); on hit, a follow-up occurs with 8f landing recovery (19-42f full invuln, vulnerable to projectiles before invincibility starts); cannot hit cross-up; can juggle into 623KK or SA1 after a high airborne connect in the corner"",""punish_adv"":""KD +39"",""raw_source_token"":""Jamie_623hk_dl2""}",jamie_074_6_2_3_hk,jamie,Arrow Kick (DL2),623HK,specials,93,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t094:Jamie_623kk_dl2,Jamie_623kk_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623KK"",""move_group"":""specials"",""move_name"":""Arrow Kick (DL2)"",""notes_sc"":""Damage DL0-DL4: 1350/1424/1500/1574/1650 (Chip: 337/356/375/393/412); on hit, a follow-up occurs with 11f landing recovery (15-38f full invuln, vulnerable to projectiles before 2nd hit invincibility starts); Jamie's primary reversal; cannot hit cross-up"",""punish_adv"":""KD +40"",""raw_source_token"":""Jamie_623kk_dl2""}",jamie_075_6_2_3_k_k,jamie,Arrow Kick (DL2),623KK,specials,94,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t097:Jamie_236lk_dl2,Jamie_236lk_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236LK"",""move_group"":""specials"",""move_name"":""Bakkai (DL2)"",""notes_sc"":""Damage DL2-DL4: 1400/1468/1540 (Chip: 348/365/382); important combo ender for safe jump setups"",""punish_adv"":""KD +42"",""raw_source_token"":""Jamie_236lk_dl2""}",jamie_080_2_3_6_lk,jamie,Bakkai (DL2),236LK,specials,97,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t098:Jamie_236mk_dl2,Jamie_236mk_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236MK"",""move_group"":""specials"",""move_name"":""Bakkai (DL2)"",""notes_sc"":""Damage DL2-DL4: 1600/1677/1760 (Chip: 397/416/435)"",""punish_adv"":""KD +35"",""raw_source_token"":""Jamie_236mk_dl2""}",jamie_081_2_3_6_mk,jamie,Bakkai (DL2),236MK,specials,98,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t099:Jamie_236hk_dl2,Jamie_236hk_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""Bakkai (DL2)"",""notes_sc"":""Damage DL2-DL4: 1800/1887/1980 (Chip: 447/468/490); semi-consistent projectile counter at mid-range (except vs. fireballs with low recovery or with smaller extended hurtboxes)"",""punish_adv"":""KD +34"",""raw_source_token"":""Jamie_236hk_dl2""}",jamie_082_2_3_6_hk,jamie,Bakkai (DL2),236HK,specials,99,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t100:Jamie_236kk_dl2,Jamie_236kk_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""Bakkai (DL2)"",""notes_sc"":""Damage DL2-DL4: 2000/2100/2200 (Chip: 500/522/545); fairly consistent projectile counter at mid-range (except vs. fireballs with low recovery or with smaller extended hurtboxes); Super cancel occurs on 7th hit; SA2 cancel: +14/+7; -97 if opponent Perfect Parries the 1st hit and then jumps to avoid the rest"",""punish_adv"":""KD +23"",""raw_source_token"":""Jamie_236kk_dl2""}",jamie_083_2_3_6_k_k,jamie,Bakkai (DL2),236KK,specials,100,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t106:Jamie_236236p_dl2,Jamie_236236p_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236236P"",""move_group"":""super_arts"",""move_name"":""Getsuga Saiho (DL2)"",""notes_sc"":""Damage DL0-DL4: 2340/2469/2600/2729/2860 (Non-Cinematic: 450/475/500/525/550) (Chip: 450x2/475x2/500x2/525x2/550x2); 1st hit goes into cinematic, 2nd non-cinematic hit does very low damage and no Hard Knockdown; launches opponent into free juggle state, resetting the juggle counter to 0; cannot hit cross-up; cinematic time regenerates ~1.8 Drive bars for Jamie"",""punish_adv"":""HKD +71 (KD +14)"",""raw_source_token"":""Jamie_236236p_dl2""}",jamie_090_2_3_6_2_3_6_p,jamie,Getsuga Saiho (DL2),236236P,super_arts,106,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t107:Jamie_236236p(ca)_dl2,Jamie_236236p(ca)_dl2,supercombo_missing_official_safe_row,"{""binding_class"":""C"",""input"":""236236P"",""move_group"":""super_arts"",""move_name"":""Getsuga Saiho (CA) (DL2)"",""notes_sc"":""Damage DL0-DL4: 4050/4274/4500/4724/4950 (Non-Cinematic: 450/475/500/525/550) (Chip: 450,675/475,712/500,750/525,787/550,825); 1st hit goes into cinematic, 2nd non-cinematic hit does very low damage and no Hard Knockdown; higher damage than SA3 but no follow-up juggle; cannot hit cross-up; available at 25% HP or below; cinematic time regenerates ~2.2 Drive bars for Jamie; extremely powerful option directly after OD Tenshin since it is unaffected by damage scaling"",""punish_adv"":""HKD +18 (KD +14)"",""raw_source_token"":""Jamie_236236p(ca)_dl2""}",jamie_091_2_3_6_2_3_6_p,jamie,Getsuga Saiho (CA) (DL2),236236P,super_arts,107,C,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t048:Jamie_22p,Jamie_22p,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""22P"",""move_group"":""the_devil_inside"",""move_name"":""The Devil Inside"",""notes_sc"":""Increases Jamie's Drink Level by 1 (hold for more levels); builds 0.25 Drive bars per drink; if already at DL4, builds 0.5 Drive bars per drink; can hold the button to continue drinking indefinitely; entire animation is in a counter-hit state; Drink Level affects moveset and base damage scaling (90/95/100/105/110% for DL0-DL4 respectively)"",""punish_adv"":""-"",""raw_source_token"":""Jamie_22p""}",,jamie,The Devil Inside,22P,the_devil_inside,48,E,False,not_required,,jamie_2_p_followup,jamie_039_2_2_p
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t049:Jamie_22p_2,Jamie_22p_2,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""22P"",""move_group"":""the_devil_inside"",""move_name"":""(hold) The Devil Inside (2 drinks)"",""notes_sc"":""Increases Jamie's Drink Level by 2; build 0.5 Drive bars; if already at DL4, builds 1 Drive bar; 2f shorter duration if DL4 is activated; entire animation is in a counter-hit state; startup refers to the time it takes for +2 Drink Levels to actually increase"",""punish_adv"":""-"",""raw_source_token"":""Jamie_22p_2""}",,jamie,(hold) The Devil Inside (2 drinks),22P,the_devil_inside,49,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t050:Jamie_22p_3,Jamie_22p_3,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""22P"",""move_group"":""the_devil_inside"",""move_name"":""(hold) The Devil Inside (3 drinks)"",""notes_sc"":""Increases Jamie's Drink Level by 3; builds 0.75 Drive bars; if already at DL4, builds 1.5 Drive bars; 2f shorter duration if DL4 is activated; entire animation is in a counter-hit state; startup refers to the time it takes for +3 Drink Level to actually increase"",""punish_adv"":""-"",""raw_source_token"":""Jamie_22p_3""}",,jamie,(hold) The Devil Inside (3 drinks),22P,the_devil_inside,50,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t051:Jamie_22p_4,Jamie_22p_4,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""22P"",""move_group"":""the_devil_inside"",""move_name"":""(hold) The Devil Inside (4 drinks)"",""notes_sc"":""Increases Jamie's Drink Level by 4; builds 1 Drive bar; if already at DL4, builds 2 Drive bars; entire animation is in a counter-hit state; startup refers to the time it takes for +4 Drink Level to actually increase"",""punish_adv"":""-"",""raw_source_token"":""Jamie_22p_4""}",,jamie,(hold) The Devil Inside (4 drinks),22P,the_devil_inside,51,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t052:Jamie_22p_activation,Jamie_22p_activation,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""22P"",""move_group"":""the_devil_inside"",""move_name"":""(activation) The Devil Inside (DL4 activation)"",""notes_sc"":""Occurs automatically upon reaching Drink Level 4; causes drink animation to recover slightly faster, potentially giving better oki; screen freezes for 25f (invincible for 1f right as freeze occurs); 4f recovery is in a counter-hit state"",""punish_adv"":""-"",""raw_source_token"":""Jamie_22p_activation""}",,jamie,(activation) The Devil Inside (DL4 activation),22P,the_devil_inside,52,E,False,not_required,,jamie_2_p_followup,jamie_039_2_2_p
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t103:Jamie_236236k_dl2,Jamie_236236k_dl2,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""236236K"",""move_group"":""super_arts"",""move_name"":""Breakin'"",""notes_sc"":""Damage DL0-DL4: 1980/2084/2200/2304/2420 (Chip: 450/472/500/522/550); holding Down will result in a Drink ender; cannot hit cross-up; leaves 16f blockstring gap before 2nd set of kicks (12f in Burnout)"",""punish_adv"":""KD +12"",""raw_source_token"":""Jamie_236236k_dl2""}",,jamie,Breakin',236236K,super_arts,103,E,False,not_required,,jamie_3_6_2_3_6_k_followup,jamie_088_2_3_6_2_3_6_k
supercombo_enrichment,supercombo,20260412T205050Z-91a98446,20260412T205050Z-91a98446:t104:Jamie_236236k_drink_dl2,Jamie_236236k_drink_dl2,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""236236K~[2]"",""move_group"":""super_arts"",""move_name"":""Breakin' ~ Drink"",""notes_sc"":""Damage DL0-DL4: 1665/1753/1850/1938/2035 (Chip: 360/380/400/420/440); increases Drink Level by 1 at the cost of some damage and KD Advantage; DL3 version has 21f less recovery, granting better advantage upon DL4 activation; drink builds 0.5 Drive bars; at DL4, builds 1 Drive bar; cannot hit cross-up"",""punish_adv"":""KD +4 (DL3: KD +25)"",""raw_source_token"":""Jamie_236236k_drink_dl2""}",,jamie,Breakin' ~ Drink,236236K~[2],super_arts,104,E,False,not_required,,jamie_3_6_2_3_6_k_followup,jamie_088_2_3_6_2_3_6_k
