dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T211216Z-8241f7b0,20260412T211216Z-8241f7b0:t022:jp_6hk,jp_6hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""6HK"",""move_group"":""command_normals"",""move_name"":""Bylina"",""notes_sc"":""Solid anti-air (but a little slow and cannot hit cross-up); launches opponent into limited juggle state; 1st hit forces stand on hit; 2nd hit whiffs on crouching opponents for 3f worse advantage on crouch block; only 2nd hit is cancelable, so JP cannot make himself safe on a crouch blocking opponent (but if 6HK hits and the 2nd hit whiffs, the cancel can still come out); useful in many Drive Rush juggle routes; special/DR cancel is delayed until after 4th active frame (2nd active frame of 2nd hit)"",""punish_adv"":""KD +38"",""raw_source_token"":""jp_6hk""}",jp_021_6hk,jp,Bylina,6HK,command_normals,22,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T211216Z-8241f7b0,20260412T211216Z-8241f7b0:t039:jp_236mp,jp_236mp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236MP"",""move_group"":""specials"",""move_name"":""Stribog"",""notes_sc"":""1st hit is a strike hitbox that clashes with non-OD projectiles; 2nd hit is a 1-hit non-OD projectile (but can be Perfect Parried like a strike; together, both hits can nullify a 2-hit non-OD projectile; 2nd hit has more range than the 1st hit; puts opponents into limited juggle state on hit; in the corner, launched high enough to juggle into the first hit of SA1; cannot hit cross-up (behind JP); 8f hitstop when clashing with opponent's projectile; 2nd hit expands if the 1st hit connects (for combo consistency)"",""punish_adv"":""KD +42"",""raw_source_token"":""jp_236mp""}",jp_034_236mp_stribog,jp,Stribog,236MP,specials,39,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T211216Z-8241f7b0,20260412T211216Z-8241f7b0:t040:jp_236hp,jp_236hp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236HP"",""move_group"":""specials"",""move_name"":""Stribog"",""notes_sc"":""1st hit is a strike hitbox that clashes with non-OD projectiles; 2nd hit is a 1-hit non-OD projectile (but can be Perfect Parried like a strike); together, both hits can nullify a 2-hit non-OD projectile (though the large gap between hits makes this impractical); 2nd hit has more range than the 1st hit; causes a wall bounce on hit (limited juggle state); cannot hit cross-up (behind JP); direct SA3 cancel will not usually juggle; 8f hitstop when clashing with opponent's projectile; 1st hit has 3f extra recovery when Perfect Parried, allowing a Drive Impact punish (recovery is unchanged if the 2nd attack hits opponent); 2nd hit expands if the 1st hit connects (for combo consistency)"",""punish_adv"":""KD +67(+87)"",""raw_source_token"":""jp_236hp""}",jp_035_236hp_stribog,jp,Stribog,236HP,specials,40,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T211216Z-8241f7b0,20260412T211216Z-8241f7b0:t041:jp_236pp,jp_236pp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236PP"",""move_group"":""specials"",""move_name"":""Stribog"",""notes_sc"":""1st hit is a strike hitbox that clashes with OD projectiles; 2nd hit is a 1-hit OD projectile (but can be Perfect Parried like a strike); together, both hits can nullify a 2-hit OD projectile; 2nd hit has more range than the 1st hit; causes a wall bounce on hit (limited juggle state); cannot hit cross-up (behind JP); SA3 cancel will whiff at point blank (but works consistently after canceling normals into 236PP); 8f hitstop when clashing with opponent's projectile; 1st hit has 3f extra recovery when Perfect Parried, allowing a Drive Impact punish (recovery is unchanged if the 2nd attack hits opponent); 2nd hit expands if the 1st hit connects (for combo consistency); 2nd hit does double damage when the 1st hit whiffs"",""punish_adv"":""KD +56(+72)"",""raw_source_token"":""jp_236pp""}",jp_036_236pp_stribog_od,jp,Stribog,236PP,specials,41,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T211216Z-8241f7b0,20260412T211216Z-8241f7b0:t042:jp_214p,jp_214p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214P"",""move_group"":""departure"",""move_name"":""Departure"",""notes_sc"":""Spawns a portal in the air according to button strength (LP close, MP mid, HP far); while the portal is active, JP cannot use 214P command grab; portal disappears if JP is hit or thrown; can manually input 214LP/MP or 214HP follow-up while portal is active; if no follow-up is input, the portal automatically spawns a 1-hit spike projectile toward the opponent 100f after JP recovers (150f total startup); spike puts opponents into a free juggle state; the automatic spike activation allows for strong mixups, as JP is free to move while it occurs (unlike 214P~214HP version where he snaps his fingers); cannot spawn another portal until the first has disappeared; Juggle Increase value becomes 1 when connecting mid-combo against opponent in a Free Juggle state (ensures that opponent will have Juggle Count 1 after the spike connects)"",""punish_adv"":""KD ~"",""raw_source_token"":""jp_214p""}",,jp,Departure,214P,departure,42,D,False,not_required,jp_037_214lp_vihat | jp_038_214mp_vihat | jp_039_214hp_vihat,,
supercombo_enrichment,supercombo,20260412T211216Z-8241f7b0,20260412T211216Z-8241f7b0:t045:jp_214p_214hp,jp_214p_214hp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214P~214HP"",""move_group"":""departure_shadow"",""move_name"":""Departure: Shadow"",""notes_sc"":""Spawns a 1-hit projectile spike from the active portal; spike is angled downward toward the opponent; 1st active frame only hits airborne or tall standing characters; 2nd active frame reaches regular-size standing characters; 3rd active frame reaches all crouching characters; useful tool for zoning, juggles, chip damage, and oki; puts opponent into free juggle state on hit; opponent builds 50% extra Drive meter when parrying the spike; Juggle Increase value becomes 1 when connecting mid-combo against opponent in a Free Juggle state (ensures that opponent will have Juggle Count 1 after the spike connects); can be canceled into from 2LK / 5MP / 2MK / 5HK despite not usually being cancelable"",""punish_adv"":""KD +58(+60)"",""raw_source_token"":""jp_214p_214hp""}",,jp,Departure: Shadow,214P~214HP,departure_shadow,45,E,False,not_required,,jp_vihat_cheni_followup,jp_044_214hp_vihat_cheni
supercombo_enrichment,supercombo,20260412T211216Z-8241f7b0,20260412T211216Z-8241f7b0:t043:jp_214pp,jp_214pp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214PP"",""move_group"":""departure"",""move_name"":""Departure"",""notes_sc"":""Spawns 2 portals in the air according to button strengths used (LP close, MP mid, HP far); while the portals are active, JP cannot use 214P command grab; portals disappear if JP is hit or thrown; can manually input 214LP/MP or 214HP follow-up while portals are active; if no follow-up is input, each portal automatically spawns a 1-hit OD spike projectile (starting with the closest portal) angled toward the opponent 70f after JP recovers (110f total startup); spikes put opponents into a free juggle state; the automatic spike activation allows for strong mixups, as JP is free to move while it occurs (unlike 214PP~214HP version where he snaps his fingers); cannot spawn another portal until both have disappeared; Juggle Increase value becomes 1 when connecting mid-combo against opponent in a Free Juggle state (ensures that opponent will have Juggle Count 1 after the spikes connect)"",""punish_adv"":""KD ~"",""raw_source_token"":""jp_214pp""}",,jp,Departure,214PP,departure,43,D,False,not_required,jp_040_214pp_vihat_od_weak | jp_041_214pp_vihat_od_medium | jp_042_214pp_vihat_od_heavy,,
supercombo_enrichment,supercombo,20260412T211216Z-8241f7b0,20260412T211216Z-8241f7b0:t046:jp_214pp_214hp,jp_214pp_214hp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214PP~214HP"",""move_group"":""departure_shadow"",""move_name"":""OD Departure: Shadow"",""notes_sc"":""Spawns 2 separate OD projectile spikes beginning from the closest portal; spikes are angled downward toward the opponent; for each spike, 1st active frame only hits airborne or tall standing characters; 2nd active frame reaches regular-size standing characters; 3rd active frame reaches all crouching characters; useful tool for zoning, juggles, chip damage, and oki; puts opponent into free juggle state on hit; opponent builds 40% extra Drive meter when parrying the spikes; Juggle Increase value becomes 1 when connecting mid-combo against opponent in a Free Juggle state (ensures that opponent will have Juggle Count 1 after the spikes connect); can be canceled into from 2LK / 5MP / 2MK / 5HK despite not usually being cancelable"",""punish_adv"":""KD +92"",""raw_source_token"":""jp_214pp_214hp""}",,jp,OD Departure: Shadow,214PP~214HP,departure_shadow,46,E,False,not_required,,jp_vihat_cheni_followup,jp_044_214hp_vihat_cheni
supercombo_enrichment,supercombo,20260412T211216Z-8241f7b0,20260412T211216Z-8241f7b0:t055:jp_22k_bomb,jp_22k_bomb,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""22K"",""move_group"":""amnesia"",""move_name"":""(Bomb) Amnesia Bomb"",""notes_sc"":""Projectile hitbox; bomb tracks the opponent's location; before detonating, bomb destroys any non-Super projectile; bomb is destroyed if it interacts with Super projectile; bomb causes proximity guard, limiting the opponent's movement until it explodes; bomb detonates immediately if JP cancels a move into SA3 while active (preventing him from bypassing the damage scaling)"",""punish_adv"":""KD ~"",""raw_source_token"":""jp_22k_bomb""}",,jp,(Bomb) Amnesia Bomb,22K,amnesia,55,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211216Z-8241f7b0,20260412T211216Z-8241f7b0:t057:jp_22kk_bomb,jp_22kk_bomb,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""22KK"",""move_group"":""amnesia"",""move_name"":""(Bomb) Amnesia Bomb"",""notes_sc"":""Projectile hitbox; bombs track the opponent's location; before detonating, bombs destroy any non-Super projectile; bombs are destroyed if they interact with Super projectile; bombs cause proximity guard, limiting the opponent's movement until they explode; bombs detonate immediately if JP cancels a move into SA3 while active (preventing him from bypassing the damage scaling); opponent builds 50% extra Drive meter from parrying the bombs"",""punish_adv"":""KD ~"",""raw_source_token"":""jp_22kk_bomb""}",,jp,(Bomb) Amnesia Bomb,22KK,amnesia,57,G,False,not_required,,,
