character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
juri,juri_001_5_lp,立ち弱P（首甲殺）,5LP,normals,4,4-7,7,,5,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
juri,juri_002_5_lp,[チェーンコンボ]立ち弱P（首甲殺）,5LP,normals,4,4-7,7,,5,-2,C,100,始動補正20%,62,-125,-500,0,上,連打キャンセル対応 | 空中ヒット時吹き飛びダウン
juri,juri_003_5_lk,立ち弱K（微弄脚）,5LK,normals,5,5-7,9,,2,-3,C,300,始動補正20%,250,-500,-2000,300,上,
juri,juri_004_5_lk,[チェーンコンボ]立ち弱K（微弄脚）,5LK,normals,5,5-7,9,,2,-3,C,100,始動補正20%,62,-125,-500,0,上,空中ヒット時吹き飛びダウン
juri,juri_005_5_mp,立ち中P（胸破殺）,5MP,normals,6,6-9,12,,7,2,C,600,,1500,-3000,-4000,500,上,
juri,juri_006_5_mp,[チェーンコンボ]立ち中P（胸破殺）,5MP,normals,6,6-9,12,,7,2,C,400,,375,-750,-1000,0,上,空中ヒット時吹き飛びダウン
juri,juri_009_5_hp,立ち強P（蜘殺）,5HP,normals,10,10-12,24,,-1,-5,C,800,,2000,-5000,-8000,1000,上,強制立ち効果
juri,juri_010_5_hp,[チェーンコンボ]立ち強P（蜘殺）,5HP,normals,10,10-12,24,,D,-5,C,600,,500,-1250,-2000,0,上,
juri,juri_011_5_hk,立ち強K（空耀脚）,5HK,normals,17,17-20,19,,2,-3,,900,始動補正20%,4000,-6000,-10000,1000,上,パニッシュカウンター、空中カウンター/パニッシュカウンター時吹き飛びダウン | 空中パニッシュカウンター時吹き飛び時間延長
juri,juri_012_5_hk,[チェーンコンボ]立ち強K（空耀脚）,5HK,normals,17,17-20,19,,D,-3,C,700,始動補正20%,1000,-1500,-2500,0,上,
juri,juri_013_2_lp,しゃがみ弱P（狙腓打）,2LP,normals,4,4-6,8,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
juri,juri_014_2_lp,[チェーンコンボ]しゃがみ弱P（狙腓打）,2LP,normals,4,4-6,8,,4,-1,C,100,始動補正20%,62,-125,-500,0,上,連打キャンセル対応 | 空中ヒット時吹き飛びダウン
