dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161513Z-f21ab57c,20260412T161513Z-f21ab57c:通常技:008:立ち中k_伸腿蹴,,official_active_ambiguous,"{""active"":""5-10 5-6, 8-10"",""block_adv"":""-4"",""input"":""5MK"",""move_group"":""normals"",""move_name"":""立ち中K（伸腿蹴）"",""recovery"":""17"",""startup"":""5""}",juri_007_5_mk,juri,立ち中K（伸腿蹴）,5MK,normals,,,,,,,
official_raw,official,20260412T161513Z-f21ab57c,20260412T161513Z-f21ab57c:通常技:009:チェーンコンボ_立ち中k_伸腿蹴,,official_active_ambiguous,"{""active"":""5-10 5-6, 8-10"",""block_adv"":""-4"",""input"":""5MK"",""move_group"":""normals"",""move_name"":""[チェーンコンボ]立ち中K（伸腿蹴）"",""recovery"":""17"",""startup"":""5""}",juri_008_5_mk,juri,[チェーンコンボ]立ち中K（伸腿蹴）,5MK,normals,,,,,,,
official_raw,official,20260412T161513Z-f21ab57c,20260412T161513Z-f21ab57c:特殊技:045:連剋脚,,official_active_ambiguous,"{""active"":""15-25 15-17, 23-25"",""block_adv"":""-4"",""input"":""6HP"",""move_group"":""command_normals"",""move_name"":""連剋脚"",""recovery"":""※20"",""startup"":""15""}",juri_043_6_hp,juri,連剋脚,6HP,command_normals,,,,,,,
official_raw,official,20260412T161513Z-f21ab57c,20260412T161513Z-f21ab57c:特殊技:046:チェーンコンボ_連剋脚,,official_active_ambiguous,"{""active"":""15-25 15-17, 23-25"",""block_adv"":""-4"",""input"":""6HP"",""move_group"":""command_normals"",""move_name"":""[チェーンコンボ]連剋脚"",""recovery"":""※20"",""startup"":""15""}",juri_044_6_hp,juri,[チェーンコンボ]連剋脚,6HP,command_normals,,,,,,,
official_raw,official,20260412T161513Z-f21ab57c,20260412T161513Z-f21ab57c:特殊技:047:鉤鎌斬,,official_active_ambiguous,"{""active"":""10-21 10-12, 19-21"",""block_adv"":""-6"",""input"":""4HK"",""move_group"":""command_normals"",""move_name"":""鉤鎌斬"",""recovery"":""19"",""startup"":""10""}",juri_045_4_hk,juri,鉤鎌斬,4HK,command_normals,,,,,,,
official_raw,official,20260412T161513Z-f21ab57c,20260412T161513Z-f21ab57c:特殊技:048:チェーンコンボ_鉤鎌斬,,official_active_ambiguous,"{""active"":""10-21 10-12, 19-21"",""block_adv"":""-6"",""input"":""4HK"",""move_group"":""command_normals"",""move_name"":""[チェーンコンボ]鉤鎌斬"",""recovery"":""19"",""startup"":""10""}",juri_046_4_hk,juri,[チェーンコンボ]鉤鎌斬,4HK,command_normals,,,,,,,
official_raw,official,20260412T161513Z-f21ab57c,20260412T161513Z-f21ab57c:必殺技:063:強化版_五黄殺,,official_active_ambiguous,"{""active"":""18-36 18-21, 34-36"",""block_adv"":""-10"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""[強化版]五黄殺"",""recovery"":""27"",""startup"":""18""}",juri_060_2_3_6_hk,juri,[強化版]五黄殺,236HK,specials,,,,,,,
official_raw,official,20260412T161513Z-f21ab57c,20260412T161513Z-f21ab57c:必殺技:064:od_五黄殺,,official_active_ambiguous,"{""active"":""18-69 18-21, 34-36, 65-69"",""block_adv"":""-16"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""OD 五黄殺"",""recovery"":""28"",""startup"":""18""}",juri_061_2_3_6_k_k,juri,OD 五黄殺,236KK,specials,,,,,,,
official_raw,official,20260412T161513Z-f21ab57c,20260412T161513Z-f21ab57c:必殺技:065:弱_天穿輪,,official_active_ambiguous,"{""active"":""11-17 11-13, 16-17"",""block_adv"":""-8"",""input"":""623LP"",""move_group"":""specials"",""move_name"":""弱 天穿輪"",""recovery"":""22"",""startup"":""11""}",juri_062_6_2_3_lp,juri,弱 天穿輪,623LP,specials,,,,,,,
official_raw,official,20260412T161513Z-f21ab57c,20260412T161513Z-f21ab57c:必殺技:066:中_天穿輪,,official_active_ambiguous,"{""active"":""5-24 5-12, 18-19, 23-24"",""block_adv"":""-37"",""input"":""623MP"",""move_group"":""specials"",""move_name"":""中 天穿輪"",""recovery"":""着地後14"",""startup"":""5""}",juri_063_6_2_3_mp,juri,中 天穿輪,623MP,specials,,,,,,,
