character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
juri,juri_001_5_lp,Standing Light Punch,5LP,normals,14,16,9,9,+9,-9,+4,-3,+9,+2,-,-,-,1,1,0,-,0.85,150 (75),Chains into 5LP/2LP/2LK; high active frame count makes it a useful meaty (up to +8/+1); SA2 cancel: +8/+1; DR cancel is delayed until after 3rd active frame
juri,juri_002_5_lp,(FSE Chain) Standing Light Punch,5LP,normals,14 Sp / 16 Chn,16,9,9,+9,-9,+4,-3,-,-,-,-,-,1,1,10,-,0.85,-,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents; DR cancel is delayed until after 3rd active frame
juri,juri_003_5_lk,Standing Light Kick,5LK,normals,13,13,7,9,+6,-10,+4,-1,+6,+1,-,-,-,1,1,0,-,1.16,150 (75),"Good range for a light normal, but can't combo into 214MK; SA2 cancel: +5/0; special cancel is delayed until after 2nd active frame"
juri,juri_004_5_lk,(FSE Chain) Standing Light Kick,5LK,normals,13 Sp / 15 Chn,13,7,9,+6,-10,+4,-1,-,-,-,-,-,1,1,10,-,1.16,-,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents; special cancel is delayed until after 2nd active frame
juri,juri_005_5_mp,Standing Medium Punch,5MP,normals,16,23,18,11,+11,-14,+12,+7,+11,+6,-,-,-,1,1,0,-,0.93,250 (125),"Strong combo/pressure starter and meaty tool, especially out of Drive Rush to minimize pushback; meaty timing can be up to +10/+5; SA2 cancel: +14/+9; special/DR cancel is delayed until after 2nd active frame"
juri,juri_006_5_mp,(FSE Chain) Standing Medium Punch,5MP,normals,16 Sp / 18 Chn,23,18,9,+11,-14,+12,+7,-,-,-,-,-,1,1,10,-,0.93,-,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents; 2f shorter hitconfirm window when chained into; special/DR cancel is delayed until after 2nd active frame
juri,juri_009_5_hp,Standing Heavy Punch,5HP,normals,17,26,22,13,+3,-25,+16,+12,+3,-1,-,-,-,1,1,0,-,1.588 (1.49),500 (250),Forces stand on hit; good whiff punish tool with long range; large hurtbox makes it weak as an anti-air; SA2 cancel: +18/+14
juri,juri_010_5_hp,(FSE Chain) Standing Heavy Punch,5HP,normals,17 Sp / 19 Chn,-,22,12,KD +29,-25,KD +46,+12,-,-,-,-,-,1,1,10,-,1.588 (1.49),-,Chained version during SA2 (FSE); forces stand on hit; maintains juggle state vs. airborne opponents; 1f shorter hitconfirm window when chained into
juri,juri_011_5_hk,Standing Heavy Kick,5HK,normals,-,25,20,13,KD +42(+45) Launch,-21(-18),-,-,+6(+9),+1 (+4),-,-,-,1 PC Ground [1 CH/PC Air],1,0,-,2.264 (2.19),500 (250),Not airborne despite the animation; Counter-Hit/Punish Counter puts airborne opponents into limited juggle state; Punish Counter also puts grounded opponents into limited juggle state with a follow-up juggle; long range and safe on block makes it great in neutral; better frame advantage when well spaced (very difficult to connect with the final active frame); extends a hurtbox 1f before active that is vulnerable to projectiles
juri,juri_012_5_hk,(FSE Chain) Standing Heavy Kick,5HK,normals,26 Sp/Chn (PC: 38),-,20,11,KD +34,-21,+7 (KD +39),+2,-,-,-,-,-,1,1,10,-,2.264 (2.19),-,"Becomes fully cancelable during FSE, even when not chained into; not airborne despite the animation; maintains juggle state vs. airborne opponents; 2f shorter hitconfirm window when chained into; special/DR cancel is delayed until after 5th recovery frame; extends a hurtbox 1f before active that is vulnerable to projectiles"
