dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T205838Z-3fba7e0e,20260412T205838Z-3fba7e0e:t071:Juri_623LP,Juri_623LP,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623LP"",""move_group"":""specials"",""move_name"":""Tensenrin"",""notes_sc"":""Both hits are SA3 cancelable; not airborne; fairly consistent combo ender; 2nd hit has a combo-only hitbox for juggle consistency"",""punish_adv"":""KD +37"",""raw_source_token"":""Juri_623LP""}",juri_062_6_2_3_lp,juri,Tensenrin,623LP,specials,71,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205838Z-3fba7e0e,20260412T205838Z-3fba7e0e:t072:Juri_623MP,Juri_623MP,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623MP"",""move_group"":""specials"",""move_name"":""Tensenrin"",""notes_sc"":""Strong anti-air but cannot hit cross-up; slightly less horizontal range than 623HP"",""punish_adv"":""KD +31"",""raw_source_token"":""Juri_623MP""}",juri_063_6_2_3_mp,juri,Tensenrin,623MP,specials,72,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205838Z-3fba7e0e,20260412T205838Z-3fba7e0e:t073:Juri_623HP,Juri_623HP,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623HP"",""move_group"":""specials"",""move_name"":""Tensenrin"",""notes_sc"":""Only 1 hit connects vs. crouch block (4f worse oB, less chip damage); strong combo ender and anti-air but cannot hit cross-up; slightly more horizontal range than 623MP"",""punish_adv"":""KD +28"",""raw_source_token"":""Juri_623HP""}",juri_064_6_2_3_hp,juri,Tensenrin,623HP,specials,73,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205838Z-3fba7e0e,20260412T205838Z-3fba7e0e:t074:Juri_623PP,Juri_623PP,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623PP"",""move_group"":""specials"",""move_name"":""Tensenrin"",""notes_sc"":""Juri's primary reversal option; final attack comes out on hit only; cannot hit cross-up"",""punish_adv"":""KD +5"",""raw_source_token"":""Juri_623PP""}",juri_065_6_2_3_p_p,juri,Tensenrin,623PP,specials,74,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205838Z-3fba7e0e,20260412T205838Z-3fba7e0e:t082:Juri_214214p_hold,Juri_214214p_hold,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""214214[P]"",""move_group"":""super_arts"",""move_name"":""Feng Shui Engine (hold)"",""notes_sc"":""Holding the button performs a dash attack; puts airborne opponents into free juggle state or maintains existing juggle state; can cancel on hit/block into any normal; afterwards, has same properties as regular Feng Shui Engine activation; dash attack cannot hit cross-up"",""punish_adv"":""0 (+10)"",""raw_source_token"":""Juri_214214p_hold""}",,juri,Feng Shui Engine (hold),214214[P],super_arts,82,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205838Z-3fba7e0e,20260412T205838Z-3fba7e0e:t080:Juri_236236k_hold,Juri_236236k_hold,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""236236[K]"",""move_group"":""super_arts"",""move_name"":""Sakkai Fuhazan (hold)"",""notes_sc"":""Projectile hitbox; requires one Fuha stock to use (consumes this stock); active frames and KD Adv. are highly variable based on screen position; Full Dmg distribution: 200x4,300,1000"",""punish_adv"":""KD +26(+49)"",""raw_source_token"":""Juri_236236k_hold""}",,juri,Sakkai Fuhazan (hold),236236[K],super_arts,80,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205838Z-3fba7e0e,20260412T205838Z-3fba7e0e:t068:Juri_236hk,Juri_236hk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""236HK"",""move_group"":""go_ohsatsu"",""move_name"":""Go Ohsatsu"",""notes_sc"":""Puts airborne opponents into limited juggle state (only high airborne connect launches high enough for follow-up juggle besides SA3 cancel); good juggle ender for damage when canceling to SA3"",""punish_adv"":""KD +27"",""raw_source_token"":""Juri_236hk""}",,juri,Go Ohsatsu,236HK,go_ohsatsu,68,E,False,not_required,,juri_3_6_hk_followup,juri_059_2_3_6_hk
supercombo_enrichment,supercombo,20260412T205838Z-3fba7e0e,20260412T205838Z-3fba7e0e:t069:Juri_236hk_stock,Juri_236hk_stock,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""236HK"",""move_group"":""go_ohsatsu"",""move_name"":""Go Ohsatsu (1 Stock)"",""notes_sc"":""Costs 1 Fuha stock; both hits are Super cancelable; can press LK or MK to cancel into other 236K specials for 1 Fuha stock; puts opponent into limited juggle state (only airborne hit launches high enough for follow-up juggle besides SA3 cancel); good for damage when comboing into SA3"",""punish_adv"":""KD +37"",""raw_source_token"":""Juri_236hk_stock""}",,juri,Go Ohsatsu (1 Stock),236HK,go_ohsatsu,69,E,False,not_required,,juri_3_6_hk_followup,juri_059_2_3_6_hk
supercombo_enrichment,supercombo,20260412T205838Z-3fba7e0e,20260412T205838Z-3fba7e0e:t070:Juri_236mkhk,Juri_236mkhk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236MKHK"",""move_group"":""go_ohsatsu"",""move_name"":""Go Ohsatsu"",""notes_sc"":""All 3 hits are Super cancelable; first hit keeps opponent grounded, 2nd and 3rd hits put opponent into limited juggle state; can press LK or MK to cancel any hit into other OD 236K specials for 1 Fuha stock and 1 Drive bar; SA2 cancel: +17/+17 (1st hit), KD+54/+15 (2nd hit), KD+52/+4 (3rd hit); 3rd hit cannot juggle into held SA2 dash attack"",""punish_adv"":""KD +32"",""raw_source_token"":""Juri_236mkhk""}",,juri,Go Ohsatsu,236MKHK,go_ohsatsu,70,D,False,not_required,juri_055_2_3_6_k_k | juri_058_2_3_6_k_k | juri_061_2_3_6_k_k,,
supercombo_enrichment,supercombo,20260412T205838Z-3fba7e0e,20260412T205838Z-3fba7e0e:t045:Juri_4hk,Juri_4hk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""4HK"",""move_group"":""normals"",""move_name"":""Korenzan"",""notes_sc"":""Both hits are cancelable; 1st hit forces stand and puts airborne opponents into limited juggle state; 2nd hit causes OTG bounce vs. airborne opponents; 19f startup for 2nd hit only; carries counter-hit/Punish Counter advantage through both hits; SA2 cancel: +12/+6 (1st hit), +16/+8 (2nd hit)"",""punish_adv"":""+6"",""raw_source_token"":""Juri_4hk""}",,juri,Korenzan,4HK,normals,45,D,False,not_required,juri_045_4_hk | juri_046_4_hk,,
