character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
ken,ken_001_5_lp,立ち弱P （ジャブ）,5LP,normals,4,4-6,7,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
ken,ken_002_5_lk,立ち弱K （ローキック）,5LK,normals,5,5-6,12,,0,-2,C,300,始動補正20%,250,-500,-2000,300,上,
ken,ken_003_5_mp,立ち中P （顎撥）,5MP,normals,5,5-8,14,,4,-2,C,600,,1500,-3000,-4000,500,上,
ken,ken_004_5_mk,立ち中K （上段横蹴り）,5MK,normals,8,8-10,20,,3,-5,SA,600,,2000,-4000,-6000,700,上,
ken,ken_005_5_hp,立ち強P （正拳突き）,5HP,normals,10,10-14,17,,3,-2,C,800,,2000,-5000,-8000,1000,上,
ken,ken_006_5_hk,立ち強K （一文字蹴り）,5HK,normals,12,12-13,※23,,1,-5,,800,始動補正30%,3000,-6000,-8000,1000,上,※空振り/アーマーヒット時硬直2F増加 | パニッシュカウンター時きりもみダウン
ken,ken_007_2_lp,しゃがみ弱P （ジャブ）,2LP,normals,4,4-5,9,,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
ken,ken_008_2_lk,しゃがみ弱K（キック）,2LK,normals,5,5-7,10,,1,-3,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
ken,ken_009_2_mp,しゃがみ中P （ストレート）,2MP,normals,6,6-8,14,,3,0,C,700,,1500,-3000,-4000,600,上,空振り時硬直2F増加
ken,ken_010_2_mk,しゃがみ中K （くるぶしキック）,2MK,normals,7,7-9,19,,-2,-6,C,500,始動補正20%,1000,-2000,-4000,600,下,
ken,ken_011_2_hp,しゃがみ強P（突き上げアッパー）,2HP,normals,8,8-11,24,,3,-7,C,800,,2000,-6000,-8000,1000,上,強制立ち効果 | キャンセルは持続の2F目まで
ken,ken_012_2_hk,しゃがみ強K （回転足払い）,2HK,normals,8,8-10,※24,,D,-10,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン | ※ガード時硬直1F増加
ken,ken_013_j_lp,ジャンプ弱P （肘打ち）,j.LP,normals,5,5-11,着地後3,,,,,300,,500,-1500,-2000,300,中,
ken,ken_014_j_lk,ジャンプ弱K （ひざ蹴り）,j.LK,normals,6,6-11,着地後3,,,,,300,,500,-1500,-2000,300,中,めくり性能
ken,ken_015_j_mp,ジャンプ中P （ストレート）,j.MP,normals,6,6-9,着地後3,,,,C,700,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン
ken,ken_016_j_mk,ジャンプ中K （ひざ落とし）,j.MK,normals,7,7-12,着地後3,,,,,500,,1000,-2500,-4000,500,中,めくり性能
ken,ken_017_j_hp,ジャンプ強P （打ち下ろしストレート）,j.HP,normals,9,9-14,着地後3,,,,,800,,2000,-4000,-5000,1000,中,カウンター/パニッシュカウンター時叩きつけダウン
ken,ken_018_j_hk,ジャンプ強K （飛び蹴り）,j.HK,normals,10,10-16,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
ken,ken_019_j_hk,垂直ジャンプ強K （飛び旋風脚）,j.HK,normals,6,6-11,着地後3,,,,,900,,2000,-4000,-5000,1000,中,
ken,ken_020_k_k,奮迅脚,KK,command_normals,,,全体 45,45,,,,0,,0,0,0,0,,12Fから各派生技に移行可
ken,ken_021_lk,急停止,LK,command_normals,,,全体 16,16,,,,0,,0,0,0,0,,
ken,ken_022_mk,紫電カカト落とし,MK,command_normals,18,18-20,20,,3,-3,SA3,1000,,1000,-2500,-4000,500,中,SA3キャンセル対応
ken,ken_023_hk,踏み込み前蹴り,HK,command_normals,10,10-13,20,,3,-4,SA,800,始動補正20%,3000,-5000,-7000,1000,上,SAキャンセル対応
ken,ken_024_mp_hp,顎撥二連,MP>HP,command_normals,11,11-13,27,,D,-14,C,400,コンボ補正20%,400,-1000,-4000,300,上,
ken,ken_025_mk_mk,閃光連脚 （2段目）,MK>MK,command_normals,11,11-12,27,,D,-12,,400,,1000,-2500,-4000,400,上,
ken,ken_026_mk_mk_hk,閃光連脚 （3段目）,MK>MK>HK,command_normals,13,13-15,28,,D,-11,,700,,1500,-3000,-4000,500,上,動作中常に被パニッシュカウンター判定
ken,ken_027_2_3_6_lp,弱 波動拳,236LP,specials,16,,全体 49,49,-1,-7,SA3,600,,1000,-2500,-2000,600,上 ・ 弾,
ken,ken_028_2_3_6_mp,中 波動拳,236MP,specials,14,,全体 49,49,-3,-9,SA3,600,,1000,-2500,-2000,600,上 ・ 弾,
ken,ken_029_2_3_6_hp,強 波動拳,236HP,specials,12,,全体 49,49,-5,-11,SA3,600,,1000,-2500,-2000,600,上 ・ 弾,
ken,ken_030_2_3_6_p_p,OD 波動拳,236PP,specials,12,,全体 40,40,2,-2,SA2,800,始動補正20%,0,-2500,-5000,600,上 ・ 弾,
ken,ken_031_6_2_3_lp,弱 昇龍拳,623LP,specials,5,5-14,21+着地後12,,D,-23,SA3,※1100,始動補正20%,2000,-4000,-5000,800,上,1-14F 空中判定の打撃・空弾属性に対して無敵 | 7-35F 空中判定 | ※持続の3F目以降は個別ダメージ（800）
ken,ken_043_6_2_3_lk,弱 龍尾脚,623LK,specials,18,18-23,21,,2,-4,,1000,始動補正30% | コンボ補正30%,3000,-3000,-5000,1200,上,18-20F 地上の相手に当たらない | 21-23F ダメージ950 | 9-28F 空中判定
ken,ken_044_6_2_3_mk,中 龍尾脚,623MK,specials,23,23-27,25,,3,-8,,1100,始動補正30% | コンボ補正30%,3000,-3000,-5000,1200,上,23-24F 地上の相手に当たらない | 14-32F 空中判定
ken,ken_045_6_2_3_hk,強 龍尾脚,623HK,specials,28,28-32,21,,3,1,,1200,始動補正30% | コンボ補正30%,2000,-3000,-5000,800,上,28-29F 地上の相手に当たらない | 19-37F 空中判定
ken,ken_048_2_3_6_lk,弱 迅雷脚,236LK,specials,12,12-14,28,,1,-11,SA3,500,,2000,-2000,-5000,550,上,32-35F 風鎌蹴り、轟雷落としに派生可 | 30-35F 閃火脚に派生可
ken,ken_049_2_3_6_mk,中 迅雷脚,236MK,specials,16,16-18,24,,2,-7,SA3,600,,2000,-2000,-5000,550,上,32-35F 風鎌蹴り、轟雷落としに派生可 | 30-35F 閃火脚に派生可
ken,ken_050_2_3_6_hk,強 迅雷脚,236HK,specials,25,25-27,19,,D,-2,SA3,700,,3000,-4000,-5000,550,上,36-41F 風鎌蹴り、轟雷落としに派生可 | 34-41F 閃火脚に派生可
ken,ken_051_2_3_6_k_k,OD 迅雷脚,236KK,specials,13,13-15,25,,-4,-7,SA2,600,,0,-3000,-5000,400,上,21-27F OD風鎌蹴り、OD轟雷落としに派生可 | 19-27F OD閃火脚に派生可
ken,ken_052_6_lk,風鎌蹴り,6LK,specials,6,6-9,19,,3,-5,SA3,600,始動補正20% | コンボ補正15%,2000,-2000,-5000,400,下,カウンター/パニッシュカウンター時ダウン | 動作中常に被パニッシュカウンター判定
ken,ken_053_6_lk,OD 風鎌蹴り,6LK,specials,6,6-8,20,,3,-5,SA2,500,,0,-3000,-5000,400,下,11F 火砕蹴に派生可 | 動作中常に被パニッシュカウンター判定
ken,ken_054_6_k,火砕蹴,6K,specials,15,15-17,29,,D,-12,SA2,500,始動補正40% | コンボ補正20%,0,-5000,-5000,600,上,動作中常に被パニッシュカウンター判定
ken,ken_055_6_mk,轟雷落とし,6MK,specials,18,18-20,20,,3,-3,SA3,1000,,1000,-2500,-4000,500,中,動作中常に被パニッシュカウンター判定 | 空中ヒット時床バウンド
ken,ken_056_6_mk,OD 轟雷落とし,6MK,specials,17,17-19,24,,-3,-7,SA2,1000,始動補正20%,0,-2500,-4000,500,中,24F 火砕蹴に派生可 | 動作中常に被パニッシュカウンター判定
ken,ken_057_6_k,火砕蹴,6K,specials,11,11-13,29,,D,-12,SA2,500,始動補正40% | コンボ補正20%,0,-5000,-5000,600,上,動作中常に被パニッシュカウンター判定
ken,ken_058_6_hk,閃火脚,6HK,specials,10,10-12,25,,D,-3,SA3,800,,2000,-7000,-7000,600,上,動作中常に被パニッシュカウンター判定 | しゃがみ状態の相手に当たらない
ken,ken_059_6_hk,OD 閃火脚,6HK,specials,10,10-15,18,,D,-4,SA2,800,,0,-7000,-7000,600,上,22F 火砕蹴に派生可 | 動作中常に被パニッシュカウンター判定
ken,ken_060_6_k,火砕蹴,6K,specials,15,15-17,37,,D,-20,SA2,500,始動補正40%,0,-5000,-5000,600,上,動作中常に被パニッシュカウンター判定
ken,ken_061_2_1_4_2_1_4_k,SA1 龍尾烈脚,214214K,super_arts,7,7-9,41,,D,-24,,2000,,0,-2500,-5000,0,上,1-9F 打撃・投げに対して無敵 | 最低保障ダメージ30％ | カウンター/パニッシュカウンターで数値が変動しない
ken,ken_065_5_6_lplk,掴み膝蹴り,5|6LPLK,throws,5,5-7,23,,D,,,1200,即時補正20%,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 | ・ダメージ2040 | ・SAゲージ4000増加 | ・ハードノックダウン
ken,ken_066_4_lplk,地獄車,4LPLK,throws,5,5-7,23,,D,,,1200,即時補正20%,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 | ・ダメージ2040 | ・SAゲージ4000増加 | ・ハードノックダウン
ken,ken_067_6_6,前方ステップ,66,system,,,全体 19,19,,,,0,,0,0,0,0,,
ken,ken_068_4_4,後方ステップ,44,system,,,全体 23,23,,,,0,,0,0,0,0,,1-15F 投げ無敵
ken,ken_069_hphk,ドライブインパクト （焔撃ち）,HPHK,system,26,26-27,35,,D,-3,,800,始動補正20%,0,-5000,-15000,0,上,1-27F アーマー判定（2回） | パニッシュカウンター、もしくはアーマー成立後にヒットで以下の性能変化 | ・地上ヒット膝崩れ | ・空中ヒットきりもみダウン | ・SAゲージ3000増加
ken,ken_070_6_hphk,[ガード時]ドライブリバーサル （雷突蹴）,6HPHK,system,20,20-22,26,,D,-6,,500,,0,0,0,0,上,リカバリアブルダメージ | 1-22F 完全無敵 | ヒット時硬直5F増加
ken,ken_071_6_hphk,[起き上がり時]ドライブリバーサル （雷突蹴）,6HPHK,system,18,18-20,26,,D,-6,,500,,0,0,0,0,上,リカバリアブルダメージ | 1-20F 完全無敵 | ヒット時硬直5F増加
ken,ken_073_mpmk,ジャストパリィ（打撃）,MPMK,system,1,,1,,,,,0,始動補正50％,,,,,,相手の攻撃に対応した方向入力を行った状態でパリィを入力し、 | 入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する | （上段/中段攻撃に対して←方向、下段攻撃に対しては↙方向) | 方向が正しくなかった場合は通常のドライブパリィとなり、追加でDゲージが3000増加する | 硬直終了から5Fの間完全無敵 （パリィを継続した場合は無敵にならない） | ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター
ken,ken_074_mpmk,ジャストパリィ（飛び道具）,MPMK,system,1,,10,,,,,0,始動補正50％,,,,,,パリィを入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する | 暗転演出が入らない | ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター
