dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:035:中_昇龍拳,,official_active_ambiguous,"{""active"":""6-15 6-8,9-15"",""block_adv"":""-28"",""input"":""623MP"",""move_group"":""specials"",""move_name"":""中 昇龍拳"",""recovery"":""28+着地後12"",""startup"":""6""}",ken_032_6_2_3_mp,ken,中 昇龍拳,623MP,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:036:強_昇龍拳,,official_active_ambiguous,"{""active"":""7-16 7-8,9-10,11-16"",""block_adv"":""-36"",""input"":""623HP"",""move_group"":""specials"",""move_name"":""強 昇龍拳"",""recovery"":""35+着地後15"",""startup"":""7""}",ken_033_6_2_3_hp,ken,強 昇龍拳,623HP,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:037:od_昇龍拳,,official_active_ambiguous,"{""active"":""6-39 6-7, 8-15, 30-31, 32, 33-34, 35-39"",""block_adv"":""-40"",""input"":""623PP"",""move_group"":""specials"",""move_name"":""OD 昇龍拳"",""recovery"":""35+着地後15"",""startup"":""6""}",ken_034_6_2_3_p_p,ken,OD 昇龍拳,623PP,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:038:奮迅脚_昇龍拳,,official_active_ambiguous,"{""active"":""8-17 8, 9, 10, 11, 12-17"",""block_adv"":""-35"",""input"":""623P"",""move_group"":""specials"",""move_name"":""【奮迅脚】 昇龍拳"",""recovery"":""33+着地後15"",""startup"":""8""}",ken_035_6_2_3_p,ken,【奮迅脚】 昇龍拳,623P,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:039:弱_竜巻旋風脚,,official_active_ambiguous,"{""active"":""4-14 4-5, 12-14"",""block_adv"":""-14"",""input"":""214LK"",""move_group"":""specials"",""move_name"":""弱 竜巻旋風脚"",""recovery"":""32"",""startup"":""4""}",ken_036_2_1_4_lk,ken,弱 竜巻旋風脚,214LK,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:040:中_竜巻旋風脚,,official_active_ambiguous,"{""active"":""14-30 14-15, 29-30"",""block_adv"":""-12"",""input"":""214MK"",""move_group"":""specials"",""move_name"":""中 竜巻旋風脚"",""recovery"":""31"",""startup"":""14""}",ken_037_2_1_4_mk,ken,中 竜巻旋風脚,214MK,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:041:強_竜巻旋風脚,,official_active_ambiguous,"{""active"":""16-47 16-17, 31-32, 46-47"",""block_adv"":""-12"",""input"":""214HK"",""move_group"":""specials"",""move_name"":""強 竜巻旋風脚"",""recovery"":""31"",""startup"":""16""}",ken_038_2_1_4_hk,ken,強 竜巻旋風脚,214HK,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:042:od_竜巻旋風脚,,official_active_ambiguous,"{""active"":""9-56 9-12, 18-20, 27-29, 36-38,54-56"",""block_adv"":""-61"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""OD 竜巻旋風脚"",""recovery"":""22+着地後12"",""startup"":""9""}",ken_039_2_1_4_k_k,ken,OD 竜巻旋風脚,214KK,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:043:奮迅脚_竜巻旋風脚,,official_active_ambiguous,"{""active"":""13-58 13-14,17-19,22-23,26-28,31-32,35-37, 40-41,44-46,49-50,56-58"",""block_adv"":""-9"",""input"":""214K"",""move_group"":""specials"",""move_name"":""【奮迅脚】 竜巻旋風脚"",""recovery"":""20"",""startup"":""13""}",ken_040_2_1_4_k,ken,【奮迅脚】 竜巻旋風脚,214K,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:044:空中竜巻旋風脚,,official_active_ambiguous,"{""active"":""11-27 11-12,18-19,26-27"",""input"":""214K"",""move_group"":""specials"",""move_name"":""空中竜巻旋風脚"",""recovery"":""着地後14"",""startup"":""11""}",ken_041_2_1_4_k,ken,空中竜巻旋風脚,214K,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:045:od_空中竜巻旋風脚,,official_active_ambiguous,"{""active"":""11-28 11-12, 14-15, 18-19, 22-23, 27-28"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""OD 空中竜巻旋風脚"",""recovery"":""着地後14"",""startup"":""11""}",ken_042_2_1_4_k_k,ken,OD 空中竜巻旋風脚,214KK,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:049:od_龍尾脚,,official_active_ambiguous,"{""active"":""9-24 9-10, 18-24"",""block_adv"":""-9"",""input"":""623KK"",""move_group"":""specials"",""move_name"":""OD 龍尾脚"",""recovery"":""24"",""startup"":""9""}",ken_046_6_2_3_k_k,ken,OD 龍尾脚,623KK,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:必殺技:050:奮迅脚_龍尾脚,,official_active_ambiguous,"{""active"":""9-23 9-12, 18-23"",""block_adv"":""-8"",""input"":""623K"",""move_group"":""specials"",""move_name"":""【奮迅脚】 龍尾脚"",""recovery"":""24"",""startup"":""9""}",ken_047_6_2_3_k,ken,【奮迅脚】 龍尾脚,623K,specials,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:スーパーアーツ:066:sa2_疾風迅雷脚,,official_active_ambiguous,"{""active"":""6-61 6-7,18-20,31-33,46-48,60-61"",""block_adv"":""-5"",""input"":""236236K"",""move_group"":""super_arts"",""move_name"":""SA2 疾風迅雷脚"",""recovery"":""28"",""startup"":""6""}",ken_062_2_3_6_2_3_6_k,ken,SA2 疾風迅雷脚,236236K,super_arts,,,,,,,
official_raw,official,20260412T161513Z-83e39e41,20260412T161513Z-83e39e41:スーパーアーツ:067:sa3_神龍烈破,,official_active_ambiguous,"{""active"":""7-45 7-9,11-13,14-16,33-35,36-37,38-39,40-41,42-43,44-45"",""block_adv"":""-40"",""input"":""236236P"",""move_group"":""super_arts"",""move_name"":""SA3 神龍烈破"",""recovery"":""55"",""startup"":""7""}",ken_063_2_3_6_2_3_6_p,ken,SA3 神龍烈破,236236P,super_arts,,,,,,,
