character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
ken,ken_001_5_lp,Standing Light Punch,5LP,normals,13,14,9,9,+8,-8,+4,-1,+8,+3,-,-,-,1,1,0,-,1.01,150 (75),Chains into 5LP/2LP/2LK; Run~Stop cancel: -14/-19
ken,ken_002_5_lk,Standing Light Kick,5LK,normals,12,14,12,9,+4,-12,+3,+1,+4,+2,-,-,-,1,1,0,-,1.32,150 (75),Incredible range for a light normal and a great whiff punish; Run~Stop cancel: -14/-16; DR cancel is delayed until after 2nd active frame
ken,ken_003_5_mp,Standing Medium Punch,5MP,normals,16 (17 TC),22,16,11,+8,-16,+12,+6,+8,+2,-,-,-,1,1,0,-,0.914,250 (125),Easily hitconfirmable into Target Combo; farthest ~40% of hitbox is shifted upward (can whiff against some crouching attack hurtboxes in whiff punish scenarios); extends a forward leg hurtbox until end of recovery; Run~Stop cancel: -6/-12
ken,ken_004_5_mk,Standing Medium Kick,5MK,normals,15 SA / 19 TC,26,18,11,+7,-21,-,-,+7,-1,-,-,-,1,1,0,-,1.73,350 (175),"Has good forward movement; whiffs on crouching opponents at farther ranges unless they extend a vertical hurtbox; hitconfirmable Target Combo follow-up makes it strong in neutral; Super is much harder to hitconfirm but can buffer into a safe SA2 in neutral; front leg hurtbox is raised on frames 4-15, allowing it to dodge some low attacks"
ken,ken_005_5_hp,Standing Heavy Punch,5HP,normals,19,25,20,13,+7,-20,+15,+10,+7,+2,-,-,-,1,1,0,-,1.491,500 (250),"Great poke in neutral; large number of active frames make it a great meaty; when used out of Drive Rush, links into 2MK on hit or gives pressure on block; Run~Stop cancel: -3/-8"
ken,ken_006_5_hk,Standing Heavy Kick,5HK,normals,-,26,20,13,KD +56 Spin,-25,-,-,+5,-1,-,-,-,1,1,0,-,1.921 (1.898),500 (250),"Excellent ranged poke and whiff punish tool; even at max range, can convert Punish Counter spinning juggle state into 623KK or Drive Rush 5HP juggles; 2 extra recovery frames on whiff; extends a hurtbox 1f before active that is vulnerable to projectiles"
ken,ken_007_2_lp,Crouching Light Punch,2LP,normals,12 (DR: 13),16,10,9,+9,-9,+4,-2,+9,+3,-,-,-,1,1,0,-,0.89,150 (75),Primary combo starter; chains into 5LP/2LP/2LK; Run~Stop cancel: -12/-18; DR cancel is delayed until after 1st recovery frame; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)
ken,ken_008_2_lk,Crouching Light Kick,2LK,normals,-,14,10,9,+5,-11,-,-,+5,+1,-,-,-,1,1,0,-,1.04,150 (75),Chains into 5LP/2LP/2LK
ken,ken_009_2_mp,Crouching Medium Punch,2MP,normals,15,20,17,11,+7,-15,+10,+7,+7,+4,-,-,-,1,1,0,-,1.12,250 (125),Good buffer tool and great for pressure out of Drive Rush; Run~Stop cancel: -8/-11; 2f extra recovery on whiff and extends a wider hurtbox until the end of recovery; topmost hurtbox on frames 1-8 is vulnerable only to aerial strikes (preventing its use as an anti-air)
ken,ken_010_2_mk,Crouching Medium Kick,2MK,normals,13,20,16,9,+2,-20,+8,+4,+2,-2,-,-,-,1,1,0,-,1.46,300 (150),Run~Stop cancel: -8/-12; Range: 1.46; DR cancel is delayed until after active frames
