dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t036:ken_623mp,ken_623mp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623MP"",""move_group"":""specials"",""move_name"":""Shoryuken"",""notes_sc"":""Good anti-air; cannot hit cross-up"",""punish_adv"":""KD +33"",""raw_source_token"":""ken_623mp""}",ken_032_6_2_3_mp,ken,Shoryuken,623MP,specials,36,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t037:ken_623hp,ken_623hp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623HP"",""move_group"":""specials"",""move_name"":""Shoryuken"",""notes_sc"":""Good anti-air; 3rd hit whiffs vs. crouch block (2f worse advantage, 75 less chip dmg); cannot hit cross-up"",""punish_adv"":""KD +25"",""raw_source_token"":""ken_623hp""}",ken_033_6_2_3_hp,ken,Shoryuken,623HP,specials,37,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t038:ken_623pp,ken_623pp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623PP"",""move_group"":""specials"",""move_name"":""Shoryuken"",""notes_sc"":""All hits are a true blockstring; Ken's best reversal option; cannot hit cross-up"",""punish_adv"":""KD +22"",""raw_source_token"":""ken_623pp""}",ken_034_6_2_3_p_p,ken,Shoryuken,623PP,specials,38,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t066:ken_kk_623p,ken_kk_623p,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""KK~623P"",""move_group"":""specials"",""move_name"":""Run~Shoryuken"",""notes_sc"":""Meterless only, does not vary by button strength; final hit whiffs vs. crouch block (1f worse advantage, 75 less chip dmg); cannot hit cross-up"",""punish_adv"":""KD +25"",""raw_source_token"":""ken_kk_623p""}",ken_035_6_2_3_p,ken,Run~Shoryuken,KK~623P,specials,66,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t039:ken_214lk,ken_214lk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214LK"",""move_group"":""specials"",""move_name"":""Tatsumaki Senpu-kyaku"",""notes_sc"":""Puts opponent into limited juggle state if 1st hit connects; if the first hit whiffs the second hit will always do 700 damage, but has worse KD Adv.; both hits connect on crouching opponents; cannot hit cross-up"",""punish_adv"":""KD +46(+38)"",""raw_source_token"":""ken_214lk""}",ken_036_2_1_4_lk,ken,Tatsumaki Senpu-kyaku,214LK,specials,39,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t040:ken_214mk,ken_214mk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214MK"",""move_group"":""specials"",""move_name"":""Tatsumaki Senpu-kyaku"",""notes_sc"":""Better KD Adv. if first hit connects; both hits connect on crouching opponents; cannot hit cross-up"",""punish_adv"":""KD +44(+32)"",""raw_source_token"":""ken_214mk""}",ken_037_2_1_4_mk,ken,Tatsumaki Senpu-kyaku,214MK,specials,40,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t041:ken_214hk,ken_214hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214HK"",""move_group"":""specials"",""move_name"":""Tatsumaki Senpu-kyaku"",""notes_sc"":""2nd and 3rd hits whiff on crouching opponents (unsafe on crouching hit or block); same knockdown advantage regardless of which hit initially connects; cannot hit cross-up"",""punish_adv"":""KD +36 (-34 cr)"",""raw_source_token"":""ken_214hk""}",ken_038_2_1_4_hk,ken,Tatsumaki Senpu-kyaku,214HK,specials,41,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t048:ken_623kk,ken_623kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""623KK"",""move_group"":""specials"",""move_name"":""Dragonlash Kick"",""notes_sc"":""Can dodge lows until frame 32; initial active frames 2(7)1 only hit airborne opponents for an OTG bounce and side switch; next 3 active frames only hit standing opponents; 3f better hit/block advantage vs. crouching opponents (allows link into 2LP); cannot hit cross-up"",""punish_adv"":""+5(+8)"",""raw_source_token"":""ken_623kk""}",ken_046_6_2_3_k_k,ken,Dragonlash Kick,623KK,specials,48,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t068:ken_kk_623k,ken_kk_623k,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""KK~623K"",""move_group"":""specials"",""move_name"":""Run~Dragonlash Kick"",""notes_sc"":""Meterless only, does not vary by button strength; properties similar to 623KK (startup, hits twice in juggles, side switch, 2f better advantage vs. crouch); lower OTG bounce height than 623KK; functional startup vs. standing opponents is 11+20f"",""punish_adv"":""+6(+8)"",""raw_source_token"":""ken_kk_623k""}",ken_047_6_2_3_k,ken,Run~Dragonlash Kick,KK~623K,specials,68,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t070:ken_236236k,ken_236236k,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236236K"",""move_group"":""super_arts"",""move_name"":""Shippu Jinrai-kyaku"",""notes_sc"":""Fast startup and good range, making it good for punishes and juggle combos; completely safe on block due to pushback; great chip tool vs. opponents in Burnout (can continue dealing more chip after being safely blocked); benefits from 20% Counter-hit/Punish Counter damage increase unlike most Supers; Full Dmg distribution: 300x4,200x5,600"",""punish_adv"":""KD +36"",""raw_source_token"":""ken_236236k""}",ken_062_2_3_6_2_3_6_k,ken,Shippu Jinrai-kyaku,236236K,super_arts,70,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t071:ken_236236p,ken_236236p,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236236P"",""move_group"":""super_arts"",""move_name"":""Shinryu Reppa"",""notes_sc"":""1st hit leads to full animation (non-cinematic damage varies based on juggle height, and allows a follow-up juggle); 2 hits whiff on crouch block (reduced chip, slightly worse advantage); cinematic time regenerates ~2 Drive bars for Ken"",""punish_adv"":""HKD +15"",""raw_source_token"":""ken_236236p""}",ken_063_2_3_6_2_3_6_p,ken,Shinryu Reppa,236236P,super_arts,71,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t072:ken_236236p(ca),ken_236236p(ca),supercombo_missing_official_safe_row,"{""binding_class"":""C"",""input"":""236236P"",""move_group"":""super_arts"",""move_name"":""Shinryu Reppa (CA)"",""notes_sc"":""1st hit leads to full animation (non-cinematic damage varies based on juggle height, and allows a follow-up juggle); 2 hits whiff on crouch block (reduced chip, slightly worse advantage); available at 25% HP or below; cinematic time regenerates ~2.1 Drive bars for Ken"",""punish_adv"":""HKD +21"",""raw_source_token"":""ken_236236p(ca)""}",ken_064_2_3_6_2_3_6_p,ken,Shinryu Reppa (CA),236236P,super_arts,72,C,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t075:Ken_4pppkkk,Ken_4pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""4PPPKKK"",""move_group"":""taunts"",""move_name"":""Back Taunt"",""notes_sc"":""\""Now's not the time for jokes.\"""",""punish_adv"":""-"",""raw_source_token"":""Ken_4pppkkk""}",,ken,Back Taunt,4PPPKKK,taunts,75,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t073:Ken_5pppkkk,Ken_5pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""5PPPKKK"",""move_group"":""taunts"",""move_name"":""Neutral Taunt"",""notes_sc"":""\""Bring it!\"""",""punish_adv"":""-"",""raw_source_token"":""Ken_5pppkkk""}",,ken,Neutral Taunt,5PPPKKK,taunts,73,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t074:Ken_6pppkkk,Ken_6pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""6PPPKKK"",""move_group"":""taunts"",""move_name"":""Forward Taunt"",""notes_sc"":""\""What's up, having second thoughts?\"""",""punish_adv"":""-"",""raw_source_token"":""Ken_6pppkkk""}",,ken,Forward Taunt,6PPPKKK,taunts,74,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t042:ken_214kk,ken_214kk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214KK"",""move_group"":""tatsumaki_senpukyaku"",""move_name"":""Tatsumaki Senpu-kyaku"",""notes_sc"":""Great range and speed, useful in whiff punishes and juggles; cannot hit cross-up"",""punish_adv"":""KD +28"",""raw_source_token"":""ken_214kk""}",,ken,Tatsumaki Senpu-kyaku,214KK,tatsumaki_senpukyaku,42,D,False,not_required,ken_039_2_1_4_k_k | ken_042_2_1_4_k_k,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t021:ken_5mk_mk,ken_5mk_mk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""5MK~MK"",""move_group"":""target_combos"",""move_name"":""Triple Flash Kicks 1"",""notes_sc"":""(refers to scaled damage); great forward movement, will combo even if 5MK hits an extended limb hurtbox; true blockstring even at max delay"",""punish_adv"":""KD +28"",""raw_source_token"":""ken_5mk_mk""}",,ken,Triple Flash Kicks 1,5MK~MK,target_combos,21,E,False,not_required,,ken_022_mk_followup,ken_022_mk
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t020:ken_5mp_hp,ken_5mp_hp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""5MP~HP"",""move_group"":""target_combos"",""move_name"":""Chin Buster"",""notes_sc"":""Puts opponent into limited juggle state; Run~Stop cancel: KD+30/-12"",""punish_adv"":""KD +28"",""raw_source_token"":""ken_5mp_hp""}",,ken,Chin Buster,5MP~HP,target_combos,20,D,False,not_required,ken_005_5_hp | ken_011_2_hp | ken_017_j_hp,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t019:ken_8jhk,ken_8jhk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""8HK"",""move_group"":""normals"",""move_name"":""Neutral Jumping Heavy Kick"",""notes_sc"":""Strong and fast air-to-air; lower body projectile invuln 6-19f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"",""punish_adv"":""+17(+19)"",""raw_source_token"":""ken_8jhk""}",,ken,Neutral Jumping Heavy Kick,8HK,normals,19,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t043:ken_j214k,ken_j214k,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""j.214K"",""move_group"":""air_tatsumaki_senpukyaku"",""move_name"":""Aerial Tatsumaki Senpu-kyaku"",""notes_sc"":""Forward jump only; can hit cross-up; puts opponent into limited juggle state; the last 11f of recovery puts Ken in a crouching state"",""punish_adv"":""KD +42(+46)"",""raw_source_token"":""ken_j214k""}",,ken,Aerial Tatsumaki Senpu-kyaku,j.214K,air_tatsumaki_senpukyaku,43,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t044:ken_j214kk,ken_j214kk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""j.214KK"",""move_group"":""air_tatsumaki_senpukyaku"",""move_name"":""Aerial Tatsumaki Senpu-kyaku"",""notes_sc"":""Forward jump only; 7f extra landing recovery on whiff; can hit twice vs. airborne opponents; can hit cross-up (deals 5f less hitstun, 200 less damage); Ken is in a crouching state from 4th landing recovery frame onward"",""punish_adv"":""+9(+14)"",""raw_source_token"":""ken_j214kk""}",,ken,Aerial Tatsumaki Senpu-kyaku,j.214KK,air_tatsumaki_senpukyaku,44,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t067:ken_kk_214k,ken_kk_214k,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""KK~214K"",""move_group"":""quick_dash"",""move_name"":""Run~Tatsumaki Senpukyaku"",""notes_sc"":""Meterless only, does not vary by button strength; alternates between forward/backward hits; backwards hitbox can pull opponent towards Ken from behind; CH/PC advantage carries through all hits, making it a great punish starter against very unsafe moves; leaves Ken at close range for a strike/throw mixup on grounded hits; () refers to knockdown advantage when canceled from 5MP~HP"",""punish_adv"":""+7"",""raw_source_token"":""ken_kk_214k""}",,ken,Run~Tatsumaki Senpukyaku,KK~214K,quick_dash,67,D,False,not_required,ken_040_2_1_4_k | ken_041_2_1_4_k,,
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t064:ken_kk_mk,ken_kk_mk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""KK~MK"",""move_group"":""quick_dash"",""move_name"":""Thunder Kick"",""notes_sc"":""Ken's only overhead outside of Jinrai Kick follow-ups; notably can't benefit from Drive Rush like other overheads, but can be used in meaty setups (+4) to link afterwards; lifts Ken's leg hurtbox on frames 10-20, allowing it to dodge some low attacks"",""punish_adv"":""+7"",""raw_source_token"":""ken_kk_mk""}",,ken,Thunder Kick,KK~MK,quick_dash,64,E,False,not_required,,ken_022_mk_followup,ken_022_mk
supercombo_enrichment,supercombo,20260412T205914Z-7c1dea52,20260412T205914Z-7c1dea52:t028:ken_mpmk,ken_mpmk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""MPMK"",""move_group"":""system"",""move_name"":""Drive Parry"",""notes_sc"":""See Drive Parry . Perfect Parrying has only 1F of recovery and disables the opponent from canceling their attack. Perfect Parrying projectiles puts you into fixed 11 frames of recovery. After a Perfect Parry, all Super Gauge gain is reduced by 20% and Drive Gauge gain/damage is reduced by 50% for the entire punish combo."",""punish_adv"":""-"",""raw_source_token"":""ken_mpmk""}",,ken,Drive Parry,MPMK,system,28,D,False,not_required,ken_065_5_6_lplk | ken_069_hphk | ken_072_mpmk | ken_073_mpmk | ken_074_mpmk,,
