character_slug,move_id,punishable_threshold,is_safe_on_block,is_plus_on_hit,is_plus_on_block,meaty_hit_adv_max,meaty_block_adv_max,startup_bucket,simple_punish_adv,derivation_notes
kimberly,kimberly_001_5_lp,2,True,True,False,6,-1,5_to_7,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
kimberly,kimberly_002_5_lk,3,True,True,False,3,-1,5_to_7,3,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
kimberly,kimberly_003_5_mp,2,True,True,False,5,0,5_to_7,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
kimberly,kimberly_004_5_mk,4,True,True,False,3,-2,8_to_10,4,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
kimberly,kimberly_005_5_hp,4,True,True,False,5,-2,8_to_10,4,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
kimberly,kimberly_006_5_hk,0,True,True,True,10,5,11_plus,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
kimberly,kimberly_007_2_lp,1,True,True,False,6,1,4f_or_faster,1,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
kimberly,kimberly_008_2_lk,2,True,True,False,6,0,5_to_7,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
kimberly,kimberly_009_2_mp,1,True,True,False,9,1,5_to_7,1,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
kimberly,kimberly_010_2_mk,0,True,True,True,7,3,5_to_7,0,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
kimberly,kimberly_011_2_hp,2,True,True,False,8,3,8_to_10,2,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
kimberly,kimberly_012_2_hk,10,False,,False,,-8,8_to_10,10,derived from official_raw only | ignores spacing/pushback | ignores character-specific punish options | ignores invuln/armor/special exceptions | 4F baseline | derivation_rule_version=1.0.0
