character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
kimberly,kimberly_001_5_lp,立ち弱P（裏拳）,5LP,normals,5,5-6,8,,5,-2,C,270,始動補正20%,250,-500,-2000,300,上,
kimberly,kimberly_002_5_lk,立ち弱K（抜刀蹴）,5LK,normals,5,5-7,11,,1,-3,C,270,始動補正20%,250,-500,-2000,300,上,
kimberly,kimberly_003_5_mp,立ち中P（胴突き）,5MP,normals,6,6-8,18,,3,-2,C,540,,1000,-2000,-4000,500,上,
kimberly,kimberly_004_5_mk,立ち中K（刹那蹴り）,5MK,normals,8,8-10,18,,1,-4,C,540,始動補正15%,1000,-2000,-4000,700,上,
kimberly,kimberly_005_5_hp,立ち強P（旋回手刀）,5HP,normals,9,9-11,20,,3,-4,C,630,,2000,-5000,-10000,1000,上,パニッシュカウンター時+23F
kimberly,kimberly_006_5_hk,立ち強K（旋風蹴り）,5HK,normals,12,12-15,17,,7,2,,630,,2500,-5000,-10000,1000,上,
kimberly,kimberly_007_2_lp,しゃがみ弱P（裏拳）,2LP,normals,4,4-6,7,,4,-1,C,270,始動補正20%,250,-500,-2000,300,上,
kimberly,kimberly_008_2_lk,しゃがみ弱K（連撃蹴）,2LK,normals,5,5-7,7,,4,-2,,180,始動補正20%,250,-500,-2000,300,下,
kimberly,kimberly_009_2_mp,しゃがみ中P（水平手刀）,2MP,normals,6,6-8,13,,7,-1,C,500,,1200,-2500,-5000,600,上,空振り時硬直2F増加
kimberly,kimberly_010_2_mk,しゃがみ中K（脛割り）,2MK,normals,7,7-9,16,,5,1,,540,始動補正20%,1200,-2500,-5000,600,下,
kimberly,kimberly_011_2_hp,しゃがみ強P（肘打ち）,2HP,normals,8,8-13,17,,3,-2,C,720,,2500,-5000,-10000,1000,上,強制立ち効果
kimberly,kimberly_012_2_hk,しゃがみ強K（水面蹴り）,2HK,normals,8,8-10,24,,D,-10,,810,,2500,-5000,-10000,1200,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
kimberly,kimberly_013_j_lp,ジャンプ弱P（空平手）,j.LP,normals,4,4-13,着地後3,,,,,270,,500,-1500,-2000,300,中,
kimberly,kimberly_014_j_lk,ジャンプ弱K（跳び膝）,j.LK,normals,5,5-14,着地後3,,,,,270,,500,-1500,-2000,300,中,めくり性能
kimberly,kimberly_015_j_mp,ジャンプ中P（空裏拳）,j.MP,normals,6,6-9,着地後3,,,,C,450,,1000,-2500,-5000,500,中,空中ヒット時吹き飛びダウン
kimberly,kimberly_016_j_mk,ジャンプ中K（会心脚）,j.MK,normals,7,7-12,着地後3,,,,,540,,1000,-2500,-4000,500,中,めくり性能
kimberly,kimberly_017_j_hp,ジャンプ強P（空肘打ち）,j.HP,normals,8,8-12,着地後3,,,,,630,,2000,-4000,-5000,1000,中,
kimberly,kimberly_018_j_hk,ジャンプ強K（旋回蹴り）,j.HK,normals,9,9-14,着地後3,,,,,630,,2000,-4000,-5000,1000,中,
kimberly,kimberly_019_3_mk,水切り蹴り,3MK,command_normals,11,11-20,16,,1,-5,,450,始動補正15%,1000,-2000,-4000,500,下,持続1～4Fパニッシュカウンター時ダウン
kimberly,kimberly_020_4_hk,風車,4HK,command_normals,22,22-23,19,,4,-3,,720,始動補正25%,2500,-5000,-10000,1000,中,強制しゃがみ効果
kimberly,kimberly_021_6_hk,飛箭蹴,6HK,command_normals,27,27-29,※21,,1,-3,,720,始動補正20%,3000,-4000,-7000,800,上,18-32F 空中判定 | 空中ヒット時吹き飛びダウン | ※ガード時硬直8F減少
kimberly,kimberly_022_7_8_9,矢来越え,7|8|9,command_normals,,,着地後3,,-10,-22,,0,,0,0,0,0,,ジャンプ動作中空中技でキャンセル可能
