dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161512Z-b0731b91,20260412T161512Z-b0731b91:必殺技:034:弱_武神旋風脚,,official_active_ambiguous,"{""active"":""6-36 6-11, 13-18※,20-25, 34-36"",""block_adv"":""-30"",""input"":""214LK"",""move_group"":""specials"",""move_name"":""弱 武神旋風脚"",""recovery"":""着地後17"",""startup"":""6""}",kimberly_031_2_1_4_lk,kimberly,弱 武神旋風脚,214LK,specials,,,,,,,
official_raw,official,20260412T161512Z-b0731b91,20260412T161512Z-b0731b91:必殺技:035:中_武神旋風脚,,official_active_ambiguous,"{""active"":""7-37 7-12,14-19※, 21-26, 35-37"",""block_adv"":""-32"",""input"":""214MK"",""move_group"":""specials"",""move_name"":""中 武神旋風脚"",""recovery"":""着地後17"",""startup"":""7""}",kimberly_032_2_1_4_mk,kimberly,中 武神旋風脚,214MK,specials,,,,,,,
official_raw,official,20260412T161512Z-b0731b91,20260412T161512Z-b0731b91:必殺技:036:強_武神旋風脚,,official_active_ambiguous,"{""active"":""8-38 8-13, 15-20※, 22-27, 36-38"",""block_adv"":""-35"",""input"":""214HK"",""move_group"":""specials"",""move_name"":""強 武神旋風脚"",""recovery"":""着地後17"",""startup"":""8""}",kimberly_033_2_1_4_hk,kimberly,強 武神旋風脚,214HK,specials,,,,,,,
official_raw,official,20260412T161512Z-b0731b91,20260412T161512Z-b0731b91:必殺技:037:od_武神旋風脚,,official_active_ambiguous,"{""active"":""6-35 6-11, 13-18, 20-25, 27-32, 34-35"",""block_adv"":""-40"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""OD 武神旋風脚"",""recovery"":""着地後17"",""startup"":""6""}",kimberly_034_2_1_4_k_k,kimberly,OD 武神旋風脚,214KK,specials,,,,,,,
official_raw,official,20260412T161512Z-b0731b91,20260412T161512Z-b0731b91:必殺技:038:空中武神旋風脚,,official_active_ambiguous,"{""active"":""8-27 8-9, 17-18, 26-27"",""block_adv"":""1"",""input"":""214K"",""move_group"":""specials"",""move_name"":""空中武神旋風脚"",""recovery"":""着地後12"",""startup"":""8""}",kimberly_035_2_1_4_k,kimberly,空中武神旋風脚,214K,specials,,,,,,,
official_raw,official,20260412T161512Z-b0731b91,20260412T161512Z-b0731b91:必殺技:039:od_空中武神旋風脚,,official_active_ambiguous,"{""active"":""8-27 8-9, 12-14※, 17-18, 21-23※, 26-27"",""block_adv"":""1"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""OD 空中武神旋風脚"",""recovery"":""着地後12"",""startup"":""8""}",kimberly_036_2_1_4_k_k,kimberly,OD 空中武神旋風脚,214KK,specials,,,,,,,
official_raw,official,20260412T161512Z-b0731b91,20260412T161512Z-b0731b91:必殺技:045:od_胴刎ね,,official_active_ambiguous,"{""active"":""17-23 17-18, 19-23"",""block_adv"":""3"",""input"":""LK"",""move_group"":""specials"",""move_name"":""OD 胴刎ね"",""recovery"":""16"",""startup"":""17""}",kimberly_042_lk,kimberly,OD 胴刎ね,LK,specials,,,,,,,
official_raw,official,20260412T161512Z-b0731b91,20260412T161512Z-b0731b91:必殺技:047:od_影すくい,,official_active_ambiguous,"{""active"":""8-19 8-15, 16-19"",""block_adv"":""-10"",""input"":""MK"",""move_group"":""specials"",""move_name"":""OD 影すくい"",""recovery"":""19"",""startup"":""8""}",kimberly_044_mk,kimberly,OD 影すくい,MK,specials,,,,,,,
official_raw,official,20260412T161512Z-b0731b91,20260412T161512Z-b0731b91:必殺技:049:od_首狩り,,official_active_ambiguous,"{""active"":""15-19 15-16, 17-19"",""block_adv"":""-1"",""input"":""HK"",""move_group"":""specials"",""move_name"":""OD 首狩り"",""recovery"":""19"",""startup"":""15""}",kimberly_046_hk,kimberly,OD 首狩り,HK,specials,,,,,,,
official_raw,official,20260412T161512Z-b0731b91,20260412T161512Z-b0731b91:必殺技:050:弧空,,official_active_ambiguous,"{""active"":""6-15 6-7, 14-15"",""block_adv"":""-6"",""move_group"":""specials"",""move_name"":""弧空"",""recovery"":""26+着地後4"",""startup"":""6""}",kimberly_047_specials_047,kimberly,弧空,,specials,,,,,,,
