dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T205632Z-302cf26c,20260412T205632Z-302cf26c:t041:kimberly_214lk,kimberly_214lk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214LK"",""move_group"":""specials"",""move_name"":""Bushin Senpukyaku"",""notes_sc"":""Cannot hit cross-up; if first hit (active frames 1-6) whiffs, still hits 3 times but the first hit only does 90 damage"",""punish_adv"":""KD +23"",""raw_source_token"":""kimberly_214lk""}",kimberly_031_2_1_4_lk,kimberly,Bushin Senpukyaku,214LK,specials,41,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205632Z-302cf26c,20260412T205632Z-302cf26c:t042:kimberly_214mk,kimberly_214mk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214MK"",""move_group"":""specials"",""move_name"":""Bushin Senpukyaku"",""notes_sc"":""Cannot hit cross-up; if first hit (active frames 1-6) whiffs, still hits 3 times but the first hit only does 90 damage"",""punish_adv"":""KD +22"",""raw_source_token"":""kimberly_214mk""}",kimberly_032_2_1_4_mk,kimberly,Bushin Senpukyaku,214MK,specials,42,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205632Z-302cf26c,20260412T205632Z-302cf26c:t043:kimberly_214hk,kimberly_214hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214HK"",""move_group"":""specials"",""move_name"":""Bushin Senpukyaku"",""notes_sc"":""Cannot hit cross-up; often too slow to work in juggles; if first hit (active frames 1-6) whiffs, still hits 3 times but the first hit only does 180 damage"",""punish_adv"":""KD +21"",""raw_source_token"":""kimberly_214hk""}",kimberly_033_2_1_4_hk,kimberly,Bushin Senpukyaku,214HK,specials,43,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205632Z-302cf26c,20260412T205632Z-302cf26c:t048:kimberly_236mp,kimberly_236mp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236MP"",""move_group"":""specials"",""move_name"":""Vagabond Edge"",""notes_sc"":""2nd hit only comes out on hit; () refers to reduced KD Adv. when juggled into; (note: frame display shows 3f extra block recovery, but this is a bug - total frame count remains unchanged)"",""punish_adv"":""KD +37"",""raw_source_token"":""kimberly_236mp""}",kimberly_054_2_3_6_mp,kimberly,Vagabond Edge,236MP,specials,48,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205632Z-302cf26c,20260412T205632Z-302cf26c:t049:kimberly_236hp,kimberly_236hp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236HP"",""move_group"":""specials"",""move_name"":""Vagabond Edge"",""notes_sc"":""Puts opponent into limited juggle state; very limited juggle potential, so it won't combo from 5MP~HP; 2nd hit only comes out on hit; forward jump cancelable on hit only; (note: frame display shows 3f extra block recovery, but this is a bug - total frame count remains unchanged)"",""punish_adv"":""KD +56"",""raw_source_token"":""kimberly_236hp""}",kimberly_055_2_3_6_hp,kimberly,Vagabond Edge,236HP,specials,49,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205632Z-302cf26c,20260412T205632Z-302cf26c:t084:Kimberly_4pppkkk,Kimberly_4pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""4PPPKKK"",""move_group"":""taunts"",""move_name"":""Back Taunt"",""notes_sc"":""\""Rin Pyo To Sha Kai Jin Retsu Zai Zen!\"""",""punish_adv"":""-"",""raw_source_token"":""Kimberly_4pppkkk""}",,kimberly,Back Taunt,4PPPKKK,taunts,84,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205632Z-302cf26c,20260412T205632Z-302cf26c:t081:Kimberly_5pppkkk,Kimberly_5pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""5PPPKKK"",""move_group"":""taunts"",""move_name"":""Neutral Taunt"",""notes_sc"":""\""Man, come on, I'm ready to go!\""; during SA3 install, this taunt can be input with 2PPPKKK instead"",""punish_adv"":""-"",""raw_source_token"":""Kimberly_5pppkkk""}",,kimberly,Neutral Taunt,5PPPKKK,taunts,81,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205632Z-302cf26c,20260412T205632Z-302cf26c:t082:Kimberly_5pppkkk_install,Kimberly_5pppkkk_install,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""5PPPKKK"",""move_group"":""taunts"",""move_name"":""Neutral Taunt"",""notes_sc"":""(Dance animation during SA3 only)"",""punish_adv"":""-"",""raw_source_token"":""Kimberly_5pppkkk_install""}",,kimberly,Neutral Taunt,5PPPKKK,taunts,82,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205632Z-302cf26c,20260412T205632Z-302cf26c:t083:Kimberly_6pppkkk,Kimberly_6pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""6PPPKKK"",""move_group"":""taunts"",""move_name"":""Forward Taunt"",""notes_sc"":""\""Dōmo arigatō, from the Bushinryu!\"""",""punish_adv"":""-"",""raw_source_token"":""Kimberly_6pppkkk""}",,kimberly,Forward Taunt,6PPPKKK,taunts,83,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T205632Z-302cf26c,20260412T205632Z-302cf26c:t044:kimberly_214kk,kimberly_214kk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214KK"",""move_group"":""bushin_senpukyaku"",""move_name"":""Bushin Senpukyaku"",""notes_sc"":""Cannot hit cross-up; higher juggle potential than other versions; other than SA2 cancel, starter scaling only occurs if Spraycan detonates immediately after first grounded hit, or after a high-connect 4-hit 214KK"",""punish_adv"":""KD +21"",""raw_source_token"":""kimberly_214kk""}",,kimberly,Bushin Senpukyaku,214KK,bushin_senpukyaku,44,D,False,not_required,kimberly_034_2_1_4_k_k | kimberly_036_2_1_4_k_k,,
