dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:通常技:012:しゃがみ強p_ハンマーアクス,,official_active_ambiguous,"{""move_id"":""lily_011_2_hp"",""punishable_threshold"":2,""simple_punish_adv"":2,""startup_bucket"":""8_to_10""}",lily_011_2_hp,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:通常技:013:しゃがみ強k_スコールキック,,official_active_ambiguous,"{""move_id"":""lily_012_2_hk"",""punishable_threshold"":12,""simple_punish_adv"":12,""startup_bucket"":""11_plus""}",lily_012_2_hk,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:038:風纏い_弱_コンドルスパイア,,official_active_ambiguous,"{""move_id"":""lily_035_2_3_6_lk"",""punishable_threshold"":0,""simple_punish_adv"":0,""startup_bucket"":""8_to_10""}",lily_035_2_3_6_lk,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:039:風纏い_中_コンドルスパイア,,official_active_ambiguous,"{""move_id"":""lily_036_2_3_6_mk"",""punishable_threshold"":0,""simple_punish_adv"":0,""startup_bucket"":""11_plus""}",lily_036_2_3_6_mk,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:040:風纏い_強_コンドルスパイア,,official_active_ambiguous,"{""move_id"":""lily_037_2_3_6_hk"",""punishable_threshold"":0,""simple_punish_adv"":0,""startup_bucket"":""11_plus""}",lily_037_2_3_6_hk,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:041:風纏い_od_弱_コンドルスパイア,,official_active_ambiguous,"{""move_id"":""lily_038_2_3_6_k_k_k_k"",""punishable_threshold"":0,""simple_punish_adv"":0,""startup_bucket"":""8_to_10""}",lily_038_2_3_6_k_k_k_k,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:042:風纏い_od_強_コンドルスパイア,,official_active_ambiguous,"{""move_id"":""lily_039_2_3_6_k_k"",""punishable_threshold"":0,""simple_punish_adv"":0,""startup_bucket"":""8_to_10""}",lily_039_2_3_6_k_k,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:047:風纏い_弱_トマホークバスター,,official_active_ambiguous,"{""move_id"":""lily_044_6_2_3_lp"",""punishable_threshold"":25,""simple_punish_adv"":25,""startup_bucket"":""4f_or_faster""}",lily_044_6_2_3_lp,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:048:風纏い_中_トマホークバスター,,official_active_ambiguous,"{""move_id"":""lily_045_6_2_3_mp"",""punishable_threshold"":30,""simple_punish_adv"":30,""startup_bucket"":""5_to_7""}",lily_045_6_2_3_mp,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:049:風纏い_強_トマホークバスター,,official_active_ambiguous,"{""move_id"":""lily_046_6_2_3_hp"",""punishable_threshold"":33,""simple_punish_adv"":33,""startup_bucket"":""8_to_10""}",lily_046_6_2_3_hp,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:050:風纏い_od_トマホークバスター,,official_active_ambiguous,"{""move_id"":""lily_047_6_2_3_p_p"",""punishable_threshold"":35,""simple_punish_adv"":35,""startup_bucket"":""4f_or_faster""}",lily_047_6_2_3_p_p,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:051:コンドルダイブ,,official_active_ambiguous,"{""move_id"":""lily_048_p_p"",""punishable_threshold"":24,""simple_punish_adv"":24,""startup_bucket"":""11_plus""}",lily_048_p_p,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:052:od_コンドルダイブ,,official_active_ambiguous,"{""move_id"":""lily_049_p_p"",""punishable_threshold"":24,""simple_punish_adv"":24,""startup_bucket"":""11_plus""}",lily_049_p_p,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:053:風纏い_コンドルダイブ,,official_active_ambiguous,"{""move_id"":""lily_050_p_p"",""punishable_threshold"":23,""simple_punish_adv"":23,""startup_bucket"":""11_plus""}",lily_050_p_p,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:必殺技:054:風纏い_od_コンドルダイブ,,official_active_ambiguous,"{""move_id"":""lily_051_p_p"",""punishable_threshold"":23,""simple_punish_adv"":23,""startup_bucket"":""11_plus""}",lily_051_p_p,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:スーパーアーツ:060:sa1_ブリージングホーク,,official_active_ambiguous,"{""move_id"":""lily_056_2_3_6_2_3_6_p"",""punishable_threshold"":36,""simple_punish_adv"":36,""startup_bucket"":""8_to_10""}",lily_056_2_3_6_2_3_6_p,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:スーパーアーツ:061:sa2_サンダーバード,,official_active_ambiguous,"{""move_id"":""lily_057_2_3_6_2_3_6_k"",""punishable_threshold"":60,""simple_punish_adv"":60,""startup_bucket"":""8_to_10""}",lily_057_2_3_6_2_3_6_k,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:スーパーアーツ:062:風纏い_sa2_サンダーバード,,official_active_ambiguous,"{""move_id"":""lily_058_2_3_6_2_3_6_k"",""punishable_threshold"":59,""simple_punish_adv"":59,""startup_bucket"":""8_to_10""}",lily_058_2_3_6_2_3_6_k,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:スーパーアーツ:063:sa2_スカイサンダーバード,,official_active_ambiguous,"{""move_id"":""lily_059_2_3_6_2_3_6_k"",""startup_bucket"":""8_to_10""}",lily_059_2_3_6_2_3_6_k,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:スーパーアーツ:064:風纏い_sa2_スカイサンダーバード,,official_active_ambiguous,"{""move_id"":""lily_060_2_3_6_2_3_6_k"",""startup_bucket"":""8_to_10""}",lily_060_2_3_6_2_3_6_k,lily,,,,,,,,,,
derived_metrics,official,20260412T161519Z-400d530c,20260412T161519Z-400d530c:共通システム:076:ドライブパリィ,,official_active_ambiguous,"{""move_id"":""lily_070_mpmk"",""startup_bucket"":""4f_or_faster""}",lily_070_mpmk,lily,,,,,,,,,,
