character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
lily,lily_001_5_lp,立ち弱P（コンドルビーク）,5LP,normals,5,5-7,8,,6,-1,C,350,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
lily,lily_002_5_lk,立ち弱K（ストマックプレスキック）,5LK,normals,4,4-6,8,,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
lily,lily_003_5_mp,立ち中P（タタンカホーン）,5MP,normals,9,9-12,17,,1,-4,,800,,3000,-4000,-6000,500,上,
lily,lily_004_5_mk,立ち中K（ロンリーキック）,5MK,normals,7,7-9,15,,2,-1,C,600,,1500,-3000,-4000,700,上,
lily,lily_005_5_hp,立ち強P（メキシカンクロスホーン）,5HP,normals,10,10-12,22,,0,-5,C,900,,2000,-5000,-8000,1000,上,地上パニッシュカウンター時膝崩れ | 空中パニッシュカウンター時吹き飛びダウン
lily,lily_006_5_hk,立ち強K（ヘビートラースキック）,5HK,normals,14,14-17,21,,1,-5,,1000,,3000,-6000,-10000,1000,上,パニッシュカウンター時吹き飛びダウン
lily,lily_007_2_lp,しゃがみ弱P（リリーショット）,2LP,normals,6,6-8,8,,6,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
lily,lily_008_2_lk,しゃがみ弱K（ロープレスキック）,2LK,normals,5,5-6,12,,2,-2,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
lily,lily_009_2_mp,しゃがみ中P（ホーリーアース）,2MP,normals,8,8-10,18,,1,-3,SA,700,,2000,-4000,-6000,500,上,
lily,lily_010_2_mk,しゃがみ中K（ヒールスライドキック）,2MK,normals,9,9-11,18,,1,-5,C,500,始動補正20%,1000,-2000,-4000,600,下,
lily,lily_013_j_lp,ジャンプ弱P（アローシュート）,j.LP,normals,5,5-13,着地後3,,,,,300,,500,-1500,-2000,300,中,
lily,lily_014_j_lk,ジャンプ弱K（ビガーニーキック）,j.LK,normals,6,6-11,着地後3,,,,,300,,500,-1500,-2000,300,中,めくり性能
lily,lily_015_j_mp,ジャンプ中P（アングリーボウ）,j.MP,normals,9,9-12,着地後3,,,,C,700,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン
lily,lily_016_j_mk,ジャンプ中K（デザートトゥーキック）,j.MK,normals,8,8-12,着地後3,,,,,500,,1000,-2500,-4000,500,中,めくり性能
lily,lily_017_j_hp,ジャンプ強P（アズテックストライク）,j.HP,normals,10,10-15,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中ヒット時叩きつけダウン
lily,lily_018_j_hk,ジャンプ強K（アングリードロップキック）,j.HK,normals,11,11-16,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
lily,lily_019_3_hp,スラストリッジ,3HP,command_normals,25,25-27,18,,2,-3,,900,,2000,-5000,-5000,1000,中,5-19F足元無敵 | 強制しゃがみ効果 | 空中ヒット時叩きつけダウン
lily,lily_020_4_hp,ホーンブレイク,4HP,command_normals,14,14-17,18,,5,-2,C,1000,,2000,-5000,-8000,1000,上,
lily,lily_021_2_hp,グレートスピン,2HP,command_normals,9,9-19,着地後3,,,,,800,,2000,-4000,-5000,1000,中,めくり性能
lily,lily_022_mp_mp,ダブルアロー,MP>MP,command_normals,10,10-12,着地後3,,,,※,700,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン | ※SA2 スカイサンダーバードでのみキャンセル可能
lily,lily_023_6_hp,デザートストーム（1段目）,6HP,command_normals,16,16-17,24,,2,-4,C,900,,3000,-5000,-8000,1000,上,空中ヒット時吹き飛びダウン
lily,lily_024_6_hp_hp,デザートストーム（2段目）,6HP>HP,command_normals,20,20-21,27,,0,-9,,500,,2000,-2000,-5000,1000,上,空中ヒット時吹き飛びダウン
lily,lily_025_6_hp_hp_hp,デザートストーム（3段目）,6HP>HP>HP,command_normals,20,20-24,39,,D,-23,,800,,2000,-2000,-5000,1000,上,
lily,lily_026_2_1_4_lp,弱 コンドルウィンド,214LP,specials,,,全体 47,47,,,,0,,0,0,0,0,,最速でボタンを離した場合46F目で風纏いを1つストック | ボタンホールド時71F目で2つ目、91F目で3つ目をストック | 次回発動するコンドルスパイア、トマホークバスター、コンドルダイブ、サンダーバード、スカイサンダーバードの性質変化
lily,lily_027_2_1_4_mp,中 コンドルウィンド,214MP,specials,23,23-26,25,,2,-8,SA3,900,,2000,-4000,-8000,1000,上,発動から45F目までにボタンを離した場合、攻撃持続1F目で風纏いをストック | ボタンホールド時46F目で1つ目、71F目で2つ目、91F目で3つ目をストック | 次回発動するコンドルスパイア、トマホークバスター、コンドルダイブ、サンダーバード、スカイサンダーバードの性質変化 | 空中ヒット時吹き飛びダウン
lily,lily_028_2_1_4_hp,強 コンドルウィンド,214HP,specials,25,25-28,25,,D,-8,SA3,1100,,2000,-4000,-8000,1000,上,発動から45F目までにボタンを離した場合、攻撃持続1F目で風纏いをストック | ボタンホールド時46F目で1つ目、71F目で2つ目、91F目で3つ目をストック | 次回発動するコンドルスパイア、トマホークバスター、コンドルダイブ、サンダーバード、スカイサンダーバードの性質変化
lily,lily_029_2_1_4_p_p,OD コンドルウィンド,214PP,specials,19,19-22,23,,D,-5,SA2,1200,始動補正20% | コンボ補正20%,0,-4000,-8000,1000,上,発動から25F目までにボタンを離した場合、攻撃持続1F目で風纏いをストック | ボタンホールド時は38F目でストック、全体40F | 次回発動するコンドルスパイア、トマホークバスター、コンドルダイブ、サンダーバード、スカイサンダーバードの性質変化
lily,lily_030_2_3_6_lk,弱 コンドルスパイア,236LK,specials,17,17-29,16,,D,-8,,800,,2000,-5000,-7000,1000,上,8-30F 空中判定
