dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T211636Z-57501bca,20260412T211636Z-57501bca:t012:lily_2hk,lily_2hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""2HK"",""move_group"":""normals"",""move_name"":""Squall Kick"",""notes_sc"":""2 hits; 2nd hit is not low if the 1st hit is blocked; 1st hit doesn't knock down (-4 if the 2nd hit whiffs on a long range Punish Counter); has juggle potential"",""punish_adv"":""HKD +47"",""raw_source_token"":""lily_2hk""}",lily_012_2_hk,lily,Squall Kick,2HK,normals,12,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T211636Z-57501bca,20260412T211636Z-57501bca:t066:lily_236236p,lily_236236p,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236236P"",""move_group"":""super_arts"",""move_name"":""Breezing Hawk"",""notes_sc"":""First 2 hits give full animation; partial connect gives reduced damage and KD advantage; Dmg distribution: 80x13,1160 (full animation), 80x2,1680 (partial animation)"",""punish_adv"":""KD +27(+19)"",""raw_source_token"":""lily_236236p""}",lily_056_2_3_6_2_3_6_p,lily,Breezing Hawk,236236P,super_arts,66,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T211636Z-57501bca,20260412T211636Z-57501bca:t036:lily_214hp,lily_214hp,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""214HP"",""move_group"":""condor_wind"",""move_name"":""(HOLD OK) Condor Wind (attack)"",""notes_sc"":""Windclad stock gained on the first active frame (or frames 46, 71 and 90 if held); can delay the attack by holding HP (attack comes out 4f after button release); puts opponents into limited juggle state on hit; cancel into SA3 does not combo (only useful when absorbed by armor); cancels and self-hitstop do not occur until after the 2nd active frame; head hurtbox shrinks during active frames and the first 16 recovery frames"",""punish_adv"":""KD +30"",""raw_source_token"":""lily_214hp""}",,lily,(HOLD OK) Condor Wind (attack),214HP,condor_wind,36,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211636Z-57501bca,20260412T211636Z-57501bca:t035:lily_214mp,lily_214mp,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""214MP"",""move_group"":""condor_wind"",""move_name"":""(HOLD OK) Condor Wind (attack)"",""notes_sc"":""Windclad stock gained on the first active frame (or frames 46, 71 and 90 if held); can delay the attack by holding MP (attack comes out 4f after button release); cancels and self-hitstop do not occur until after the 2nd active frame; useful for comboing into SA3 as it leaves the opponent grounded on hit; puts airborne opponents into limited juggle state on hit; head hurtbox shrinks during active frames and the first 16 recovery frames"",""punish_adv"":""+6"",""raw_source_token"":""lily_214mp""}",,lily,(HOLD OK) Condor Wind (attack),214MP,condor_wind,35,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211636Z-57501bca,20260412T211636Z-57501bca:t037:lily_214pp,lily_214pp,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""214PP"",""move_group"":""condor_wind"",""move_name"":""(HOLD OK) Condor Wind (attack)"",""notes_sc"":""Windclad stock gained on the 1st active frame; holding the buttons for 16-24f increases the startup (attack comes out 4f after button release); puts opponents into limited juggle state on hit (can land a corner follow-up juggle with up to 6f startup); holding for 25f or longer results in non-attack version instead; SA3 cancel does not combo on hit (only useful when absorbed by armor); cancels and self-hitstop do not occur until after the 2nd active frame; head hurtbox shrinks during active frames and the first 16 recovery frames"",""punish_adv"":""KD +39"",""raw_source_token"":""lily_214pp""}",,lily,(HOLD OK) Condor Wind (attack),214PP,condor_wind,37,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211636Z-57501bca,20260412T211636Z-57501bca:t038:lily_214pp_hold,lily_214pp_hold,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""214[PP]"",""move_group"":""condor_wind"",""move_name"":""Condor Wind (stock)"",""notes_sc"":""Windclad stock gained on frame 38; buttons must be held 25f for the non-attack version to come out; can built up to 3 Windclad stocks; stocks can be spent for enhanced versions of Condor Spire, Tomahawk Buster, or Condor Dive; 7f faster than the LP version, making it much safer to use in neutral"",""punish_adv"":""-"",""raw_source_token"":""lily_214pp_hold""}",,lily,Condor Wind (stock),214[PP],condor_wind,38,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211636Z-57501bca,20260412T211636Z-57501bca:t067:lily_236236k,lily_236236k,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236236K"",""move_group"":""super_arts"",""move_name"":""Thunderbird"",""notes_sc"":""Connects 7 times vs. stand block, 5 times vs. crouch block (affects Block Adv, Chip Damage, and Drive Damage); hits on both sides of Lily (good anti-air against cross-ups); must be Perfect Parried twice (3 times for tall standing characters); suction effect on hit (can be used against extended projectile hurtboxes); Dmg distribution: 100x7,1900"",""punish_adv"":""KD +42"",""raw_source_token"":""lily_236236k""}",,lily,Thunderbird,236236K,super_arts,67,D,False,not_required,lily_057_2_3_6_2_3_6_k | lily_058_2_3_6_2_3_6_k | lily_059_2_3_6_2_3_6_k | lily_060_2_3_6_2_3_6_k,,
supercombo_enrichment,supercombo,20260412T211636Z-57501bca,20260412T211636Z-57501bca:t068:lily_236236k_1stock,lily_236236k_1stock,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236236K"",""move_group"":""super_arts"",""move_name"":""Thunderbird (Windclad)"",""notes_sc"":""Consumes 1 Windclad stock (+300 damage, +4 KD Adv, better horizontal range in both directions); connects 11 times vs. stand block, 8 times vs. crouch block (affects Block Adv, Chip Damage, and Drive Damage); hits on both sides of Lily (good anti-air against cross-ups); must be Perfect Parried twice (3 times for tall standing characters); suction effect on hit (can be used against extended projectile hurtboxes); Dmg distribution: 100x12,1700"",""punish_adv"":""KD +46"",""raw_source_token"":""lily_236236k_1stock""}",,lily,Thunderbird (Windclad),236236K,super_arts,68,D,False,not_required,lily_057_2_3_6_2_3_6_k | lily_058_2_3_6_2_3_6_k | lily_059_2_3_6_2_3_6_k | lily_060_2_3_6_2_3_6_k,,
supercombo_enrichment,supercombo,20260412T211636Z-57501bca,20260412T211636Z-57501bca:t045:lily_236hk_1stock,lily_236hk_1stock,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""W.236HK"",""move_group"":""condor_spire_windclad"",""move_name"":""Condor Spire (Windclad)"",""notes_sc"":""Consumes 1 Windclad Stock; 3 hits (can lose hits from farther range); can be spaced out for better frame advantage if only 3rd hit connects; puts opponent into limited juggle state on hit; can land a follow-up juggle with 10f startup (up to 14f startup on max range connect)"",""punish_adv"":""KD +52(+50~56)"",""raw_source_token"":""lily_236hk_1stock""}",,lily,Condor Spire (Windclad),W.236HK,condor_spire_windclad,45,E,False,not_required,,lily_3_6_lk_followup,lily_030_2_3_6_lk
supercombo_enrichment,supercombo,20260412T211636Z-57501bca,20260412T211636Z-57501bca:t039:lily_236lk,lily_236lk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""236LK"",""move_group"":""condor_spire"",""move_name"":""Condor Spire"",""notes_sc"":""Can be spaced out for better frame advantage, allowing a strike/throw mixup on block; puts opponent into limited juggle state on hit (corner juggle follow-up is possible only vs. airborne opponents at longer ranges)"",""punish_adv"":""KD +33(+45)"",""raw_source_token"":""lily_236lk""}",,lily,Condor Spire,236LK,condor_spire,39,E,False,not_required,,lily_3_6_lk_followup,lily_030_2_3_6_lk
