character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
luke,luke_001_5lp,Standing Light Punch,5LP,normals,15 (14 TC),15,10,11,+6,-11,+4,-1,+6,+1,-,-,-,1,1,0,-,1.38 (1.31),150 (75),"Long range for a cancelable light normal, good whiff punish tool; 3f extra recovery on whiff; greatly extends hurtbox for 3f before active, making it susceptible to counterpokes; special/DR cancel is delayed until after active frames"
luke,luke_002_5lk,Standing Light Kick,5LK,normals,12 (DR: 13),17,12,9,+7,-12,+5,0,+7,+2,-,-,-,1,1,0,-,1.26,150 (75),DR cancel is delayed until after 1st recovery frame
luke,luke_003_5mp,Standing Medium Punch,5MP,normals,16 SA / 17 TC,22,17,11,+6,-18,-,-,+6,+1,-,-,-,1,1,0,-,1.673 (1.553),250 (125),Good whiff punish tool when buffered into Target Combo or Super
luke,luke_004_5mk,Standing Medium Kick,5MK,normals,-,24,20,11,+5,-18,-,-,+5,+1,-,-,-,1,1,0,-,1.53,350 (175),"Good neutral poke; 3f extra recovery on whiff; lifts up leg hurtbox on frames 4-11, making it strong vs. low attacks"
luke,luke_005_5hp,Standing Heavy Punch,5HP,normals,17,27,20,13,+5,-24,+17,+10,+5,-2,-,-,-,1,1,0,-,1.687 (1.462),500 (250),Good whiff punish tool due to its long range and cancelability; extends a vertical collision box to reduce the risk of whiffing under opponent mid-juggle
luke,luke_006_5hk,Standing Heavy Kick,5HK,normals,-,25,18,13,KD +49(+55),-21(-15),-,-,+6(+12),-1 (+5),-,-,-,1,1,0,-,1.663 (1.304),500 (250),8-15f Low Crush (feet are strike invincible); puts airborne opponents into limited juggle state; Punish Counter launches opponent high into a limited juggle state; can be spaced for significantly better advantage; extends a hurtbox 1f before active that is vulnerable to projectiles; first 2 active frames have shorter range (makes it easier to space properly); causes camera shake effect on block when connecting with final active frame (easier to tell when Luke has advantage)
luke,luke_007_2lp,Crouching Light Punch,2LP,normals,13,16,10,9,+8,-10,+4,-2,+8,+2,-,-,-,1,1,0,-,1.11,150 (75),"Chains into 2LP/2LK; Luke's only 4f normal, useful in 3-hit light confirms; DR cancel is delayed until after 1st recovery frame; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
luke,luke_008_2lk,Crouching Light Kick,2LK,normals,-,14,11,9,+4,-12,-,-,+4,+1,-,-,-,1,1,0,-,1.05,150 (75),Chains into 2LP/2LK
luke,luke_009_2mp,Crouching Medium Punch,2MP,normals,16,21,17,11,+9,-14,+11,+7,+9,+5,-,-,-,1,1,0,-,1.24,250 (125),3f extra recovery on whiff; great pressure tool with high reward on counter-hit or when canceled to Drive Rush; has an extended hurtbox on whiff until the end of recovery; topmost hurtbox on frames 1-7 is vulnerable only to aerial strikes (preventing its use as an anti-air)
luke,luke_010_2mk,Crouching Medium Kick,2MK,normals,13 (17 TC),20,16,9,+2,-20,+8,+4,+2,-2,-,-,-,1,1,0,-,1.482 (1.44),300 (150),"Moves Luke forward, greatly increasing its range despite the stubby-looking animation; Range: 1.482 (1st active frame: 1.44); DR cancel is delayed until after active frames; has an extended hurtbox on whiff until the end of recovery"
luke,luke_011_2hp,Crouching Heavy Punch,2HP,normals,15,30,16,13,+5,-27,+20,+6,+5,-9,-,-,-,1,1,0,-,0.93,500 (250),Forces stand on hit; only the first active frame is cancelable; good anti-air hitbox but cannot hit cross-ups
