dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T213746Z-5ee126b8,20260412T213746Z-5ee126b8:t009:mai_2hp,mai_2hp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""2HP"",""move_group"":""normals"",""move_name"":""Crouching Heavy Punch"",""notes_sc"":""2 hits; first hit has great hitbox priority for counter-poking and pulls the opponent closer on hit/block; useful as an approach or combo extension with Drive Rush; Counter-hit/Punish Counter advantage carries through both hits"",""punish_adv"":""+8"",""raw_source_token"":""mai_2hp""}",mai_011_2_hp,mai,Crouching Heavy Punch,2HP,normals,9,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T213746Z-5ee126b8,20260412T213746Z-5ee126b8:t081:mai_214214p,mai_214214p,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214214P"",""move_group"":""super_arts"",""move_name"":""Shiranui Ryuu: Enbu Ada Zakura"",""notes_sc"":""1st hit causes cinematic; non-cinematic version does less damage (varies based on how many hits connect), but can juggle into 623K to recover some lost damage; cinematic time regenerates ~2 Drive bars for Mai; 3f startup when canceled from 236K/KK only; slower startup makes it risky as a reversal (many light normals can be safe with meaty timing)"",""punish_adv"":""HKD +19 (KD +52)"",""raw_source_token"":""mai_214214p""}",mai_076_2_1_4_2_1_4_p,mai,Shiranui Ryuu: Enbu Ada Zakura,214214P,super_arts,81,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T213746Z-5ee126b8,20260412T213746Z-5ee126b8:t082:mai_214214p(ca),mai_214214p(ca),supercombo_missing_official_safe_row,"{""binding_class"":""C"",""input"":""214214P"",""move_group"":""super_arts"",""move_name"":""Shiranui Ryuu: Enbu Ada Zakura (CA)"",""notes_sc"":""1st hit causes cinematic; non-cinematic version does less damage (varies based on how many hits connect), but can juggle into 623K to recover some lost damage; available at 25% HP or below; cinematic time regenerates ~2.1 Drive bars for Mai; 3f startup when canceled from 236K/KK only; slower startup makes it risky as a reversal (many light normals can be safe with meaty timing)"",""punish_adv"":""HKD +20 (KD +52)"",""raw_source_token"":""mai_214214p(ca)""}",mai_077_2_1_4_2_1_4_p,mai,Shiranui Ryuu: Enbu Ada Zakura (CA),214214P,super_arts,82,C,True,not_required,,,
supercombo_enrichment,supercombo,20260412T213746Z-5ee126b8,20260412T213746Z-5ee126b8:t051:mai_214hp,mai_214hp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214HP"",""move_group"":""ryuuenbu"",""move_name"":""Ryuuenbu"",""notes_sc"":""2 hits, () refers to startup of 2nd hit from longer range; whiffs on crouching opponents unless they extend a vertical hurtbox (unsafe on hit if 1st hit connects like this); puts opponent into a limited juggle state; head hurtbox is anti-air invincible on frames 6-17 (slow but rewarding anti-air); 2nd hit (frames 27-36) is a strike hitbox that can dissipate standard 1-hit projectiles"",""punish_adv"":""KD +43"",""raw_source_token"":""mai_214hp""}",,mai,Ryuuenbu,214HP,ryuuenbu,51,D,False,not_required,mai_054_2_1_4_hp | mai_055_2_1_4_hp,,
supercombo_enrichment,supercombo,20260412T213746Z-5ee126b8,20260412T213746Z-5ee126b8:t052:mai_214hp_flame,mai_214hp_flame,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214HP"",""move_group"":""ryuuenbu"",""move_name"":""Ryuuenbu (Flame)"",""notes_sc"":""Enhanced version that costs 1 Flame Stock; 2 hits, () refers to startup of 2nd hit from longer range; whiffs on crouching opponents unless they extend a vertical hurtbox (unsafe on hit if 1st hit connects like this); puts opponent into a limited juggle state (higher launch gives more follow-up options like 236KK launch or Flame 214MP safe jump); head hurtbox is anti-air invincible on frames 6-17 (slow but rewarding anti-air); 2nd hit (frames 27-36) is a strike hitbox that can dissipate standard 1-hit projectiles; incurs no extra damage scaling, making it a significantly stronger combo tool than the non-flame version; 1st active frame can only hit grounded opponents (allows it to combo from 5LP)"",""punish_adv"":""KD +47"",""raw_source_token"":""mai_214hp_flame""}",,mai,Ryuuenbu (Flame),214HP,ryuuenbu,52,D,False,not_required,mai_054_2_1_4_hp | mai_055_2_1_4_hp,,
supercombo_enrichment,supercombo,20260412T213746Z-5ee126b8,20260412T213746Z-5ee126b8:t049:mai_214mp,mai_214mp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214MP"",""move_group"":""ryuuenbu"",""move_name"":""Ryuuenbu"",""notes_sc"":""2 hits, () refers to startup of 2nd hit from longer range; similar utility to LP version but grants a knockdown instead of a standing reset; combos from 5LP as a decent light chain ender; 1st hit can whiff when canceled from ranged pokes, making it unsafe; 2nd hit (frames 25-31) is a strike hitbox that can dissipate standard 1-hit projectiles; can be spaced relatively safely on block (only Ken SA2 can punish at max range)"",""punish_adv"":""KD +35"",""raw_source_token"":""mai_214mp""}",,mai,Ryuuenbu,214MP,ryuuenbu,49,D,False,not_required,mai_052_2_1_4_mp | mai_053_2_1_4_mp,,
supercombo_enrichment,supercombo,20260412T213746Z-5ee126b8,20260412T213746Z-5ee126b8:t050:mai_214mp_flame,mai_214mp_flame,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214MP"",""move_group"":""ryuuenbu"",""move_name"":""Ryuuenbu (Flame)"",""notes_sc"":""Enhanced version that costs 1 Flame Stock; 2 hits, () refers to startup of 2nd hit from longer range; similar utility to LP version (grants a combo from 5LP as a decent light chain ender); forward movement ensures both hits connect when canceled (except in some whiff punish scenarios); 2nd hit (frames 25-31) is a strike hitbox that can dissipate standard 1-hit projectiles; can be spaced relatively safely on block (max range can be -4 unlike the non-flame version due to forward movement during active frames); puts opponents into limited juggle state (can juggle 623MK or SA1); sets up a perfect KD +42 safe jump on grounded or juggled hit (unless spaced out at max range where it becomes +44)"",""punish_adv"":""KD +42(+44)"",""raw_source_token"":""mai_214mp_flame""}",,mai,Ryuuenbu (Flame),214MP,ryuuenbu,50,D,False,not_required,mai_052_2_1_4_mp | mai_053_2_1_4_mp,,
supercombo_enrichment,supercombo,20260412T213746Z-5ee126b8,20260412T213746Z-5ee126b8:t053:mai_214pp,mai_214pp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214PP"",""move_group"":""ryuuenbu"",""move_name"":""Ryuuenbu"",""notes_sc"":""3 hits; puts opponent into a limited juggle state (free juggle state if only the final hit connects); 2nd/3rd hits (frames 30-34 and 42-46) are strike hitboxes that can dissipate 1-hit OD projectiles; 8f extra recovery on block; Super cancels always whiff or give partial animation (should always manually link the juggle afterward unless the opponent is armoring through your attack)"",""punish_adv"":""KD +48"",""raw_source_token"":""mai_214pp""}",,mai,Ryuuenbu,214PP,ryuuenbu,53,D,False,not_required,mai_056_2_1_4_p_p | mai_057_2_1_4_p_p | mai_068_2_1_4_p_p | mai_069_2_1_4_p_p,,
supercombo_enrichment,supercombo,20260412T213746Z-5ee126b8,20260412T213746Z-5ee126b8:t054:mai_214pp_flame,mai_214pp_flame,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214PP"",""move_group"":""ryuuenbu"",""move_name"":""Ryuuenbu (Flame)"",""notes_sc"":""Enhanced version that costs 1 Flame Stock; 3 hits; puts opponent into a limited juggle state (free juggle state if only the final hit connects); allows more lenient juggle routes than non-flame version (Juggle Increase of 1 instead of 2); 2nd/3rd hits (frames 30-34 and 42-46) are strike hitboxes that can dissipate 1-hit OD projectiles; 8f extra recovery on block; Super cancels always whiff or give partial animation (should always manually link the juggle afterward unless the opponent is armoring through your attack)"",""punish_adv"":""KD +48"",""raw_source_token"":""mai_214pp_flame""}",,mai,Ryuuenbu (Flame),214PP,ryuuenbu,54,D,False,not_required,mai_056_2_1_4_p_p | mai_057_2_1_4_p_p | mai_068_2_1_4_p_p | mai_069_2_1_4_p_p,,
supercombo_enrichment,supercombo,20260412T213746Z-5ee126b8,20260412T213746Z-5ee126b8:t077:mai_236236k,mai_236236k,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""236236K"",""move_group"":""super_arts"",""move_name"":""Chou Hissatsu Shinobi Bachi"",""notes_sc"":""11f extra recovery on block; solid range, but a short invincibility window that makes it difficult to use against slower projectiles; deals less damage from long range due to earlier hits whiffing; good reversal and juggle ender; generally should not be canceled into from OD specials (214PP: manually juggle afterward, 236KK: juggle j.MP > Air SA2)"",""punish_adv"":""KD +33"",""raw_source_token"":""mai_236236k""}",,mai,Chou Hissatsu Shinobi Bachi,236236K,super_arts,77,E,False,not_required,,mai_3_6_2_3_6_k_followup,mai_073_2_3_6_2_3_6_k
