character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
manon,manon_001_5_lp,立ち弱P（ハジメ）,5LP,normals,4,4-6,10,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
manon,manon_002_5_lk,立ち弱K（タンジュ）,5LK,normals,5,5-6,12,,2,-2,C,300,始動補正20%,250,-500,-2000,300,上,
manon,manon_003_5_mp,立ち中P（ツリテ）,5MP,normals,7,7-10,15,,2,-2,C,600,,1500,-3000,-4000,500,上,
manon,manon_004_5_mk,立ち中K（ラ・シェーヌ）,5MK,normals,10,10-12,18,,-2,-5,C,600,,1500,-3000,-4000,700,上,
manon,manon_005_5_hp,立ち強P（ランドリ）,5HP,normals,10,10-13,20,,0,-3,SA,800,,3000,-6000,-10000,1000,上,空中ヒット時吹き飛びダウン
manon,manon_006_5_hk,立ち強K（ピエ・ドンジュ）,5HK,normals,15,15-17,26,,※1,-6,,900,,3000,-6000,-10000,1000,上,※地上パニッシュカウンター時+17F | 空中パニッシュカウンター時吹き飛びダウン
manon,manon_007_2_lp,しゃがみ弱P（ソデキリ）,2LP,normals,4,4-5,11,,3,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
manon,manon_008_2_lk,しゃがみ弱K（シーニュ・ナジェ）,2LK,normals,5,5-6,13,,-1,-3,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
manon,manon_009_2_mp,しゃがみ中P（ヒキテ）,2MP,normals,7,7-9,11,,6,-1,C,600,,1500,-3000,-4000,500,上,空振り時硬直4F増加
manon,manon_010_2_mk,しゃがみ中K（ストゥニュー）,2MK,normals,8,8-11,16,,3,-2,,600,始動補正20%,2000,-4000,-6000,600,下,
manon,manon_011_2_hp,しゃがみ強P（ヴィクトワール・ポーム）,2HP,normals,10,10-14,21,,-2,-8,,600,,3000,-6000,-10000,1000,上,
manon,manon_012_2_hk,しゃがみ強K（クロワゼ）,2HK,normals,11,11-12,27,,D,-12,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
manon,manon_013_j_lp,ジャンプ弱P（シエル・クーデ）,j.LP,normals,5,5-14,着地後3,,,,,300,,500,-1500,-2000,300,中,
manon,manon_014_j_lk,ジャンプ弱K（シエル・パッセ）,j.LK,normals,6,6-14,着地後3,,,,,300,,500,-1500,-2000,300,中,めくり性能
manon,manon_015_j_mp,ジャンプ中P（クロワゼ・ドゥヴァン）,j.MP,normals,8,8-11,着地後3,,,,,700,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン
manon,manon_016_j_mk,ジャンプ中K（アレグロ）,j.MK,normals,7,7-12,着地後3,,,,,500,,1000,-2500,-4000,500,中,めくり性能
manon,manon_017_j_hp,ジャンプ強P（グロワール・ポーム）,j.HP,normals,9,9-12,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中ヒット時叩きつけダウン
manon,manon_018_j_hk,ジャンプ強K（カブリオール）,j.HK,normals,11,11-15,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
manon,manon_019_4_hp,レベランス,4HP,command_normals,8,8-13,17,,3,1,C,800,,2000,-5000,-8000,1000,上,空中ヒット時吹き飛びダウン
manon,manon_020_3_hk,トモエ・デリエール,3HK,command_normals,11,11-19,32,,26,-23,,1000,,3000,-6000,-10000,500,上,地上パニッシュカウンター時吹き飛び変化 | 空中パニッシュカウンター時吹き飛びダウン
manon,manon_021_mp_mk,ア・テール,MP>MK,command_normals,10,10-11,17,,2,-5,,500,,2500,-2500,-4000,700,上,立ち中Pがパニッシュカウンター時に派生した場合はダウン
manon,manon_022_4_mk,アン・オー（1段目）,4MK,command_normals,10,10-13,19,,-1,-3,,600,,2000,-4000,-4000,700,上,空中ヒット時吹き飛びダウン
manon,manon_023_4_mk_mk,アン・オー（2段目）,4MK>MK,command_normals,14,14-18,21,,-3,-11,C,500,,1000,-2500,-4000,700,中,空中ヒット時床バウンド
manon,manon_024_hp_hp,タン・リエ,HP>HP,command_normals,5,5-9,※17,,3,-8,,600,コンボ補正20%,2000,-5000,-7000,1000,上,立ち強Pがパニッシュカウンター時に派生した場合は吹き飛びダウン | ※ガード時硬直2F増加
manon,manon_025_2_hp_hp,アロンジェ,2HP>HP,command_normals,4,4-7,26,,1,-10,,500,,4000,-5000,-7000,1000,上,
manon,manon_026_6_3_2_1_4_lp,弱 マネージュ・ドレ（メダルLvに応じて動作が変化）,63214LP,specials,10,10-11,49,,D,,,※2000,,5000,0,-10000,※3000,投,ヒット時にメダルLvが1上昇 | ※メダルLvに応じてダメージが上昇 | メダルLv1 2000（2300） | メダルLv2 2300（2645） | メダルLv3 2700（3105） | メダルLv4 3000（3450） | メダルLv5 3700（4255） | （）内はパニッシュカウンター時のダメージ | ※メダルLvに応じてSAゲージ増加量が上昇 | メダルLv1-2 3000 | メダルLv3-4 4000 | メダルLv5 5000
manon,manon_027_6_3_2_1_4_mp,中 マネージュ・ドレ（メダルLvに応じて動作が変化）,63214MP,specials,8,8-9,51,,D,,,※2000,,5000,0,-10000,※3000,投,ヒット時にメダルLvが1上昇 | ※メダルLvに応じてダメージが上昇 | メダルLv1 2000（2300） | メダルLv2 2300（2645） | メダルLv3 2700（3105） | メダルLv4 3000（3450） | メダルLv5 3700（4255） | （）内はパニッシュカウンター時のダメージ | ※メダルLvに応じてSAゲージ増加量が上昇 | メダルLv1-2 3000 | メダルLv3-4 4000 | メダルLv5 5000
