dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T210708Z-de6f395a,20260412T210708Z-de6f395a:t038:manon_236lk,manon_236lk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236LK"",""move_group"":""specials"",""move_name"":""LK Rond-point"",""notes_sc"":""Strong anti-air but cannot hit cross-up; SA3 cancel occurs on 2nd hit (allows it to combo vs. grounded opponents); the 1st hit can whiff when canceled into at max range (SA3 cancel at this range usually whiffs and has a much shorter hitconfirm window)"",""punish_adv"":""+7"",""raw_source_token"":""manon_236lk""}",manon_030_2_3_6_lk,manon,LK Rond-point,236LK,specials,38,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210708Z-de6f395a,20260412T210708Z-de6f395a:t039:manon_236mk,manon_236mk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236MK"",""move_group"":""specials"",""move_name"":""MK Rond-point"",""notes_sc"":""Strong anti-air but cannot hit cross-up; SA3 cancel is only useful if the attack is absorbed by armor; puts opponents into limited juggle state (very high anti-air is required for a follow-up juggle); the 1st hit tends to whiff when canceled into at max range"",""punish_adv"":""KD +34"",""raw_source_token"":""manon_236mk""}",manon_031_2_3_6_mk,manon,MK Rond-point,236MK,specials,39,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210708Z-de6f395a,20260412T210708Z-de6f395a:t040:manon_236hk,manon_236hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""HK Rond-point"",""notes_sc"":""Strong anti-air but cannot hit cross-up; the 1st hit can combo into SA3 vs. grounded opponents (causes SA3 to incur 15% immediate damage scaling instead of the usual 5%); the final 2 recovery frames can be canceled into any special or super on hit (allows for better juggles); puts opponents into limited juggle state with a higher float state than other meterless versions (but still requires an airborne hit to combo into a follow-up)"",""punish_adv"":""KD +37"",""raw_source_token"":""manon_236hk""}",manon_032_2_3_6_hk,manon,HK Rond-point,236HK,specials,40,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210708Z-de6f395a,20260412T210708Z-de6f395a:t041:manon_236kk,manon_236kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""OD Rond-point"",""notes_sc"":""Strong anti-air with an enormous hitbox, but cannot hit cross-up; 2nd hit does 400 damage if 1st hit whiffs; the final 5 recovery frames can be canceled into any special or super on hit (allows for better juggles); puts opponents into limited juggle state (has consistent juggle follow-ups); 1st hit can combo into SA3 when canceled (causes SA3 to incur 15% immediate damage scaling instead of the usual 5%); 2nd hit juggles into SA2 when canceled (SA3 cancel only useful if attack is absorbed by armor); the 1st hit has extra range against grounded opponents"",""punish_adv"":""KD +45"",""raw_source_token"":""manon_236kk""}",manon_033_2_3_6_k_k,manon,OD Rond-point,236KK,specials,41,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210708Z-de6f395a,20260412T210708Z-de6f395a:t042:manon_214lk,manon_214lk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214LK"",""move_group"":""specials"",""move_name"":""LK Dégagé"",""notes_sc"":""Long range low attack that can catch opponents by surprise, but very unsafe if blocked; can be juggled into; leaves opponent close for follow-up oki even midscreen"",""punish_adv"":""KD +21"",""raw_source_token"":""manon_214lk""}",manon_034_2_1_4_lk,manon,LK Dégagé,214LK,specials,42,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210708Z-de6f395a,20260412T210708Z-de6f395a:t043:manon_214mk,manon_214mk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214MK"",""move_group"":""specials"",""move_name"":""MK Dégagé"",""notes_sc"":""Long range tool for combos and punishes, leading to great corner carry"",""punish_adv"":""KD +33"",""raw_source_token"":""manon_214mk""}",manon_035_2_1_4_mk,manon,MK Dégagé,214MK,specials,43,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210708Z-de6f395a,20260412T210708Z-de6f395a:t055:manon_214214k,manon_214214k,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214214K"",""move_group"":""super_arts"",""move_name"":""Étoile"",""notes_sc"":""If blocked, the last hit whiffs on crouching opponents; can be juggled into; extended KD time for opponent if they fall out before 3rd hit; full damage distribution: 450,400,500x2,950"",""punish_adv"":""KD +32(+37)"",""raw_source_token"":""manon_214214k""}",manon_045_2_1_4_2_1_4_k,manon,Étoile,214214K,super_arts,55,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T210708Z-de6f395a,20260412T210708Z-de6f395a:t050:manon_236p_hold,manon_236p_hold,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""236[P]"",""move_group"":""renversé_feint_236_p"",""move_name"":""Renversé Feint"",""notes_sc"":""Travel distance for LP/MP/HP versions: 0.85/1.10/1.14"",""punish_adv"":""-"",""raw_source_token"":""manon_236p_hold""}",,manon,Renversé Feint,236[P],renversé_feint_236_p,50,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T210708Z-de6f395a,20260412T210708Z-de6f395a:t051:manon_236pp_hold,manon_236pp_hold,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""236[PP]"",""move_group"":""renversé_feint_236_p"",""move_name"":""OD Renversé Feint"",""notes_sc"":""Susceptible to low attacks during invincibility window; travel distance: 1.23"",""punish_adv"":""-"",""raw_source_token"":""manon_236pp_hold""}",,manon,OD Renversé Feint,236[PP],renversé_feint_236_p,51,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T210708Z-de6f395a,20260412T210708Z-de6f395a:t060:manon_4pppkkk,manon_4pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""4PPPKKK"",""move_group"":""taunts"",""move_name"":""Back Taunt"",""notes_sc"":""\""Hmm, how boring. I could be at my favorite salon right now.\"""",""punish_adv"":""-"",""raw_source_token"":""manon_4pppkkk""}",,manon,Back Taunt,4PPPKKK,taunts,60,G,False,not_required,,,
