character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
marisa,marisa_001_5_lp,立ち弱P（ライトパンチ）,5LP,normals,6,6-8,11,,0,-2,,400,始動補正20%,250,-500,-2000,300,上,
marisa,marisa_002_5_lk,立ち弱K（ティビアブレイク）,5LK,normals,6,6-7,14,,0,-2,C,400,始動補正20%,250,-500,-2000,300,上,
marisa,marisa_003_5_mp,立ち中P（ミドルパンチ）,5MP,normals,7,7-10,15,,2,-1,,700,,1500,-3000,-4000,500,上,空振り時硬直2F増加
marisa,marisa_004_5_mk,立ち中K（スターナムブレイク）,5MK,normals,11,11-14,16,,4,-2,,800,,2000,-4000,-6000,700,上,
marisa,marisa_005_5_hp,立ち強P（ヘビィーパンチ）,5HP,normals,12,12-13,23,,3,-3,,1000,始動補正10%,2000,-5000,-8000,1000,上,18F以上ホールドすると性能変化
marisa,marisa_006_5_hp,立ち強P（ヘビィーパンチ）（ホールド）,5HP,normals,23,23-24,22,,7,4,,1200,始動補正10%,3000,-8000,-12000,1000,上,空中ヒット時吹き飛びダウン | パニッシュカウンター時+15F | ヒット・ガード時硬直1F減少
marisa,marisa_007_5_hk,立ち強K（リブブレイク）,5HK,normals,15,15-16,25,,1,-3,,1000,始動補正10%,3000,-5000,-8000,1000,上,14F以上ホールドすると性能変化 | 空中ヒット時吹き飛びダウン | パニッシュカウンター時吹き飛びダウン
marisa,marisa_008_5_hk,立ち強K（リブブレイク）（ホールド）,5HK,normals,24,24-25,25,,D,1,,1200,始動補正10%,3000,-8000,-12000,1000,上,パニッシュカウンター時吹き飛び時間増加
marisa,marisa_009_2_lp,しゃがみ弱P（アンダーライト）,2LP,normals,4,4-5,10,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
marisa,marisa_010_2_lk,しゃがみ弱K（フットバッシュ）,2LK,normals,5,5-7,12,,2,-3,,300,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
marisa,marisa_011_2_mp,しゃがみ中P（アンダーミドル）,2MP,normals,8,8-10,16,,3,-2,C,700,,1500,-3000,-4000,500,上,
marisa,marisa_012_2_mk,しゃがみ中K（レッグバッシュ）,2MK,normals,9,9-11,18,,5,-2,,600,始動補正20%,2000,-4000,-6000,600,下,
marisa,marisa_013_2_hp,しゃがみ強P（ハーフハート）,2HP,normals,9,9-13,23,,D,-6,,900,,2500,-5000,-8000,1000,上,17F以上ホールドすると性能変化
marisa,marisa_014_2_hp,しゃがみ強P（ハーフハート）（ホールド）,2HP,normals,21,21-26,21,,D,-3,SA,1000,,3000,-8000,-12000,1000,上,
marisa,marisa_015_2_hk,しゃがみ強K（ガイアバッシュ）,2HK,normals,11,11-13,26,,D,-11,,1000,,2500,-3000,-10000,1000,下,16F以上ホールドすると性能変化 | パニッシュカウンター時ダウン時間増加、ハードノックダウン
marisa,marisa_016_2_hk,しゃがみ強K（ガイアバッシュ）（ホールド）,2HK,normals,20,20-22,23,,D,-3,,1200,,3000,-8000,-12000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン | ヒット・ガード時硬直3F減少
marisa,marisa_017_j_lp,ジャンプ弱P（ノックフィスト）,j.LP,normals,4,4-10,着地後3,,,,,300,,500,-1500,-2000,300,中,
marisa,marisa_018_j_lk,ジャンプ弱K（シグナスフォール）,j.LK,normals,5,5-14,着地後3,,,,,300,,500,-1500,-2000,300,中,めくり性能
marisa,marisa_019_j_mp,ジャンプ中P（ヴォラーレフィスト）,j.MP,normals,7,7-10,着地後3,,,,,700,,1000,-3000,-4000,500,中,空中ヒット時吹き飛びダウン
marisa,marisa_020_j_mk,ジャンプ中K（ラブリュスフォール）,j.MK,normals,8,8-15,着地後3,,,,,500,,1000,-2500,-4000,500,中,
marisa,marisa_021_j_hp,ジャンプ強P（アイテルフィスト）,j.HP,normals,10,10-16,着地後3,,,,,800,,2000,-4000,-5000,1000,中,20F以上ホールドすると性能変化 | 空中ヒット時叩きつけダウン
marisa,marisa_022_j_hp,ジャンプ強P（アイテルフィスト）（ホールド）,j.HP,normals,28,28-33,着地後3,,D,,,1500,,2000,-6000,-15000,1000,中,
marisa,marisa_023_j_hk,ジャンプ強K（ウラノスフォール）,j.HK,normals,10,10-16,着地後3,,,,,800,,2000,-4000,-5000,1000,中,20F以上ホールドすると性能変化
marisa,marisa_024_j_hk,ジャンプ強K（ウラノスフォール）（ホールド）,j.HK,normals,29,29-34,着地後3,,D,,,1500,,2000,-6000,-15000,1000,中,
marisa,marisa_025_lp_lp,ライトワンツー,LP>LP,command_normals,14,14-16,22,,-3,-6,C,600,始動補正10% | コンボ補正15%,1000,-1000,-5000,1000,上,
marisa,marisa_026_mp_mp,ミドルワンツー,MP>MP,command_normals,14,14-15,23,,-3,-8,C,600,,1500,-3000,-5000,1000,上,
marisa,marisa_027_hp_hp,ヘビィーワンツー,HP>HP,command_normals,24,24-26,19,,D,2,,1000,,2000,-5000,-5000,1000,上,
marisa,marisa_028_mp_mp,ヴォラーレコンボ,MP>MP,command_normals,10,10-12,着地後3,,,,,800,,1000,-2000,-5000,500,中,
marisa,marisa_029_2_hp,カエルムアーク,2HP,command_normals,9,9-17,着地後3,,,,,800,,2000,-4000,-5000,1000,中,20F以上ホールドすると性能変化 | 空中ヒット時叩きつけダウン | めくり性能
marisa,marisa_030_2_hp,カエルムアーク（ホールド）,2HP,command_normals,28,28-36,着地後3,,,,,1500,,2000,-6000,-15000,1000,中,めくり性能
marisa,marisa_031_4_hp,マグナバンカー,4HP,command_normals,8,8-9,21,,3,-1,C,900,,2000,-5000,-8000,500,上,17F以上ホールドすると性能変化 | 空振り時硬直3F増加
marisa,marisa_032_4_hp,マグナバンカー（ホールド）,4HP,command_normals,20,20-21,24,,13,4,C,1000,,2500,-6000,-10000,500,上,空振り時硬直6F増加
marisa,marisa_033_6_mp,ノバキュラスワイプ/ノバキュラシュート（1段目）,6MP,command_normals,9,9-10,20,,2,-3,,800,,1000,-2500,-4000,500,上,
marisa,marisa_034_6_mp_hp,ノバキュラスワイプ,6MP>HP,command_normals,11,11-12,26,,D,-12,,800,,2000,-5000,-10000,1000,下,
marisa,marisa_035_6_mp_hk,ノバキュラシュート,6MP>HK,command_normals,11,11-14,23,,D,-10,SA,800,,2500,-5000,-10000,1000,上,しゃがみ状態の相手に当たらない
marisa,marisa_036_3_hp,マレウスビート（1段目）,3HP,command_normals,21,21-22,21,,0,-3,,900,,1000,-5000,-5000,500,中,14F以上ホールドすると性能変化 | 空中ヒット時床バウンド
marisa,marisa_037_3_hp,マレウスビート（1段目）（ホールド）,3HP,command_normals,28,28-29,19,,5,2,,1000,,1500,-5000,-12000,500,中,空中ヒット時床バウンド
marisa,marisa_038_3_hp_3_hp,マレウスビート（2段目）,3HP>3HP,command_normals,18,18-19,24,,D,-12,,900,,1000,-5000,-5000,500,中,
marisa,marisa_039_6_hk,ファルクスクラッシュ（1段目）,6HK,command_normals,14,14-17,21,,0,-3,C,900,,2500,-5000,-8000,1000,上,強制立ち効果 | 21F以上ホールドすると性能変化
marisa,marisa_040_6_hk,ファルクスクラッシュ（1段目）（ホールド）,6HK,command_normals,27,27-30,19,,10,3,C,1000,,3000,-8000,-12000,1000,上,強制立ち効果 | 空中ヒット時吹き飛びダウン
marisa,marisa_041_6_hk_6_hk,ファルクスクラッシュ（2段目）,6HK>6HK,command_normals,16,16-20,25,,D,-12,,1000,,2500,-3000,-5000,1000,上,
marisa,marisa_042_2_3_6_lp,弱 グラディウス,236LP,specials,17,17-20,21,,D,-5,SA3,1200,,2000,-5000,-12000,1150,上,26F以上ホールドすると性能変化 | 5-10F 上半身アーマー判定(1回)
marisa,marisa_043_2_3_6_lp,弱 グラディウス（ホールド）,236LP,specials,30,30-33,20,,D,4,SA3,2400,,4000,-8000,-12000,2650,上,5-26F 上半身アーマー判定(1回) | アーマーブレイク属性
marisa,marisa_044_2_3_6_mp,中 グラディウス,236MP,specials,19,19-22,21,,D,-5,SA3,1400,,2000,-5000,-12000,1150,上,29F以上ホールドすると性能変化 | 5-12F 上半身アーマー判定(1回)
marisa,marisa_045_2_3_6_mp,中 グラディウス（ホールド）,236MP,specials,35,35-38,20,,D,4,SA3,2600,,4000,-8000,-12000,2650,上,5-29F 上半身アーマー判定(1回) | アーマーブレイク属性
marisa,marisa_046_2_3_6_hp,強 グラディウス,236HP,specials,22,22-25,21,,D,-5,SA3,1600,,2000,-5000,-12000,1150,上,35F以上ホールドすると性能変化 | 5-15F 上半身アーマー判定(1回)
marisa,marisa_047_2_3_6_hp,強 グラディウス（ホールド）,236HP,specials,41,41-44,20,,D,4,SA3,2800,,4000,-8000,-12000,2650,上,5-35F 上半身アーマー判定(1回) | アーマーブレイク属性
