character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
marisa,marisa_001_5_lp,Standing Light Punch,5LP,normals,13,14,12,9,+4,-12,-,-,+4,+2,-,-,-,1,1,1,-,1.216,150 (75),Good neutral buffer into 5LP~LP Target Combo (requires at least a Counter-hit to combo); causes air reset if juggled into
marisa,marisa_002_5_lk,Standing Light Kick,5LK,normals,15,16,14,9,+4,-14,+2,0,+4,+2,-,-,-,1,1,0,-,1.433,150 (75),"At farther ranges, can only combo into SA2; special cancel is delayed until after 2nd recovery frame; DR cancel is delayed until after 3rd recovery frame"
marisa,marisa_003_5_mp,Standing Medium Punch,5MP,normals,16,21,18,11,+6,-17,-,-,+6,+3,-,-,-,1,1,1,-,1.356,250 (125),2f extra recovery on whiff; great hitbox and a strong buffer into 5MP~MP Target Combo
marisa,marisa_004_5_mk,Standing Medium Kick,5MK,normals,-,24,18,11,+8,-18,-,-,+8,+2,-,-,-,1,1,1,-,1.749,350 (175),Good poke and Drive Rush starter
marisa,marisa_005_5_hp,Standing Heavy Punch,5HP,normals,18,28,22,13,+7,-23,-,-,+7,+1,-,-,-,1,1,1,-,1.958,500 (250),Can hold button 21f for improved properties; strong whiff punish tool
marisa,marisa_006_5_hp,Marisa Style (HP),5[HP],normals,20,30,27,15,+15,-21,-,-,+11,+8,-,-,-,1,1,1,-,2.188,500 (250),1f extra recovery on whiff; releasing the button on frames 7-17 results in uncharged version with 5f startup; great range and frame advantage for follow-up combos and pressure; puts airborne opponents into limited juggle state
marisa,marisa_007_5_hk,Standing Heavy Kick,5HK,normals,-,28,24,13,KD +58 Launch,-25,-,-,+5,+1,-,-,-,1 [0 PC],1,1,-,2.045 (2.016),500 (250),Can hold button 17f for improved properties; solid poke with good hitbox priority; Punish Counter puts opponent into free juggle state; puts airborne opponents into limited juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles
marisa,marisa_008_5_hk,Marisa Style (HK),5[HK],normals,-,-,28,15,KD +65 Launch,-25,-,-,KD +36,+5,-,-,-,1 [0 PC],1,1,-,2.235 (2.206),500 (250),Releasing the button on frames 5-13 results in uncharged version with 10f startup; puts airborne opponents into limited juggle state; Punish Counter causes free juggle state
marisa,marisa_009_2_lp,Crouching Light Punch,2LP,normals,15,16,11,9,+8,-10,+3,-2,+8,+3,-,-,-,1,1,0,-,1.17,150 (75),Chains into 2LP/2LK; Marisa's only 4f normal; special cancel is delayed until after active frames; DR cancel is delayed until after 2nd recovery frame
marisa,marisa_010_2_lk,Crouching Light Kick,2LK,normals,-,17,12,9,+6,-13,-,-,+6,+1,-,-,-,1,1,0,-,1.34,150 (75),Chains into 2LP/2LK
marisa,marisa_011_2_mp,Crouching Medium Punch,2MP,normals,15,22,17,11,+7,-17,+12,+7,+7,+2,-,-,-,1,1,0,-,1.45,250 (125),Long range for a cancelable 2MP (but slower than average startup); topmost hurtboxes on frames 8-15 are projectile invincible (avoids Sagat's MP/HP Tiger Shot)
marisa,marisa_012_2_mk,Crouching Medium Kick,2MK,normals,-,25,19,11,+9,-19,-,-,+9,+2,-,-,-,1,1,0,-,1.623,300 (150),"1f extra recovery on whiff/block; solid low poke with good range and hitbox priority; strong Drive Rush starter that links into 4HP or 5MP~MP at close range, 2MP at mid range, or 6MP from farther out; topmost hurtboxes on frames 9-16 are projectile invincible (avoids Sagat's MP/HP Tiger Shot but becomes vulnerable on frame 17~)"
marisa,marisa_013_2_hp,Crouching Heavy Punch,2HP,normals,-,-,22,13,KD +54,-26,-,-,KD +35 (Free Juggle),-2,10-13 Air (Head),-,-,1,1,1,-,1.103,500 (250),"Can hold button 17f for improved properties; slow but solid anti-air; cannot hit cross-up; only first 2 active frames hit grounded opponents; active frames 3-5 only hit airborne opponents; puts opponent into limited juggle state on hit (higher launch vs. airborne, and much higher on Punish Counter)"
marisa,marisa_014_2_hp,Crouching Heavy Punch (Hold),2[HP],normals,20,-,24,17(15),KD +61,-25,-,-,KD +52 (Free Juggle),+1,20-31 Air (Head),-,-,1,1,1,-,1.103,500 (250),"Launches opponent into limited juggle state on hit, and much higher launch on Punish Counter; useful for continuing juggles; cannot hit cross-up and too slow to realistically anti-air; only first 2 active frames hit grounded opponents; active frames 3-6 only hit airborne opponents; releasing the button on frames 5-16 results in uncharged version with 4f startup; only Super cancelable on the first 2 active frames; can always combo into a fully charged SA1 for incredible 1-bar damage; hitstop is 2 frames longer on hit than on block for easier cancel hitconfirms"
marisa,marisa_015_2_hk,Gaia Bash,2HK,normals,-,-,18,13,HKD +44,-27,-,-,KD +29,-7,-,-,-,1,1,5,-,1.856,500 (250),Can hold button 20f for improved properties; has juggle potential; topmost hurtboxes on frames 1-7 are projectile invincible (avoids Sagat's MP/HP Tiger Shot)
marisa,marisa_016_2_hk,Gaia Bash (Hold),2[HK],normals,-,-,20,15,HKD +50,-24,-,-,KD +35,+1,-,-,-,1,1,5,-,1.956,500 (250),3f extra recovery on whiff; has juggle potential and keeps the opponent in a limited juggle state (e.g. corner OTG bounce > 2[HK] > SA2); releasing the button on frames 7-15 results in uncharged version with 4f startup; topmost hurtboxes on frames 1-7 are projectile invincible (avoids Sagat's MP/HP Tiger Shot but becomes vulnerable on frame 8~)
marisa,marisa_017_j_lp,Jumping Light Punch,j.LP,normals,-,15,12,9,+13(+15),-4 (-2),-,-,-,-,-,-,-,1,1,1,-,1.24,150 (75),Quick air-to-air
marisa,marisa_018_j_lk,Jumping Light Kick,j.LK,normals,-,15,12,9,+8(+15),-9 (-2),-,-,-,-,-,-,-,1,1,0,-,0.64,150 (75),Cross-up; useful for safe jumps; can be used as a fuzzy instant overhead
marisa,marisa_019_j_mp,Jumping Medium Punch,j.MP,normals,-,15,11,11,+12(+15),-5 (-2),-,-,-,-,-,-,-,1,10,4,-,1.26,250 (125),Puts airborne opponents into limited juggle state; lower body projectile invuln 7-21f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
marisa,marisa_020_j_mk,Jumping Medium Kick,j.MK,normals,-,18,15,11,+13(+18),-7 (-2),-,-,-,-,-,-,-,1,1,0,-,1.31,250 (125),Farthest reaching horizontal jump-in with good hitbox priority; lower body projectile invuln 8-25f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
marisa,marisa_021_j_hp,Jumping Heavy Punch,j.HP,normals,-,19,15,13,+13(+19),-8 (-2),-,-,-,-,-,-,-,1,1,1,-,1.14,500 (250),Can hold button 20f for improved properties; causes spike knockdown vs. airborne opponents; lower body projectile invuln 9-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
